Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2024-05-13,655.0,660.0,527.1,570.9,35645437,602631,59.15,14786250
2024-05-14,577.0,590.0,553.05,554.45,4603935,112244,41.02,2149070
2024-05-15,556.95,581.7,533.05,566.6,5740237,138320,41.5,2383479
2024-05-16,571.15,583.0,565.0,572.45,2545052,47070,54.07,1329524
2024-05-17,573.0,575.8,551.25,555.1,1142408,31128,36.7,610652
2024-05-18,554.8,562.0,551.4,556.15,282815,7847,36.04,150252
2024-05-21,553.55,553.55,534.0,538.8,1235705,45852,26.95,699974
2024-05-22,540.0,542.0,521.3,524.15,1487541,50148,29.66,848298
2024-05-23,525.05,544.45,525.05,533.5,1204689,36748,32.78,555477
2024-05-24,533.0,538.85,523.9,529.0,670789,25948,25.85,329883
2024-05-27,534.0,535.5,521.2,525.2,597582,27401,21.81,297769
2024-05-28,526.0,529.85,508.3,515.8,637857,24065,26.51,316139
2024-05-29,508.05,533.0,501.25,527.7,755754,28638,26.39,367554
2024-05-30,526.8,534.7,504.4,515.35,1600450,47842,33.45,687194
2024-05-31,516.95,531.45,516.1,520.85,780406,25249,30.91,426642
2024-06-03,530.0,538.9,529.2,532.5,984470,23877,41.23,679949
2024-06-04,520.9,520.9,470.1,494.55,1554058,41089,37.82,873132
2024-06-05,495.0,532.0,488.65,528.2,743845,29002,25.65,460515
2024-06-06,525.0,533.0,517.0,528.55,855855,26596,32.18,506009
2024-06-07,529.95,549.0,526.3,543.1,1249627,35470,35.23,727642
2024-06-10,543.1,554.85,536.1,550.3,904896,28112,32.19,547931
2024-06-11,550.0,574.9,548.55,561.75,1314694,34018,38.65,787422
2024-06-12,563.0,588.7,562.0,583.35,1789347,44112,40.56,1028151
2024-06-13,585.55,616.95,580.1,600.15,2740424,68883,39.78,1358727
2024-06-14,602.95,608.7,582.1,585.5,943490,36195,26.07,552763
2024-06-18,589.0,591.95,577.6,581.95,792041,24042,32.94,374048
2024-06-19,582.05,589.9,562.7,569.9,620310,20962,29.59,299910
2024-06-20,573.0,573.4,557.2,563.4,648561,20630,31.44,348852
2024-06-21,564.8,569.95,559.2,561.95,471552,15474,30.47,305657
2024-06-24,561.95,577.1,555.0,568.15,458480,20575,22.28,188481
2024-06-25,568.3,589.65,568.3,574.1,698102,23020,30.33,336863
