Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2021-02-02,2607.5,3129.0,2436.05,3117.15,12652036,EQ,812580,15.57,5456304
2021-02-03,3239.0,3329.95,2831.25,2924.25,2955005,EQ,375333,7.87,521407
2021-02-04,2948.85,2967.95,2853.0,2873.75,476054,EQ,73464,6.48,105294
2021-02-05,2866.0,2900.0,2603.0,2630.05,587315,EQ,103675,5.66,181430
2021-02-08,2590.0,2736.0,2551.0,2677.05,507665,EQ,55033,9.22,106863
2021-02-09,2680.0,2824.9,2665.0,2704.85,478124,EQ,44840,10.66,121297
2021-02-10,2706.2,2730.0,2641.0,2666.25,167707,EQ,22388,7.49,38885
2021-02-11,2666.0,2684.9,2641.0,2649.4,73280,EQ,10111,7.25,21488
2021-02-12,2649.3,2667.85,2585.0,2610.75,88127,EQ,11581,7.61,36665
2021-02-15,2600.0,2650.0,2565.05,2595.65,128961,EQ,16643,7.75,44212
2021-02-16,2600.0,2617.1,2557.0,2564.55,68502,EQ,10257,6.68,25501
2021-02-17,2564.0,2724.0,2545.95,2642.5,230228,EQ,20756,11.09,65731
2021-02-18,2660.05,2709.6,2625.0,2641.6,110801,EQ,14092,7.86,41682
2021-02-19,2636.0,2660.0,2563.7,2572.6,66948,EQ,10360,6.46,27205
2021-02-22,2597.95,2612.95,2535.0,2542.7,50238,EQ,7567,6.64,20401
2021-02-23,2550.0,2588.0,2501.05,2510.95,56678,EQ,8689,6.52,17668
2021-02-24,2524.3,2533.4,2480.0,2487.95,34049,EQ,4880,6.98,15468
2021-02-25,2499.0,2516.0,2492.3,2499.7,66150,EQ,5517,11.99,48177
2021-02-26,2484.5,2574.1,2475.0,2522.2,80150,EQ,11336,7.07,27766
2021-03-01,2544.0,2546.85,2490.0,2506.15,330580,EQ,11969,27.62,292561
2021-03-02,2529.0,2717.7,2508.0,2640.5,201061,EQ,23283,8.64,72440
2021-03-03,2661.0,2709.9,2595.0,2618.3,101277,EQ,11263,8.99,55244
2021-03-04,2609.95,2653.95,2583.3,2589.25,48424,EQ,6606,7.33,17263
2021-03-05,2595.0,2602.15,2513.05,2525.5,129156,EQ,7582,17.03,101466
2021-03-08,2547.4,2629.0,2492.55,2548.6,118075,EQ,11065,10.67,65198
2021-03-09,2548.6,2556.9,2475.85,2484.1,105018,EQ,9314,11.28,78371
2021-03-10,2500.0,2523.95,2492.0,2515.6,51215,EQ,4591,11.16,35609
2021-03-12,2529.4,2559.3,2490.0,2500.95,51953,EQ,6982,7.44,23495
2021-03-15,2543.4,2543.4,2455.5,2464.35,38626,EQ,6076,6.36,20699
2021-03-16,2474.0,2492.85,2435.0,2443.9,71139,EQ,9214,7.72,40685
2021-03-17,2450.0,2452.8,2360.0,2367.8,50338,EQ,11124,4.53,27457
2021-03-18,2379.0,2396.95,2294.8,2305.8,91519,EQ,12891,7.1,50246
2021-03-19,2321.0,2329.0,2220.25,2285.45,117491,EQ,18170,6.47,60873
2021-03-22,2290.0,2399.95,2289.8,2378.5,166836,EQ,9222,18.09,118299
2021-03-23,2390.0,2395.0,2334.05,2367.25,40074,EQ,5846,6.85,21840
2021-03-24,2367.25,2473.35,2315.0,2336.4,143738,EQ,13484,10.66,81419
2021-03-25,2340.0,2350.0,2281.0,2290.7,39885,EQ,6696,5.96,19954
2021-03-26,2321.0,2340.2,2265.3,2298.15,57676,EQ,6544,8.81,33754
2021-03-30,2306.0,2324.95,2295.65,2310.4,28565,EQ,4838,5.9,14098
2021-03-31,2330.0,2449.0,2316.0,2395.85,106146,EQ,14665,7.24,62156
2021-04-01,2400.0,2414.85,2350.95,2384.25,15817,EQ,2868,5.51,5981
2021-04-05,2398.8,2398.8,2311.85,2324.45,26484,EQ,3826,6.92,11054
2021-04-06,2320.0,2394.7,2316.0,2374.4,50250,EQ,8310,6.05,15523
2021-04-07,2395.0,2444.85,2380.2,2412.75,54195,EQ,10703,5.06,19939
2021-04-08,2429.0,2430.65,2376.2,2379.85,31497,EQ,5494,5.73,18258
