Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2003-06-20,31.1,36.75,31.1,34.25,378043,,,
2003-06-23,35.5,35.9,33.9,34.65,350539,,,
2003-06-24,35.5,35.5,33.1,33.3,331029,,,
2003-06-25,33.9,34.0,32.5,32.6,177645,,,
2003-06-26,32.2,33.5,32.2,32.55,182306,,,
2003-06-27,32.95,32.95,31.75,32.0,140956,,,
2003-06-30,31.75,33.0,31.3,32.25,313710,,,
2003-07-01,32.1,33.15,32.1,32.85,174732,,,
2003-07-02,33.2,37.0,33.2,35.1,1739284,,,
2003-07-03,36.0,38.6,36.0,38.0,1413255,,,
2003-07-04,40.0,40.25,37.6,39.55,1095260,,,
2003-07-07,40.05,40.9,38.2,38.8,753632,,,
2003-07-08,39.9,40.0,37.5,37.7,331079,,,
2003-07-09,38.2,38.45,36.55,36.7,206944,,,
2003-07-10,36.95,36.95,35.25,35.6,269067,,,
2003-07-11,35.9,37.05,35.3,36.3,208707,,,
2003-07-14,36.75,37.8,36.3,37.4,210577,,,
2003-07-15,37.4,37.6,36.3,36.55,231243,,,
2003-07-16,37.0,37.0,35.8,35.95,238999,,,
2003-07-17,36.7,36.75,35.0,35.25,242064,,,
2003-07-18,35.25,35.45,33.95,34.75,192162,,,
2003-07-21,35.6,35.65,34.2,34.45,176577,,,
2003-07-22,34.8,34.8,33.55,33.75,145465,,,
2003-07-23,33.75,35.0,33.75,34.0,143641,,,
2003-07-24,34.65,34.75,34.0,34.5,152953,,,
2003-07-25,31.5,33.9,30.0,32.85,708937,,,
2003-07-28,33.0,33.0,31.05,31.5,423816,,,
2003-07-29,32.0,33.0,31.05,32.85,311353,,,
2003-07-30,33.0,33.5,32.5,33.35,230628,,,
2003-07-31,34.5,34.5,32.55,32.95,262726,,,
2003-08-01,32.3,33.95,32.3,33.65,162914,,,
2003-08-04,34.2,35.7,33.9,35.5,678521,,,
2003-08-05,35.5,37.2,35.5,35.9,668308,,,
2003-08-06,33.5,34.2,33.0,33.8,244091,,,
2003-08-07,34.85,34.85,33.4,33.85,175757,,,
2003-08-08,33.5,34.5,33.5,34.15,169683,,,
2003-08-11,34.2,36.0,33.95,35.8,339757,,,
2003-08-12,36.5,36.5,35.4,35.55,211706,,,
2003-08-13,35.5,39.0,35.25,38.2,1060268,,,
2003-08-14,39.4,41.0,38.95,40.25,2240564,,,
2003-08-18,41.3,48.3,41.3,48.3,1969644,,,
2003-08-19,51.35,58.0,51.05,53.95,3324419,,,
2003-08-20,56.0,56.4,48.05,51.2,1739583,,,
2003-08-21,53.85,54.65,51.05,51.6,1186975,,,
2003-08-22,52.5,52.95,49.1,50.3,525432,,,
2003-08-25,51.35,51.35,43.15,49.0,1102798,,,
2003-08-26,49.15,54.45,47.05,53.7,1137993,,,
2003-08-27,54.5,57.5,51.1,53.6,1239162,,,
2003-08-28,54.0,55.0,52.5,52.9,348767,,,
2003-08-29,53.4,62.8,53.4,58.55,2247324,,,
2003-09-01,59.5,60.6,56.6,59.95,1327776,,,
2003-09-02,61.6,61.95,57.4,58.35,1312055,,,
2003-09-03,60.0,64.0,58.0,58.35,1533021,,,
2003-09-04,59.25,61.45,56.5,57.95,804760,,,
2003-09-05,58.6,59.35,57.3,59.05,397692,,,
2003-09-08,59.5,60.0,57.25,57.65,380705,,,
2003-09-09,58.25,58.25,55.5,56.1,272915,,,
2003-09-10,56.0,58.0,53.75,55.85,316465,,,
2003-09-11,58.15,60.85,57.0,58.0,760033,,,
2003-09-12,58.6,58.8,54.7,56.55,642930,,,
2003-09-15,55.25,59.35,54.5,56.55,728817,,,
2003-09-16,56.0,62.6,56.0,61.8,1994769,,,
2003-09-17,63.95,65.5,60.3,60.85,1093883,,,
2003-09-18,61.45,63.1,60.3,60.7,645549,,,
2003-09-19,61.5,64.95,60.0,64.0,1080983,,,
2003-09-22,67.5,67.9,63.55,66.25,1297020,,,
2003-09-23,67.1,67.4,64.25,65.2,585594,,,
2003-09-24,66.3,66.3,64.5,65.4,357394,,,
2003-09-25,65.0,66.0,64.6,65.05,273940,,,
2003-09-26,65.15,65.7,64.3,65.1,215139,,,
2003-09-29,65.45,66.5,65.45,65.7,246104,,,
2003-09-30,66.45,71.35,64.05,70.85,966331,,,
2003-10-01,71.65,75.8,68.65,74.6,995784,,,
2003-10-03,75.8,76.9,73.8,75.0,589937,,,
