Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2022-11-23,60.0,64.0,58.35,59.1,40023843,112062,357.16,20652402
2022-11-24,59.7,63.8,59.15,61.45,11843525,58149,203.68,3331770
2022-11-25,61.9,62.8,61.0,62.3,3229538,16340,197.65,1470359
2022-11-28,62.3,62.95,60.4,61.35,4647348,10207,455.31,3945409
2022-11-29,60.75,62.4,60.05,60.45,2032907,12310,165.14,768723
2022-11-30,61.7,62.7,60.5,60.75,2501714,11170,223.97,958328
2022-12-01,61.1,61.8,60.05,60.35,1220031,7183,169.85,551107
2022-12-02,60.4,61.0,60.1,60.35,1177501,5842,201.56,603995
2022-12-05,60.35,60.75,59.0,59.25,1150029,8234,139.67,677397
2022-12-06,59.2,59.9,57.0,57.25,1550686,12741,121.71,898252
2022-12-07,57.25,58.8,57.15,57.75,839722,5606,149.79,322196
2022-12-08,58.1,58.3,56.95,57.1,449552,4548,98.85,277725
2022-12-09,57.15,57.5,54.0,55.4,1439617,11577,124.35,618596
2022-12-12,54.8,55.3,53.5,53.85,754049,6785,111.13,417578
2022-12-13,53.75,55.5,53.7,54.25,646542,5137,125.86,282545
2022-12-14,54.25,55.5,53.8,53.95,734548,5745,127.86,304172
2022-12-15,53.95,55.4,53.85,54.6,710575,7125,99.73,346768
2022-12-16,54.2,54.55,53.05,53.2,645603,12696,50.85,388634
2022-12-19,53.2,53.2,48.6,49.35,3592141,28745,124.97,2445001
2022-12-20,49.55,50.25,49.1,49.75,1645112,8421,195.36,1109806
2022-12-21,50.0,50.1,46.3,47.8,1330177,10530,126.32,612786
2022-12-22,47.8,48.5,44.75,45.05,992449,8175,121.4,553098
2022-12-23,44.4,44.4,40.5,40.85,1720530,19277,89.25,936751
2022-12-26,40.85,46.7,40.15,44.9,2954826,19917,148.36,1024851
2022-12-27,45.75,46.15,43.05,43.9,1798841,14627,122.98,955922
2022-12-28,43.7,44.3,42.8,43.05,895522,8945,100.11,519399
2022-12-29,43.3,49.25,43.05,46.8,4921623,22785,216.0,1477175
2022-12-30,47.05,49.85,47.05,47.85,2329184,14252,163.43,849622
2023-01-02,48.1,48.65,46.65,47.0,812681,5606,144.97,365819
2023-01-03,47.0,47.65,46.7,47.1,521748,4111,126.92,214579
2023-01-04,47.1,47.45,45.55,46.15,927244,8398,110.41,459956
2023-01-05,46.4,47.6,45.1,45.5,887742,8753,101.42,380146
2023-01-06,45.6,45.75,44.15,44.7,570618,7998,71.35,298489
2023-01-09,44.95,45.25,43.8,44.55,628719,7885,79.74,295234
2023-01-10,44.5,45.65,44.45,44.7,583373,4665,125.05,216979
2023-01-11,44.7,47.65,44.7,46.4,2455238,8279,296.56,1588198
2023-01-12,46.65,47.65,46.2,47.1,1842914,5048,365.08,1357822
2023-01-13,47.35,47.35,46.35,46.7,430840,4384,98.28,147571
2023-01-16,46.35,47.45,45.75,46.45,3137419,10227,306.78,1585616
2023-01-17,46.65,47.5,46.0,47.15,2283622,12263,186.22,267694
2023-01-18,47.4,48.45,46.75,47.8,2074959,10970,189.15,338940
2023-01-19,47.6,48.3,47.55,47.8,1034416,6063,170.61,187810
2023-01-20,47.8,54.7,47.65,52.8,6322813,28291,223.49,2476928
2023-01-23,53.1,53.4,50.1,50.5,2646793,12630,209.56,664118
2023-01-24,50.75,52.3,50.1,50.6,2390523,10620,225.1,429028
2023-01-25,50.6,50.75,47.4,47.65,2235838,11635,192.16,687997
2023-01-27,47.9,49.05,45.35,46.1,1225623,7023,174.52,311813
2023-01-30,46.35,47.4,45.0,45.95,695492,5270,131.97,200802
2023-01-31,46.2,48.6,45.8,48.15,727392,5733,126.88,244464
2023-02-01,48.75,52.3,46.05,47.85,2579122,15865,162.57,820208
2023-02-02,47.95,49.8,46.0,46.85,1442850,7023,205.45,618940
2023-02-03,47.1,47.75,45.5,46.45,699778,5296,132.13,257133
2023-02-06,45.3,48.3,45.3,47.1,551339,4569,120.67,220870
2023-02-07,47.35,47.95,46.5,46.65,497681,3981,125.01,266142
2023-02-08,46.9,47.25,46.5,46.95,448856,3288,136.51,255447
2023-02-09,47.0,49.65,47.0,48.15,891784,6959,128.15,277698
2023-02-10,48.4,48.4,46.55,47.0,216996,2053,105.7,126771
2023-02-13,47.25,47.5,45.85,46.15,524804,2928,179.24,373033
2023-02-14,46.4,46.45,45.0,45.1,254435,2815,90.39,133045
2023-02-15,45.35,45.75,45.05,45.3,693453,2060,336.63,603902
2023-02-16,45.55,45.55,42.7,43.25,2138200,16230,131.74,1337900
2023-02-17,43.2,44.45,42.8,43.4,528799,3353,157.71,231445
2023-02-20,43.65,44.0,42.8,43.7,1566816,3134,499.94,1356421
2023-02-21,43.7,45.15,43.0,44.1,693639,5344,129.8,400364
2023-02-22,43.35,43.9,42.6,43.35,1720816,4490,383.26,1479213
2023-02-23,43.05,43.3,42.3,42.35,441520,4978,88.69,224182
2023-02-24,42.6,42.75,41.3,41.9,542900,6076,89.35,245926
2023-02-27,42.15,43.4,41.75,42.25,419399,3709,113.08,200544
2023-02-28,42.25,42.75,42.1,42.3,180807,1901,95.11,91906
2023-03-01,42.3,43.0,42.1,42.55,335541,3890,86.26,243935
2023-03-02,42.55,44.7,42.4,43.65,516844,4802,107.63,193209
2023-03-03,43.9,48.1,43.8,46.7,1689024,11778,143.4,856314
2023-03-06,47.0,48.35,46.2,47.25,2019834,6742,299.59,1300818
2023-03-08,47.25,47.25,46.05,46.5,1345487,3698,363.84,1111611
2023-03-09,46.3,48.5,46.3,47.9,925975,5572,166.18,535328
2023-03-10,46.9,47.6,46.55,46.85,398267,3695,107.79,198917
2023-03-13,46.85,47.15,44.45,44.9,568826,4600,123.66,223090
2023-03-14,44.65,45.15,43.65,43.9,284686,2799,101.71,157944
2023-03-15,44.35,44.95,43.15,43.65,197629,3476,56.86,114812
2023-03-16,43.6,43.85,42.6,43.0,255032,2867,88.95,130662
2023-03-17,43.25,43.9,42.9,43.2,208385,2310,90.21,137423
2023-03-20,43.8,43.8,40.4,41.45,547648,5164,106.05,322228
2023-03-21,41.7,42.85,41.55,42.45,244493,2407,101.58,125564
2023-03-22,42.7,44.3,42.25,43.75,420268,3453,121.71,242419
2023-03-23,44.0,44.0,42.5,42.6,261662,2621,99.83,146741
2023-03-24,42.8,42.85,40.65,41.1,269541,2778,97.03,169789
2023-03-27,41.35,41.7,39.1,39.95,1545387,3808,405.83,1380214
