Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2023-11-29,50.0,60.0,50.0,60.0,579810954,1002326,578.47,265054271
2023-11-30,64.3,68.9,60.55,65.3,391471914,1039210,376.7,112622270
2023-12-01,67.0,68.4,62.3,62.75,144125388,433518,332.46,46251907
2023-12-04,64.9,65.9,63.15,64.55,59388902,201870,294.19,23685857
2023-12-05,64.9,65.0,62.85,63.05,36397214,158227,230.03,19364448
2023-12-06,63.5,64.95,61.5,64.15,47249714,146646,322.2,17627058
2023-12-07,64.15,64.85,63.45,64.2,23388127,81022,288.66,11162623
2023-12-08,64.2,73.7,64.2,70.85,232352550,413752,561.57,53040979
2023-12-11,74.0,85.0,73.4,85.0,193564938,353454,547.64,46187263
2023-12-12,94.0,102.0,92.55,101.85,352556081,936454,376.48,70897914
2023-12-13,104.6,112.0,98.9,112.0,200767357,464530,432.19,40184212
2023-12-14,121.3,123.2,113.8,120.3,233953872,756763,309.15,64032892
2023-12-15,120.4,121.0,108.3,108.3,107529568,513417,209.44,47661353
2023-12-18,102.0,114.2,98.3,110.75,167648627,527506,317.81,35119921
2023-12-19,113.0,116.2,111.35,112.45,47989953,198804,241.39,17378484
2023-12-20,114.0,114.7,103.3,104.95,54934849,311088,176.59,23459078
2023-12-21,102.0,111.25,100.0,109.9,50301973,212582,236.62,14503263
2023-12-22,111.3,111.8,108.25,109.85,25157149,117590,213.94,9837755
2023-12-26,103.85,105.75,100.35,101.95,98548301,472015,208.78,48854523
2023-12-27,104.0,104.35,97.35,99.8,55795339,283283,196.96,21555189
2023-12-28,99.85,100.7,95.55,97.3,51912306,259554,200.01,18339546
2023-12-29,97.5,105.65,96.0,102.8,85731200,291943,293.66,26152972
2024-01-01,103.35,107.55,102.1,104.65,49275011,187012,263.49,18571739
2024-01-02,105.3,105.4,101.75,103.5,23688907,106209,223.04,8982168
2024-01-03,103.5,103.55,100.2,101.8,24148229,122236,197.55,9924644
2024-01-04,102.7,106.25,102.45,104.4,37518306,133228,281.61,12087479
2024-01-05,105.0,107.25,104.0,105.1,32759854,125033,262.01,11253528
2024-01-08,105.8,106.3,103.15,103.9,22377695,104063,215.04,8326908
2024-01-09,104.7,104.85,102.6,103.3,14941191,83555,178.82,6054677
2024-01-10,103.5,103.8,101.2,102.8,14828774,84258,175.99,6107486
2024-01-11,103.4,106.4,103.0,103.4,19177567,88887,215.75,7754440
2024-01-12,104.3,112.5,103.8,110.75,82669666,247478,334.05,30369611
2024-01-15,111.6,121.8,111.6,121.8,165494007,469279,352.66,53779140
2024-01-16,125.0,127.4,116.75,119.5,109786020,397266,276.35,41965832
2024-01-17,118.55,125.6,114.3,124.2,81578431,315605,258.48,26854989
2024-01-18,125.0,126.4,116.0,123.05,55701971,238175,233.87,17414144
2024-01-19,124.2,135.35,123.7,135.35,111113228,391773,283.62,39875999
2024-01-20,141.0,148.85,141.0,148.85,64465781,309570,208.24,24906024
2024-01-23,156.25,156.25,144.1,154.05,120793026,583532,207.0,42117947
2024-01-24,157.5,161.75,148.55,161.75,73799763,264171,279.36,20195317
2024-01-25,167.0,169.8,166.0,169.8,9149447,37735,242.47,6391939
2024-01-29,177.8,178.25,175.9,178.25,7515722,30319,247.89,5544113
2024-01-30,184.8,187.15,169.4,173.15,100689188,595925,168.96,38377785
2024-01-31,174.9,181.8,169.6,181.8,51527355,148486,347.02,18321245
2024-02-01,183.0,190.85,177.8,185.8,119539925,480742,248.66,32896648
2024-02-02,191.4,195.05,186.3,195.05,59779078,251424,237.76,21432003
2024-02-05,203.9,204.8,193.2,204.8,27925173,135325,206.36,11860705
2024-02-06,214.8,214.8,198.05,209.45,71926776,482129,149.19,24891429
2024-02-07,213.15,213.15,199.0,199.0,40621079,338955,119.84,20632601
2024-02-08,190.0,191.95,189.05,189.05,8349479,91614,91.14,5892680
2024-02-09,179.6,179.6,179.6,179.6,4080213,75262,54.21,4076115
2024-02-12,170.65,170.65,170.65,170.65,3358365,54176,61.99,3350506
2024-02-13,162.15,162.15,162.15,162.15,2750096,58298,47.17,2721687
2024-02-14,154.05,170.25,154.05,168.65,53059961,221238,239.83,22370129
2024-02-15,177.05,177.05,177.05,177.05,5249920,30345,173.01,5240122
2024-02-16,175.0,185.7,171.35,177.95,74074391,433413,170.91,25822760
2024-02-19,179.0,182.3,173.7,178.35,24033651,161404,148.9,7452604
2024-02-20,179.65,179.8,174.25,175.05,12824200,124010,103.41,6074977
2024-02-21,172.45,176.3,166.3,166.3,30569754,229418,133.25,13278038
2024-02-22,167.0,171.5,160.0,167.8,27560147,177372,155.38,9223118
2024-02-23,160.6,162.05,159.45,159.45,15227080,112798,134.99,12986220
2024-02-26,151.5,151.5,151.5,151.5,7605436,100950,75.34,7426587
2024-02-27,146.6,159.05,146.6,154.9,154589413,421289,366.94,46357306
2024-02-28,156.8,158.5,148.1,149.25,30930219,221583,139.59,14186790
2024-02-29,149.75,152.6,141.8,150.05,62619592,232367,269.49,30303640
2024-03-01,153.45,157.55,150.85,157.25,24614814,130836,188.13,10519952
2024-03-02,158.7,163.7,157.0,160.9,14271229,73724,193.58,5752451
2024-03-04,160.8,160.8,152.85,152.9,20299727,146444,138.62,10634130
2024-03-05,151.0,154.25,146.0,146.8,22487081,163749,137.33,10096458
2024-03-06,147.2,149.6,140.0,141.75,28753729,208381,137.99,12603533
2024-03-07,142.05,148.8,140.15,147.95,22757080,130660,174.17,7041170
2024-03-11,148.9,148.9,140.8,141.1,17124387,131193,130.53,8604572
2024-03-12,143.5,143.5,134.05,134.05,32417965,180834,179.27,12669782
2024-03-13,133.75,136.5,127.35,127.35,33355997,164992,202.17,12006897
2024-03-14,122.55,133.4,121.05,132.3,64900398,268241,241.95,16550474
2024-03-15,130.0,133.4,126.7,128.75,22010436,129493,169.97,7469140
2024-03-18,129.55,135.0,127.8,133.15,20658376,119308,173.15,6777028
2024-03-19,132.0,132.8,128.65,129.35,12511667,92367,135.46,5809602
2024-03-20,128.0,129.9,124.4,125.8,14062942,99313,141.6,5559772
2024-03-21,127.25,132.05,126.5,132.05,19716558,64949,303.57,7690136
2024-03-22,133.7,138.65,132.2,138.65,22898920,78941,290.08,8876135
2024-03-26,141.4,144.45,139.35,140.75,21428828,113362,189.03,9786901
2024-03-27,142.9,144.4,135.0,136.0,23110828,133477,173.14,11572579
2024-03-28,138.25,139.5,135.5,135.9,13307678,73636,180.72,6342598
2024-04-01,138.0,142.65,137.7,142.65,15806364,55034,287.21,6696894
2024-04-02,146.45,149.75,146.45,149.75,10211472,28140,362.88,6073632
2024-04-03,148.85,157.2,147.1,157.2,26027259,68992,377.25,10289984
2024-04-04,163.85,165.05,154.5,158.35,54231026,265379,204.35,20510670
2024-04-05,162.0,181.15,161.0,176.45,142812761,667008,214.11,35697745
2024-04-08,182.0,183.65,170.85,174.3,59008202,311906,189.19,19012205
2024-04-09,175.2,175.2,166.7,169.25,34261082,210165,163.02,12437593
2024-04-10,169.45,170.45,165.0,166.4,18676248,118497,157.61,6879398
2024-04-12,165.4,173.0,164.25,167.2,27576778,153991,179.08,8801861
2024-04-15,160.3,163.1,153.25,158.6,44926047,260808,172.26,14389196
2024-04-16,156.0,163.5,155.5,160.05,22634141,132112,171.33,7011258
2024-04-18,164.0,169.7,162.5,163.15,30562725,157423,194.14,10239054
2024-04-19,160.0,162.95,157.15,160.7,20720974,118882,174.3,6652612
2024-04-22,179.0,179.0,169.25,170.5,62935305,264422,238.01,19381669
2024-04-23,172.5,172.5,167.5,167.95,26323408,132573,198.56,10147322
2024-04-24,168.55,170.95,165.65,166.6,21484168,113472,189.33,8289136
2024-04-25,166.5,170.4,165.4,167.25,17047847,89448,190.59,6535139
2024-04-26,168.4,174.65,166.8,170.65,40701192,174981,232.6,12824498
2024-04-29,187.1,192.2,180.1,181.4,103326709,462307,223.5,31220317
2024-04-30,182.7,184.3,177.45,178.25,31699020,188586,168.09,11784399
2024-05-02,179.45,184.45,176.25,181.4,32180611,173212,185.79,11055001
2024-05-03,182.8,183.7,177.7,179.65,18860176,117427,160.61,7668493
2024-05-06,178.8,178.8,167.55,172.25,35683685,251020,142.15,12067453
2024-05-07,172.25,173.85,166.2,167.7,18264182,130650,139.79,6995407
2024-05-08,165.65,174.0,165.1,170.9,20738689,118024,175.72,5814157
2024-05-09,171.45,171.95,163.75,164.8,12181730,103461,117.74,5529428
2024-05-10,166.0,167.4,160.55,164.7,13237010,97053,136.39,3650869
2024-05-13,165.0,165.2,158.7,163.1,12640558,99390,127.18,4308338
2024-05-14,164.5,174.75,164.0,173.15,20644658,123963,166.54,8329297
2024-05-15,175.0,175.9,171.1,172.0,14330210,87944,162.95,5716606
2024-05-16,173.95,174.25,170.5,171.15,11865626,77122,153.86,4187185
2024-05-17,171.95,178.5,170.7,174.95,26994094,141739,190.45,9142303
2024-05-18,175.7,177.5,175.4,176.3,5404261,32488,166.35,2972686
2024-05-21,177.0,184.8,174.6,183.65,47989916,247775,193.68,19718663
2024-05-22,186.0,193.15,182.55,188.85,73020031,336743,216.84,21638560
2024-05-23,189.2,194.6,187.2,189.05,40572853,202319,200.54,13768901
2024-05-24,189.7,194.45,184.2,185.55,33110360,179472,184.49,11495546
2024-05-27,190.5,196.8,190.5,193.3,46470616,225547,206.04,17531573
2024-05-28,194.8,196.2,182.35,184.9,38059308,249694,152.42,16595714
2024-05-29,183.0,186.3,178.5,185.25,23919211,132058,181.13,7443594
2024-05-30,185.0,185.8,180.85,181.3,15258803,100306,152.12,6332921
2024-05-31,182.5,186.0,176.1,184.8,24117438,137700,175.14,8725682
2024-06-03,200.0,200.25,189.4,191.9,45427419,268346,169.29,19680032
2024-06-04,190.0,190.0,154.0,167.45,87754131,683095,128.47,30103998
2024-06-05,168.0,174.7,155.0,172.7,43855047,358760,122.24,12296378
2024-06-06,176.5,182.0,175.75,178.3,22320317,142150,157.02,7128434
2024-06-07,178.65,182.5,174.85,180.85,19795848,124717,158.73,6905686
2024-06-10,182.25,182.7,178.0,178.55,14840898,112732,131.65,5975461
2024-06-11,180.7,183.0,178.6,180.23,16956779,114891,147.59,6004331
2024-06-12,180.45,186.14,179.92,182.58,20214465,111135,181.89,7223868
2024-06-13,183.5,184.0,179.26,180.06,12309733,94617,130.1,6224533
2024-06-14,180.26,182.3,177.5,179.11,15913225,111257,143.03,5743404
2024-06-18,180.2,181.76,177.71,178.03,14305706,125147,114.31,7486121
2024-06-19,178.76,178.79,173.22,175.78,10800398,101542,106.36,4644897
2024-06-20,176.64,180.99,174.8,177.49,14018198,97953,143.11,5249644
2024-06-21,178.25,191.0,178.25,187.54,94311893,356477,264.57,46836766
2024-06-24,192.0,195.4,188.4,189.64,35818533,214876,166.69,12926072
2024-06-25,190.4,190.8,184.5,185.05,16110541,130597,123.36,8002962
2024-06-26,185.05,199.44,183.1,194.69,100559239,505294,199.01,31228993
2024-06-27,196.0,205.1,192.26,193.38,66090155,357462,184.89,20204922
2024-06-28,195.3,195.7,188.76,190.44,24355673,161643,150.68,10495832
2024-07-01,200.0,201.82,194.61,196.11,34096446,185805,183.51,11781999
2024-07-02,197.15,209.0,192.8,205.35,65912468,298259,220.99,24766436
2024-07-03,212.1,225.88,208.75,223.11,159681424,724969,220.26,37100197
2024-07-04,223.23,228.48,218.41,220.49,68381930,389015,175.78,20043694
2024-07-05,220.83,232.0,219.26,228.84,55309588,296406,186.6,17641795
2024-07-08,232.0,248.85,231.8,246.38,97684592,569915,171.4,21795548
2024-07-09,251.01,254.0,228.01,240.53,72152055,489594,147.37,19540856
2024-07-10,241.55,249.55,230.0,247.28,70516062,417720,168.81,14719163
2024-07-11,248.39,289.33,241.55,283.69,200719317,971380,206.63,31049407
2024-07-12,282.9,304.5,275.05,284.26,227015725,1661150,136.66,39708290
2024-07-15,300.0,310.0,286.88,289.65,106576924,806800,132.1,25557619
2024-07-16,288.7,288.7,270.2,272.08,73797972,768065,96.08,24468937
2024-07-18,267.39,267.39,252.0,257.4,89133329,799195,111.53,21375610
2024-07-19,253.5,279.0,251.25,272.1,107729154,775847,138.85,15549799
2024-07-22,274.0,279.88,266.3,269.85,38163945,313337,121.8,9459471
2024-07-23,272.7,282.9,232.0,258.65,106704297,920134,115.97,20118303
2024-07-24,261.8,272.89,261.8,269.26,35527332,256386,138.57,7850152
2024-07-25,266.4,268.25,260.0,261.18,23498679,223839,104.98,7219304
2024-07-26,263.5,268.1,257.01,258.03,19934107,178382,111.75,7114836
2024-07-29,261.0,268.35,257.01,266.01,28683160,232493,123.37,7156755
2024-07-30,265.95,269.95,262.8,263.94,16147525,135834,118.88,5422316
2024-07-31,265.2,268.74,262.11,262.63,12879999,122788,104.9,4524274
2024-08-01,264.15,265.4,256.05,257.85,13170422,151901,86.7,5664687
2024-08-02,254.0,258.45,251.8,254.5,15185550,170556,89.04,5232924
2024-08-05,241.95,247.6,235.0,238.9,34693995,426066,81.43,12888659
2024-08-06,244.0,250.0,234.0,235.95,20303478,200522,101.25,6147192
2024-08-07,246.0,249.5,236.5,248.25,21802887,177315,122.96,4865508
2024-08-08,249.0,252.5,244.6,247.8,19944879,155633,128.15,5197090
2024-08-09,251.45,251.8,242.5,243.45,11933160,112737,105.85,3859673
2024-08-12,240.0,253.0,236.85,247.75,24208283,228188,106.09,5526218
2024-08-13,245.0,247.65,240.0,240.5,10661503,129705,82.2,4065342
2024-08-14,241.75,242.6,234.3,236.2,9658732,120487,80.16,3030821
2024-08-16,239.2,242.65,238.25,240.1,8414689,93456,90.04,2911077
2024-08-19,241.6,249.3,241.2,244.7,10896632,109329,99.67,3322192
2024-08-20,245.45,245.95,240.0,240.45,7513400,91397,82.21,2962527
2024-08-21,240.5,242.85,238.5,238.95,6332911,73839,85.77,2437419
2024-08-22,246.0,265.7,246.0,257.1,87125691,574930,151.54,16362006
2024-08-23,260.95,265.8,257.3,260.3,24704533,194525,127.0,5746079
2024-08-26,262.0,262.45,253.1,253.55,12144509,127652,95.14,4650310
2024-08-27,253.55,258.5,250.7,255.15,12343641,109631,112.59,3329041
2024-08-28,256.1,258.4,253.05,253.95,10585106,100682,105.13,3188836
2024-08-29,255.5,262.95,253.0,254.75,13819601,126042,109.64,3414917
2024-08-30,258.0,259.5,238.05,241.5,45308414,272227,166.44,24934398
2024-09-02,241.35,241.35,235.3,238.93,16826533,167367,100.54,5994181
2024-09-03,239.0,240.0,236.44,239.3,9344884,100926,92.59,3667163
2024-09-04,235.0,238.33,235.0,235.46,8671698,110616,78.39,4030932
2024-09-05,236.68,238.65,234.36,235.33,7763279,81990,94.69,2743277
2024-09-06,234.3,235.7,226.27,227.4,14795733,202544,73.05,6175355
2024-09-09,226.0,228.25,220.64,223.17,15786916,176527,89.43,5695030
2024-09-10,228.77,239.45,228.41,233.5,30985815,227085,136.45,5133448
2024-09-11,239.45,240.0,227.75,228.87,15692638,138310,113.46,4684938
2024-09-12,231.3,234.88,224.8,232.64,12505012,118180,105.81,3264785
2024-09-13,232.5,235.45,229.82,231.59,8982424,76569,117.31,2302011
2024-09-16,232.0,233.81,227.5,228.39,8067727,88136,91.54,2829112
2024-09-17,230.0,235.0,224.54,227.74,19142098,169337,113.04,4364843
2024-09-18,227.06,233.33,227.0,227.39,10331172,90667,113.95,2529087
