Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2021-05-05,596.25,618.0,567.55,572.95,246983,EQ,10560,23.39,106047
2021-05-06,572.75,572.75,555.85,560.6,54294,EQ,4013,13.53,36257
2021-05-07,567.0,573.05,546.95,551.05,67647,EQ,3845,17.59,39195
2021-05-10,553.0,598.85,553.0,584.8,405407,EQ,11702,34.64,230252
2021-05-11,576.0,599.85,568.05,571.7,166749,EQ,5627,29.63,100007
2021-05-12,570.0,576.6,553.9,556.15,84596,EQ,3338,25.34,50816
2021-05-14,558.0,562.25,538.8,540.15,93025,EQ,2560,36.34,71160
2021-05-17,536.5,553.15,536.5,548.0,53559,EQ,1444,37.09,40032
2021-05-18,551.1,554.0,536.3,542.2,51187,EQ,1838,27.85,36988
2021-05-19,542.2,575.8,540.6,558.4,167274,EQ,3788,44.16,96547
2021-05-20,561.75,563.9,538.0,543.55,80640,EQ,2915,27.66,58236
2021-05-21,543.55,548.9,534.0,536.35,51430,EQ,2231,23.05,35999
2021-05-24,539.55,543.05,524.15,528.85,75409,EQ,2496,30.21,60127
2021-05-25,530.0,540.0,524.8,526.85,38393,EQ,1625,23.63,27455
2021-05-26,530.9,553.0,528.0,536.75,338267,EQ,7421,45.58,216438
2021-05-27,544.5,579.0,540.05,568.25,362319,EQ,9599,37.75,170880
2021-05-28,569.9,577.9,565.0,570.35,116002,EQ,3740,31.02,79469
2021-05-31,570.35,586.0,553.25,565.85,118936,EQ,4694,25.34,72976
2021-06-01,568.0,576.9,552.0,556.05,64412,EQ,2504,25.72,44345
2021-06-02,555.5,573.95,555.45,571.55,62072,EQ,2602,23.86,41475
2021-06-03,583.0,615.0,583.0,591.4,393566,EQ,10967,35.89,250460
2021-06-04,592.0,594.9,575.65,579.95,137734,EQ,5302,25.98,71938
2021-06-07,590.0,609.9,588.95,605.1,146143,EQ,5202,28.09,96067
2021-06-08,608.65,644.95,606.1,640.2,355844,EQ,10910,32.62,193101
2021-06-09,647.7,654.0,595.75,614.9,155148,EQ,6656,23.31,88632
2021-06-10,620.55,627.9,611.75,620.85,86342,EQ,2905,29.72,57374
2021-06-11,624.2,626.7,604.5,607.75,52520,EQ,2198,23.89,32236
2021-06-14,613.75,642.9,587.0,618.15,104060,EQ,4325,24.06,55875
2021-06-15,620.0,628.0,605.8,613.45,65619,EQ,2760,23.78,35847
2021-06-16,616.0,618.0,589.0,598.3,88785,EQ,4269,20.8,57267
2021-06-17,607.0,628.0,595.0,598.05,152211,EQ,6933,21.95,64707
2021-06-18,603.65,624.65,582.25,618.15,145828,EQ,6133,23.78,77777
2021-06-21,604.0,627.0,595.85,623.3,70199,EQ,3202,21.92,38882
2021-06-22,629.45,632.75,608.85,613.8,78713,EQ,5270,14.94,43205
2021-06-23,623.9,626.4,612.05,614.9,44445,EQ,2242,19.82,27374
2021-06-24,615.5,629.0,613.5,622.6,67738,EQ,2673,25.34,42075
2021-06-25,627.9,635.0,607.05,615.6,99438,EQ,3410,29.16,66087
2021-06-28,623.5,738.7,623.5,714.4,1637496,EQ,36094,45.37,406711
2021-06-29,735.0,777.0,693.0,704.6,1451347,EQ,42115,34.46,315533
2021-06-30,714.0,825.0,712.3,767.5,1749754,EQ,60013,29.16,381073
2021-07-01,784.0,801.9,743.75,775.2,612668,EQ,20503,29.88,156087
2021-07-02,782.9,816.0,754.15,801.65,589794,EQ,15911,37.07,229414
2021-07-05,845.5,878.35,840.0,854.75,929617,EQ,31957,29.09,366058
2021-07-06,863.0,863.0,827.25,831.35,243076,EQ,11159,21.78,116476
