Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2020-07-01,17.71,17.71,14.65,14.65,26187,55.0,476.13,8633.0
2020-07-02,14.65,15.74,14.65,15.26,5602,31.0,180.71,2205.0
2020-07-03,15.41,15.41,15.28,15.38,13559,18.0,753.28,13558.0
2020-07-06,15.5,18.16,15.41,15.55,33643,168.0,200.26,18467.0
2020-07-07,15.55,16.29,15.55,15.74,15727,53.0,296.74,10997.0
2020-07-08,15.74,15.76,15.44,15.5,8654,55.0,157.35,5818.0
2020-07-09,15.5,15.62,15.5,15.55,3476,31.0,112.13,2757.0
2020-07-10,18.5,18.5,15.25,15.59,1918,37.0,51.84,1458.0
2020-07-13,16.0,16.33,15.76,15.91,20495,66.0,310.53,14018.0
2020-07-14,16.1,16.1,15.68,15.73,2659,31.0,85.77,2610.0
2020-07-15,16.08,16.67,16.08,16.55,28017,45.0,622.6,25166.0
2020-07-16,18.0,18.0,14.0,17.01,880255,174.0,5058.94,869103.0
2020-07-17,18.0,18.0,16.65,16.84,38548,89.0,433.12,33100.0
2020-07-20,16.84,20.0,16.84,17.25,187440,212.0,884.15,130212.0
2020-07-21,17.5,17.9,17.21,17.32,1550942,242.0,6408.85,1547235.0
2020-07-22,17.9,17.9,17.1,17.16,29477,107.0,275.49,25714.0
2020-07-23,18.17,18.17,16.94,17.17,20777,114.0,182.25,19688.0
2020-07-24,18.17,18.17,16.34,17.25,9380,77.0,121.82,6150.0
2020-07-27,17.55,17.79,17.09,17.62,63121,100.0,631.21,58071.0
2020-07-28,18.0,18.14,17.65,18.05,1725592,456.0,3784.19,1714223.0
2020-07-29,18.5,18.5,17.9,17.96,24789,106.0,233.86,16485.0
2020-07-30,18.13,18.69,17.96,18.13,664241,92.0,7220.01,661882.0
2020-07-31,18.13,18.4,18.0,18.18,16443,70.0,234.9,14725.0
2020-08-03,18.55,19.0,17.95,18.07,381205,232.0,1643.12,269989.0
2020-08-04,18.66,18.66,17.48,17.76,91842,186.0,493.77,72583.0
2020-08-05,18.0,21.4,17.03,17.91,47849,176.0,271.87,23436.0
2020-08-06,18.47,18.47,18.01,18.12,35463,91.0,389.7,25727.0
2020-08-07,18.3,18.5,18.06,18.12,46627,105.0,444.07,39553.0
2020-08-10,18.42,18.5,18.06,18.24,67876,101.0,672.04,50967.0
2020-08-11,18.5,18.5,18.18,18.2,5428984,262.0,20721.31,5428600.0
2020-08-12,18.25,18.25,18.01,18.07,33023,115.0,287.16,32637.0
2020-08-13,18.4,18.48,18.14,18.15,14520,85.0,170.82,12891.0
2020-08-14,18.45,18.5,18.1,18.14,40088,84.0,477.24,29148.0
2020-08-17,18.48,18.5,18.14,18.25,8898,84.0,105.93,8147.0
2020-08-18,18.3,18.46,18.15,18.37,3528959,237.0,14890.12,3528268.0
2020-08-19,18.5,18.5,18.3,18.35,19504,118.0,165.29,16038.0
2020-08-20,18.3,18.5,18.15,18.26,29633,121.0,244.9,28187.0
2020-08-21,18.48,18.48,18.11,18.24,23928,89.0,268.85,23204.0
2020-08-24,18.5,18.5,18.05,18.11,53778,151.0,356.15,48931.0
2020-08-25,18.45,18.45,18.0,18.04,33322,127.0,262.38,29810.0
2020-08-26,18.38,18.38,18.04,18.09,15039,93.0,161.71,13419.0
2020-08-27,18.45,18.49,18.1,18.2,34746,65.0,534.55,34256.0
2020-08-28,18.2,18.37,17.77,18.08,260226,128.0,2033.02,259893.0
2020-08-31,18.48,18.49,17.95,17.99,653796,197.0,3318.76,566665.0
2020-09-01,18.15,18.15,17.85,17.91,184788,144.0,1283.25,102010.0
2020-09-02,18.3,18.49,17.65,18.02,11121,91.0,122.21,7852.0
2020-09-03,18.43,18.45,17.65,18.36,571499,109.0,5243.11,550450.0
2020-09-04,18.01,18.2,17.9,18.11,120820,96.0,1258.54,111489.0
2020-09-07,18.11,18.44,18.05,18.1,114911,58.0,1981.22,112762.0
2020-09-08,18.44,18.9,18.06,18.54,877850,221.0,3972.17,636513.0
2020-09-09,18.44,18.5,18.2,18.35,507175,83.0,6110.54,506842.0
2020-09-10,18.44,18.5,18.0,18.3,1795195,166.0,10814.43,1741633.0
2020-09-11,18.8,18.89,18.12,18.71,66545,124.0,536.65,47094.0
2020-09-14,19.0,19.7,18.71,19.55,10217395,1116.0,9155.37,10124282.0
2020-09-15,20.0,20.47,19.44,19.8,3455543,442.0,7817.97,3413232.0
2020-09-16,19.7,19.89,19.5,19.77,51573,139.0,371.03,45859.0
2020-09-17,19.75,20.13,19.75,19.94,1046991,186.0,5628.98,1038075.0
2020-09-18,20.78,20.78,19.94,20.06,7446214,829.0,8982.16,7340136.0
2020-09-21,21.4,21.4,19.8,19.82,4693158,1253.0,3745.54,4518459.0
2020-09-22,19.82,20.3,19.43,19.95,294156,705.0,417.24,226965.0
2020-09-23,20.98,20.98,19.75,19.88,2306373,844.0,2732.67,2281347.0
2020-09-24,19.85,19.9,19.0,19.05,1095042,1280.0,855.5,1042461.0
2020-09-25,19.78,19.78,19.06,19.7,170585,455.0,374.91,140136.0
2020-09-28,20.5,20.5,19.54,19.79,163937,,,
