Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2020-08-20,18.25,18.25,18.15,18.15,1143,EQ,27.0,42.33,1005.0
2020-08-21,19.0,19.0,18.15,18.15,138,EQ,18.0,7.67,118.0
2020-08-24,18.2,18.2,17.85,18.0,986,EQ,35.0,28.17,608.0
2020-08-25,17.85,18.0,17.85,18.0,399,EQ,20.0,19.95,333.0
2020-08-26,18.0,18.2,18.0,18.15,292,EQ,11.0,26.55,117.0
2020-08-27,18.25,18.25,18.2,18.2,5203,EQ,10.0,520.3,5099.0
2020-08-28,19.0,21.2,18.1,18.25,1748,EQ,43.0,40.65,966.0
2020-08-31,18.25,18.45,17.9,18.0,308,EQ,18.0,17.11,299.0
2020-09-01,18.4,18.5,17.85,17.9,807,EQ,25.0,32.28,750.0
2020-09-02,18.1,18.2,17.95,18.1,1074,EQ,24.0,44.75,660.0
2020-09-03,18.1,18.4,18.1,18.4,215,EQ,9.0,23.89,162.0
2020-09-04,18.25,18.3,18.1,18.15,407,EQ,24.0,16.96,256.0
2020-09-07,18.3,18.4,18.05,18.05,235,EQ,14.0,16.79,181.0
2020-09-08,17.6,18.7,17.6,18.45,1458133,EQ,83.0,17567.87,1451900.0
2020-09-09,19.2,19.2,17.85,18.3,377751,EQ,91.0,4151.11,367879.0
2020-09-10,18.3,18.4,18.25,18.4,859,EQ,22.0,39.05,658.0
2020-09-11,18.3,18.75,18.1,18.65,13537,EQ,51.0,265.43,1267.0
2020-09-14,18.7,19.5,18.5,19.45,7358,EQ,104.0,70.75,4366.0
2020-09-15,19.45,20.2,19.45,19.7,255574,EQ,120.0,2129.78,251876.0
2020-09-16,19.5,19.85,19.5,19.65,2132806,EQ,396.0,5385.87,2110484.0
2020-09-17,19.65,20.0,19.65,19.95,49495,EQ,66.0,749.92,34318.0
2020-09-18,23.45,23.45,19.6,19.95,1131,EQ,45.0,25.13,910.0
2020-09-21,19.9,20.35,19.75,19.8,1087180,EQ,160.0,6794.88,982138.0
2020-09-22,19.8,20.2,19.4,19.95,1166222,EQ,89.0,13103.62,1152884.0
2020-09-23,20.4,22.8,19.7,19.85,1088275,EQ,146.0,7453.94,1043758.0
2020-09-24,19.6,19.65,19.0,19.0,113967,EQ,258.0,441.73,88528.0
2020-09-25,22.5,22.5,19.2,19.6,2602,EQ,47.0,55.36,2556.0
2020-09-28,19.7,19.9,19.5,19.85,105138,EQ,,,
2020-09-29,19.9,20.1,15.9,19.85,10529,EQ,73.0,144.23,4585.0
2020-09-30,20.0,20.05,19.8,20.0,48197,EQ,78.0,617.91,28020.0
2020-10-01,20.15,21.0,20.0,20.1,4280,EQ,81.0,52.84,1258.0
2020-10-05,20.3,21.0,20.1,20.95,93210,EQ,124.0,751.69,79571.0
2020-10-06,20.9,21.0,20.65,21.0,20771,EQ,100.0,207.71,15116.0
2020-10-07,20.9,21.1,20.8,21.1,276613,EQ,80.0,3457.66,270533.0
2020-10-08,21.9,22.95,21.5,21.85,432959,EQ,3766.0,114.97,427415.0
2020-10-09,22.95,22.95,21.55,21.9,14536,EQ,194.0,74.93,8361.0
2020-10-12,22.9,22.95,21.9,22.3,55179,EQ,150.0,367.86,51030.0
2020-10-13,22.7,23.05,21.55,22.7,741204,EQ,297.0,2495.64,728597.0
2020-10-14,23.2,23.2,22.2,22.25,69566,EQ,137.0,507.78,61341.0
2020-10-15,22.6,22.6,21.5,21.65,1165160,EQ,507.0,2298.15,1096224.0
2020-10-16,22.75,22.75,21.0,21.6,23378,EQ,119.0,196.45,4533.0
2020-10-19,21.65,21.65,21.4,21.45,6355,EQ,78.0,81.47,5494.0
2020-10-20,21.7,22.0,21.6,21.75,89015,EQ,146.0,609.69,78768.0
2020-10-21,21.8,22.2,21.5,21.6,673126,EQ,3530.0,190.69,653035.0
2020-10-22,21.7,21.75,21.35,21.45,2269,EQ,82.0,27.67,1886.0
2020-10-23,21.5,21.75,21.45,21.7,137505,EQ,60.0,2291.75,131823.0
2020-10-26,22.3,25.7,21.25,21.3,9872,EQ,185.0,53.36,6248.0
2020-10-27,21.3,21.3,21.0,21.1,11547,EQ,92.0,125.51,10593.0
2020-10-28,21.1,21.3,20.9,20.95,25510,EQ,127.0,200.87,14138.0
2020-10-29,20.95,21.0,20.4,21.0,3888,EQ,87.0,44.69,2892.0
2020-10-30,21.0,21.3,20.95,21.1,3103,EQ,109.0,28.47,2594.0
2020-11-02,21.75,21.75,20.8,20.9,6324,EQ,201.0,31.46,5918.0
2020-11-03,20.9,21.05,20.35,20.95,35388,EQ,76.0,465.63,34218.0
2020-11-04,21.2,21.5,21.1,21.25,20927,EQ,88.0,237.81,15214.0
2020-11-05,21.3,21.7,21.25,21.55,35429,EQ,191.0,185.49,29126.0
2020-11-06,21.55,21.65,21.4,21.6,26463,EQ,60.0,441.05,26072.0
2020-11-09,22.0,22.5,21.7,21.95,1329290,EQ,159.0,8360.31,1321250.0
2020-11-10,22.3,22.3,21.05,21.05,56771,EQ,425.0,133.58,34215.0
2020-11-11,21.7,21.95,21.1,21.5,826546,EQ,230.0,3593.68,779107.0
2020-11-12,21.5,21.7,21.35,21.55,24153,EQ,76.0,317.8,17573.0
2020-11-13,21.55,21.6,21.45,21.6,1688,EQ,35.0,48.23,1441.0
2020-11-17,21.75,21.75,21.5,21.55,261743,EQ,135.0,1938.84,257121.0
2020-11-18,21.7,21.8,21.25,21.35,127618,EQ,146.0,874.1,124349.0
2020-11-19,21.5,21.65,21.2,21.25,673205,EQ,118.0,5705.13,667962.0
2020-11-20,22.2,22.2,20.8,21.55,1746,EQ,89.0,19.62,1342.0
2020-11-23,22.3,22.3,21.2,22.15,266640,EQ,262.0,1017.71,262984.0
2020-11-24,22.15,22.45,22.15,22.25,18655,EQ,127.0,146.89,17535.0
2020-11-25,22.2,22.2,21.9,21.9,1668,EQ,85.0,19.62,1076.0
2020-11-26,21.9,22.2,21.3,22.0,4225,EQ,63.0,67.06,3765.0
2020-11-27,21.9,22.0,21.9,21.95,654,EQ,42.0,15.57,390.0
2020-12-01,21.95,22.3,21.95,22.3,5720,EQ,148.0,38.65,5431.0
2020-12-02,22.3,22.5,22.15,22.4,2432,EQ,115.0,21.15,1756.0
2020-12-03,22.4,22.45,22.4,22.4,3939,EQ,45.0,87.53,2964.0
2020-12-04,22.3,22.55,22.3,22.5,2008,EQ,139.0,14.45,1552.0
2020-12-07,22.7,22.8,22.45,22.55,13029,EQ,70.0,186.13,10233.0
2020-12-08,22.4,22.8,22.4,22.8,399147,EQ,144.0,2771.85,389001.0
2020-12-09,23.3,23.3,22.8,22.9,2702,EQ,142.0,19.03,1957.0
2020-12-10,22.95,23.3,22.75,22.95,5116,EQ,66.0,77.52,4756.0
2020-12-11,23.1,23.3,22.7,22.75,1943,EQ,76.0,25.57,1319.0
2020-12-14,22.7,23.4,22.5,22.85,16990,EQ,68.0,249.85,16371.0
2020-12-15,22.85,22.95,22.8,22.9,326,EQ,32.0,10.19,199.0
2020-12-16,22.5,23.05,22.5,23.0,2875,EQ,43.0,66.86,2718.0
2020-12-17,22.95,23.1,22.95,23.0,7765,EQ,62.0,125.24,6500.0
2020-12-18,23.3,23.55,23.3,23.45,16230,EQ,124.0,130.89,15752.0
2020-12-21,24.15,24.15,22.8,23.1,61975,EQ,163.0,380.21,48229.0
2020-12-22,23.05,23.9,22.95,23.8,1166677,EQ,456.0,2558.5,1150964.0
2020-12-23,23.5,25.45,23.05,24.65,983597,EQ,349.0,2818.33,977074.0
2020-12-24,25.45,25.45,23.95,24.15,316256,EQ,324.0,976.1,309161.0
2020-12-28,24.9,24.9,24.15,24.3,199519,EQ,167.0,1194.72,191714.0
2020-12-29,24.5,24.6,24.25,24.45,97208,EQ,129.0,753.55,94014.0
2020-12-30,25.15,25.45,24.35,24.4,255370,EQ,203.0,1257.98,248980.0
2020-12-31,24.5,24.5,24.3,24.35,117396,EQ,103.0,1139.77,114611.0
2021-01-01,25.1,25.45,24.35,24.65,13593,EQ,126.0,107.88,10850.0
2021-01-04,25.4,26.0,24.65,25.3,222025,EQ,433.0,512.76,219748.0
2021-01-05,26.05,26.15,25.05,25.9,19957,EQ,270.0,73.91,13895.0
2021-01-06,25.9,26.8,25.35,25.55,25326,EQ,411.0,61.62,13521.0
2021-01-07,26.45,26.45,25.2,25.4,181494,EQ,795.0,228.29,162630.0
2021-01-08,26.1,26.3,25.35,26.25,212670,EQ,436.0,487.78,197322.0
2021-01-11,27.05,27.5,26.35,27.3,114615,EQ,1006.0,113.93,81620.0
2021-01-12,27.5,28.7,27.0,27.2,62208,EQ,690.0,90.16,39933.0
2021-01-13,27.9,27.9,26.9,27.2,31073,EQ,358.0,86.8,8295.0
2021-01-14,27.5,27.5,26.5,27.15,29879,EQ,534.0,55.95,9892.0
2021-01-15,27.95,27.95,26.5,26.6,32768,EQ,430.0,76.2,18560.0
2021-01-18,27.2,27.2,25.9,26.15,51176,EQ,560.0,91.39,17741.0
2021-01-19,26.8,26.8,26.1,26.3,6959,EQ,196.0,35.51,4187.0
2021-01-20,26.6,26.95,26.45,26.7,8325,EQ,433.0,19.23,4683.0
2021-01-21,27.5,27.5,26.55,26.65,37050,EQ,208.0,178.12,23702.0
2021-01-22,26.55,27.1,26.55,26.7,30112,EQ,214.0,140.71,10259.0
2021-01-25,27.2,27.2,26.1,26.3,6932,EQ,229.0,30.27,4439.0
2021-01-27,26.7,26.7,25.5,25.95,85299,EQ,1105.0,77.19,61628.0
2021-01-28,26.0,26.35,25.4,25.5,759603,EQ,1634.0,464.87,630381.0
2021-01-29,26.0,26.0,24.7,24.85,72367,EQ,434.0,166.74,35440.0
2021-02-01,25.5,25.5,24.45,25.1,124439,EQ,1043.0,119.31,90496.0
2021-02-02,25.85,26.0,25.3,25.5,116853,EQ,366.0,319.27,107728.0
2021-02-03,25.3,26.1,25.3,25.6,641604,EQ,1400.0,458.29,620872.0
2021-02-04,26.0,26.0,25.5,25.65,235982,EQ,209.0,1129.1,221151.0
2021-02-05,26.2,26.2,25.35,25.55,11130,EQ,300.0,37.1,8754.0
2021-02-08,26.05,26.2,25.55,26.0,62609,EQ,270.0,231.89,59089.0
2021-02-09,26.3,26.5,25.75,25.95,22196,EQ,362.0,61.31,16348.0
2021-02-10,25.8,26.1,25.75,26.0,199850,EQ,579.0,345.16,190923.0
2021-02-11,25.8,26.3,25.8,26.15,8518,EQ,1637.0,5.2,6555.0
2021-02-12,25.9,26.6,25.8,26.35,30261,EQ,237.0,127.68,22745.0
2021-02-15,25.8,26.8,25.8,26.1,27682,EQ,426.0,64.98,25900.0
2021-02-16,26.9,26.9,25.65,25.75,62059,EQ,614.0,101.07,53019.0
2021-02-17,25.75,26.1,25.45,25.5,7192,EQ,292.0,24.63,5843.0
