Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2025-10-03,125.0,126.95,118.75,121.66,3140504,BE,19010.0,165.2,3140504.0
2025-10-06,115.57,118.99,115.57,115.57,153875,BE,2067.0,74.44,153875.0
2025-10-07,109.79,117.99,109.79,111.76,393143,BE,3811.0,103.16,393143.0
2025-10-08,109.4,114.94,106.17,113.3,252123,BE,2858.0,88.22,252123.0
2025-10-09,111.01,115.0,108.3,112.51,117825,BE,1189.0,99.1,117825.0
2025-10-10,113.15,114.0,110.0,110.64,139999,BE,1039.0,134.74,139999.0
2025-10-13,110.1,111.85,107.11,108.73,63150,BE,752.0,83.98,63150.0
2025-10-14,108.35,113.25,106.55,109.73,120264,BE,1146.0,104.94,120264.0
2025-10-15,112.0,113.5,107.46,110.93,82414,BE,741.0,111.22,82414.0
2025-10-16,111.0,114.0,108.0,109.35,69583,BE,641.0,108.55,69583.0
2025-10-17,111.49,111.49,106.01,107.43,91662,EQ,1659.0,55.25,54880.0
2025-10-20,107.0,109.5,106.28,107.5,79822,EQ,1041.0,76.68,53581.0
2025-10-21,107.5,110.0,107.5,109.51,34800,EQ,453.0,76.82,30188.0
2025-10-23,110.0,115.0,109.05,114.2,268948,EQ,2412.0,111.5,191703.0
2025-10-24,115.9,122.0,113.23,120.71,1013241,EQ,10567.0,95.89,578040.0
2025-10-27,122.99,125.0,117.0,118.49,1279956,EQ,10510.0,121.78,676470.0
2025-10-28,121.0,121.39,116.21,116.75,499977,EQ,2543.0,196.61,382129.0
2025-10-29,117.45,118.0,113.35,114.05,180326,EQ,1901.0,94.86,95794.0
2025-10-30,113.25,115.99,111.1,113.85,177816,EQ,1918.0,92.71,72770.0
2025-10-31,113.8,114.27,108.9,109.81,143221,EQ,2120.0,67.56,98380.0
2025-11-03,110.48,120.57,110.15,117.74,589144,EQ,6339.0,92.94,292049.0
2025-11-04,118.35,121.8,115.25,118.6,1068939,EQ,6139.0,174.12,813726.0
2025-11-06,119.1,120.09,115.0,117.13,344913,EQ,1770.0,194.87,267903.0
2025-11-07,117.13,118.9,114.57,118.01,191633,EQ,1760.0,108.88,130183.0
2025-11-10,118.0,123.9,115.01,116.09,1416974,EQ,8540.0,165.92,468444.0
2025-11-11,117.0,119.7,116.1,116.86,814394,EQ,2288.0,355.94,104787.0
2025-11-12,118.49,119.0,116.41,117.81,1246605,EQ,3499.0,356.27,121048.0
2025-11-13,118.8,118.8,110.8,111.1,323128,EQ,4161.0,77.66,163992.0
2025-11-14,111.11,120.74,110.51,117.85,752443,EQ,4630.0,162.51,470405.0
2025-11-17,118.2,123.5,116.85,119.11,894643,EQ,6327.0,141.4,510151.0
2025-11-18,118.1,119.82,116.25,117.39,177129,EQ,2218.0,79.86,92376.0
2025-11-19,117.07,123.9,115.13,122.67,1085907,EQ,6434.0,168.78,749776.0
2025-11-20,124.9,124.98,120.0,121.79,540023,EQ,5430.0,99.45,313316.0
2025-11-21,122.0,122.0,115.1,115.69,205980,EQ,2738.0,75.23,110639.0
2025-11-24,115.68,116.57,110.29,110.75,196047,EQ,2310.0,84.87,118068.0
2025-11-25,111.31,113.39,111.0,111.92,151783,EQ,2106.0,72.07,75662.0
2025-11-26,111.92,113.98,111.0,111.23,99345,EQ,1409.0,70.51,47984.0
2025-11-27,113.0,113.87,111.5,112.18,45810,EQ,809.0,56.63,26682.0
2025-11-28,113.3,117.4,107.92,115.01,282976,EQ,3107.0,91.08,140573.0
2025-12-01,115.65,115.65,111.9,112.34,40195,EQ,858.0,46.85,23784.0
2025-12-02,112.9,113.69,110.15,110.97,61955,EQ,950.0,65.22,43929.0
2025-12-03,111.53,112.28,108.61,109.68,100209,EQ,1071.0,93.57,72643.0
2025-12-04,109.0,118.4,108.0,115.63,146680,EQ,1991.0,73.67,93799.0
2025-12-05,116.0,116.73,111.0,111.65,65528,EQ,1581.0,41.45,32903.0
2025-12-08,112.5,112.51,109.4,110.24,37752,EQ,534.0,70.7,24967.0
2025-12-09,110.24,112.0,107.17,111.51,47952,EQ,1000.0,47.95,16585.0
2025-12-10,110.25,111.77,109.0,109.59,74096,EQ,624.0,118.74,63846.0
2025-12-11,109.7,111.0,108.16,110.07,32252,EQ,773.0,41.72,13693.0
2025-12-12,109.5,111.84,107.97,108.67,78418,EQ,1530.0,51.25,45960.0
2025-12-15,109.0,109.0,106.21,107.25,44143,EQ,902.0,48.94,27731.0
2025-12-16,106.55,109.08,106.1,106.66,31957,EQ,789.0,40.5,17365.0
2025-12-17,107.41,108.4,99.96,101.42,205101,EQ,2637.0,77.78,129070.0
2025-12-18,100.89,100.89,92.71,93.73,207529,EQ,3949.0,52.55,113595.0
2025-12-19,93.58,97.59,93.58,96.03,343121,EQ,1558.0,220.23,303557.0
2025-12-22,96.87,97.47,95.12,95.37,20798,EQ,650.0,32.0,13274.0
2025-12-23,95.4,97.5,89.71,90.96,402673,EQ,4413.0,91.25,289536.0
2025-12-24,92.3,94.47,90.0,90.64,251316,EQ,2205.0,113.98,197374.0
2025-12-26,90.26,93.1,90.03,90.35,213137,EQ,1917.0,111.18,153112.0
2025-12-29,89.25,90.35,87.5,87.62,76797,EQ,1282.0,59.9,44489.0
2025-12-30,88.0,89.65,83.6,89.02,237599,EQ,2276.0,104.39,192335.0
2025-12-31,89.72,93.6,87.0,88.58,275019,EQ,3050.0,90.17,166372.0
