Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2004-06-14,13.2,15.55,13.1,15.05,2201698,,,
2004-06-15,15.05,15.05,12.35,13.0,2131723,,,
2004-06-16,13.2,13.55,12.65,13.25,1569619,,,
2004-06-17,13.2,13.35,12.75,13.25,1115492,,,
2004-06-18,13.25,13.25,12.55,12.65,397134,,,
2004-06-21,12.8,12.8,11.15,11.55,462745,,,
2004-06-22,11.55,11.55,10.45,10.75,962744,,,
2004-06-23,10.9,11.35,9.95,10.15,897732,,,
2004-06-24,10.25,10.6,9.85,10.45,1119016,,,
2004-06-25,10.65,12.05,10.45,11.95,1614037,,,
2004-06-28,12.15,14.3,11.75,13.75,3466997,,,
2004-06-29,13.85,14.05,12.95,13.15,2538024,,,
2004-06-30,13.3,14.05,13.15,13.65,2169569,,,
2004-07-01,13.85,14.1,13.6,13.95,1095527,,,
2004-07-02,14.0,14.0,13.4,13.55,962673,,,
2004-07-05,13.6,13.85,12.85,13.05,582705,,,
2004-07-06,13.05,13.45,13.05,13.4,749358,,,
2004-07-07,13.4,13.65,13.05,13.15,638127,,,
2004-07-08,13.25,13.6,12.45,12.75,1277744,,,
2004-07-09,12.65,13.35,12.05,13.25,383365,,,
2004-07-12,13.35,13.35,13.0,13.05,300495,,,
2004-07-13,13.15,13.3,12.65,12.75,172840,,,
2004-07-14,12.8,12.9,12.05,12.25,713025,,,
2004-07-15,12.25,13.45,11.95,13.2,1536218,,,
2004-07-16,13.45,13.65,13.2,13.35,642238,,,
2004-07-19,13.45,13.7,13.2,13.3,314847,,,
2004-07-20,13.2,13.75,13.2,13.65,591450,,,
2004-07-21,13.65,13.95,13.35,13.5,448362,,,
2004-07-22,13.85,13.85,13.35,13.35,340710,,,
2004-07-23,13.45,13.8,13.35,13.7,479150,,,
2004-07-26,13.65,14.8,13.45,14.6,1342876,,,
2004-07-27,14.8,15.05,13.7,13.8,707512,,,
2004-07-28,13.9,14.2,13.9,14.05,353795,,,
2004-07-29,14.15,14.65,13.95,14.4,534236,,,
2004-07-30,14.55,14.7,13.95,14.15,512247,,,
2004-08-02,14.25,14.5,14.2,14.4,350844,,,
