Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2022-04-19,18.35,19.25,18.05,19.25,1115000,893.0,1248.6,1091000.0
2022-04-20,19.55,20.2,19.55,20.2,77000,74.0,1040.54,73000.0
2022-04-21,21.25,21.25,19.6,20.65,464000,199.0,2331.66,449000.0
2022-04-22,20.9,20.9,19.65,19.75,174000,125.0,1392.0,166000.0
2022-04-25,19.1,19.1,18.75,18.75,36000,34.0,1058.82,36000.0
2022-04-26,18.0,19.7,17.8,19.7,222000,174.0,1275.86,203000.0
2022-04-27,19.7,20.65,19.7,20.65,316000,234.0,1350.43,304000.0
2022-04-28,21.45,21.55,20.2,21.1,215000,84.0,2559.52,208000.0
2022-04-29,20.6,20.9,20.15,20.35,56000,53.0,1056.6,51000.0
2022-05-02,19.55,20.2,19.55,20.1,34000,33.0,1030.3,34000.0
2022-05-04,20.3,20.3,18.9,19.05,44000,42.0,1047.62,30000.0
2022-05-05,18.9,19.55,18.35,18.8,169000,46.0,3673.91,152000.0
2022-05-06,19.45,19.45,18.0,18.65,17000,17.0,1000.0,11000.0
2022-05-09,18.35,18.35,17.35,17.75,55000,54.0,1018.52,36000.0
2022-05-10,17.5,17.9,17.5,17.7,57000,41.0,1390.24,47000.0
2022-05-11,17.55,17.55,15.8,16.5,46000,38.0,1210.53,38000.0
2022-05-12,16.1,16.65,15.65,16.5,51000,19.0,2684.21,45000.0
2022-05-13,16.5,17.0,16.35,16.35,14000,12.0,1166.67,11000.0
2022-05-16,16.9,16.9,16.05,16.65,15000,7.0,2142.86,13000.0
2022-05-17,16.55,16.8,16.45,16.6,12000,12.0,1000.0,12000.0
2022-05-18,16.65,17.0,16.5,16.8,142000,18.0,7888.89,139000.0
2022-05-19,15.1,16.9,15.1,16.7,8000,7.0,1142.86,7000.0
2022-05-20,15.55,17.55,15.55,17.35,49000,32.0,1531.25,43000.0
2022-05-23,17.2,17.65,16.65,16.65,17000,16.0,1062.5,12000.0
2022-05-24,16.6,17.5,16.6,17.1,128000,35.0,3657.14,89000.0
2022-05-25,17.1,17.1,16.65,16.65,25000,15.0,1666.67,24000.0
2022-05-26,16.15,17.05,16.1,16.8,18000,16.0,1125.0,14000.0
2022-05-27,17.0,17.0,16.7,16.7,8000,8.0,1000.0,6000.0
2022-05-30,16.7,17.0,16.4,16.4,17000,16.0,1062.5,12000.0
2022-05-31,16.4,17.0,16.35,16.9,22000,22.0,1000.0,15000.0
2022-06-01,16.7,16.85,16.65,16.65,3000,3.0,1000.0,2000.0
2022-06-02,16.65,16.9,16.65,16.75,5000,5.0,1000.0,3000.0
2022-06-03,16.65,16.65,16.3,16.3,5000,2.0,2500.0,5000.0
2022-06-06,16.1,16.55,16.05,16.55,8000,8.0,1000.0,6000.0
2022-06-07,16.0,16.0,15.8,15.9,8000,8.0,1000.0,7000.0
2022-06-08,16.75,17.2,16.2,16.55,86000,24.0,3583.33,85000.0
2022-06-09,17.2,17.2,16.0,16.05,7000,7.0,1000.0,5000.0
2022-06-13,15.55,16.0,15.55,16.0,3000,3.0,1000.0,2000.0
2022-06-15,16.0,16.0,16.0,16.0,2000,2.0,1000.0,1000.0
2022-06-16,16.0,16.45,15.3,15.8,10000,5.0,2000.0,8000.0
2022-06-20,14.85,15.55,14.85,15.55,13000,2.0,6500.0,13000.0
2022-06-21,15.25,16.35,15.25,15.35,10000,7.0,1428.57,8000.0
2022-06-22,15.35,15.35,15.2,15.2,4000,4.0,1000.0,4000.0
2022-06-23,15.5,15.5,15.5,15.5,2000,2.0,1000.0,2000.0
2022-06-24,15.15,15.5,15.15,15.35,13000,7.0,1857.14,12000.0
2022-06-27,15.6,15.75,15.4,15.55,6000,6.0,1000.0,6000.0
2022-06-28,15.45,15.45,14.8,15.1,13000,7.0,1857.14,13000.0
2022-06-29,15.35,16.0,15.35,16.0,26000,9.0,2888.89,26000.0
2022-06-30,16.35,16.35,15.2,15.2,8000,8.0,1000.0,5000.0
2022-07-01,15.35,15.55,15.15,15.55,16000,8.0,2000.0,16000.0
2022-07-04,15.0,16.2,15.0,16.15,8000,8.0,1000.0,8000.0
2022-07-05,16.2,16.2,15.45,15.7,6000,6.0,1000.0,6000.0
2022-07-06,15.7,15.7,15.7,15.7,1000,1.0,1000.0,1000.0
2022-07-07,15.7,15.9,15.7,15.9,2000,2.0,1000.0,2000.0
2022-07-08,16.0,16.2,16.0,16.05,6000,6.0,1000.0,6000.0
2022-07-11,15.35,15.65,15.35,15.65,5000,5.0,1000.0,4000.0
2022-07-12,15.55,15.65,15.55,15.65,2000,2.0,1000.0,1000.0
2022-07-13,16.35,16.85,15.7,16.0,12000,9.0,1333.33,10000.0
2022-07-18,15.6,15.65,15.6,15.65,2000,2.0,1000.0,1000.0
2022-07-19,15.0,17.55,14.1,16.95,117000,72.0,1625.0,86000.0
2022-07-20,16.7,18.9,16.7,18.65,56000,55.0,1018.18,45000.0
2022-07-21,19.5,19.65,18.55,18.8,37000,29.0,1275.86,28000.0
2022-07-22,18.6,19.2,17.05,18.85,37000,29.0,1275.86,26000.0
2022-07-25,18.25,19.3,18.2,18.35,18000,18.0,1000.0,15000.0
2022-07-26,17.45,17.65,16.75,16.9,8000,8.0,1000.0,8000.0
2022-07-27,17.0,17.55,17.0,17.1,3000,3.0,1000.0,3000.0
2022-07-28,17.2,17.2,17.2,17.2,1000,1.0,1000.0,1000.0
2022-07-29,17.65,19.45,17.45,18.95,38000,25.0,1520.0,35000.0
2022-08-01,18.95,18.95,18.05,18.35,27000,8.0,3375.0,25000.0
2022-08-02,17.8,17.8,17.6,17.8,4000,4.0,1000.0,3000.0
2022-08-03,18.75,18.9,18.75,18.9,4000,4.0,1000.0,4000.0
2022-08-04,18.35,18.35,18.35,18.35,2000,2.0,1000.0,2000.0
2022-08-05,17.9,18.35,17.9,18.35,45000,3.0,15000.0,44000.0
2022-08-08,17.8,17.85,17.8,17.85,2000,,,
2022-08-10,17.9,17.9,17.85,17.85,5000,5.0,1000.0,5000.0
2022-08-11,17.35,17.35,17.2,17.35,11000,10.0,1100.0,10000.0
2022-08-12,17.15,17.45,16.65,17.45,6000,6.0,1000.0,5000.0
2022-08-16,16.7,17.45,16.7,17.45,2000,2.0,1000.0,2000.0
2022-08-17,17.8,17.8,16.8,16.8,3000,3.0,1000.0,2000.0
2022-08-18,16.95,17.45,16.95,17.4,3000,3.0,1000.0,2000.0
2022-08-19,17.3,17.3,17.2,17.2,4000,4.0,1000.0,3000.0
2022-08-22,16.7,16.8,16.65,16.7,4000,4.0,1000.0,4000.0
2022-08-23,16.8,16.8,16.8,16.8,3000,3.0,1000.0,2000.0
2022-08-24,16.8,18.9,16.8,18.5,52000,51.0,1019.61,35000.0
2022-08-25,17.8,17.8,17.35,17.45,7000,7.0,1000.0,7000.0
2022-08-26,18.55,18.55,18.35,18.35,16000,4.0,4000.0,16000.0
2022-08-29,17.15,17.65,17.15,17.5,14000,10.0,1400.0,11000.0
2022-08-30,17.65,17.8,17.55,17.8,3000,3.0,1000.0,3000.0
2022-09-01,17.8,17.8,17.65,17.65,6000,6.0,1000.0,6000.0
2022-09-02,17.7,18.1,17.65,18.1,4000,4.0,1000.0,3000.0
2022-09-05,18.0,18.0,17.2,17.35,10000,9.0,1111.11,9000.0
2022-09-06,17.45,17.6,17.45,17.6,2000,2.0,1000.0,2000.0
2022-09-07,17.55,18.15,17.55,17.9,9000,9.0,1000.0,6000.0
2022-09-09,18.0,18.0,17.6,17.8,9000,7.0,1285.71,9000.0
2022-09-12,17.45,17.45,17.45,17.45,2000,2.0,1000.0,2000.0
2022-09-13,17.45,17.5,17.1,17.1,7000,5.0,1400.0,7000.0
2022-09-14,16.8,18.1,16.8,17.75,50000,8.0,6250.0,50000.0
2022-09-15,18.05,18.1,18.05,18.1,4000,4.0,1000.0,4000.0
2022-09-19,18.3,18.3,17.35,17.35,5000,5.0,1000.0,5000.0
2022-09-20,17.35,17.5,17.35,17.45,5000,4.0,1250.0,4000.0
2022-09-21,17.35,17.35,17.05,17.05,6000,6.0,1000.0,6000.0
2022-09-22,17.1,17.1,17.0,17.05,4000,4.0,1000.0,4000.0
2022-09-23,16.85,16.85,16.85,16.85,1000,1.0,1000.0,1000.0
2022-09-26,16.55,17.7,16.55,17.7,7000,7.0,1000.0,5000.0
2022-09-27,16.8,16.85,16.7,16.7,6000,6.0,1000.0,4000.0
2022-09-28,16.35,16.35,16.35,16.35,1000,1.0,1000.0,1000.0
2022-09-29,17.2,17.55,17.0,17.2,10000,10.0,1000.0,10000.0
2022-09-30,17.55,17.55,17.55,17.55,2000,2.0,1000.0,2000.0
2022-10-03,16.8,16.8,16.7,16.7,2000,2.0,1000.0,2000.0
2022-10-04,16.9,16.9,16.65,16.65,2000,2.0,1000.0,2000.0
2022-10-06,16.45,16.65,16.35,16.45,8000,8.0,1000.0,7000.0
2022-10-07,16.35,16.65,16.35,16.65,7000,7.0,1000.0,7000.0
2022-10-10,17.2,17.2,17.2,17.2,6000,6.0,1000.0,6000.0
2022-10-11,17.15,17.4,16.8,16.85,7000,6.0,1166.67,7000.0
2022-10-12,16.45,16.45,16.45,16.45,1000,1.0,1000.0,1000.0
2022-10-13,16.35,16.35,15.85,15.85,25000,5.0,5000.0,25000.0
2022-10-14,16.25,16.25,16.25,16.25,1000,1.0,1000.0,1000.0
2022-10-17,16.65,16.65,16.25,16.35,4000,4.0,1000.0,4000.0
2022-10-18,16.65,16.65,16.65,16.65,3000,3.0,1000.0,3000.0
2022-10-19,16.1,16.6,16.1,16.35,3000,3.0,1000.0,2000.0
2022-10-20,16.1,16.1,16.1,16.1,2000,2.0,1000.0,2000.0
2022-10-21,15.9,16.35,15.8,16.35,4000,4.0,1000.0,4000.0
2022-10-24,15.75,16.0,15.75,15.95,3000,3.0,1000.0,2000.0
2022-10-25,15.65,16.45,15.65,16.2,11000,7.0,1571.43,10000.0
2022-10-27,15.9,16.1,15.55,16.1,4000,4.0,1000.0,3000.0
2022-10-28,15.6,15.6,15.55,15.6,10000,10.0,1000.0,9000.0
2022-10-31,15.9,15.9,15.55,15.6,43000,10.0,4300.0,42000.0
2022-11-01,15.55,15.55,15.55,15.55,1000,1.0,1000.0,1000.0
2022-11-03,15.6,16.1,15.6,15.7,4000,4.0,1000.0,4000.0
2022-11-04,16.3,16.3,16.3,16.3,1000,1.0,1000.0,1000.0
2022-11-09,15.8,16.4,15.8,16.35,84000,9.0,9333.33,83000.0
2022-11-10,16.35,17.8,16.35,17.2,11000,11.0,1000.0,9000.0
2022-11-11,16.9,16.9,16.8,16.8,3000,3.0,1000.0,3000.0
2022-11-14,16.8,17.45,16.8,17.45,10000,10.0,1000.0,10000.0
2022-11-15,19.3,19.95,17.8,19.25,125000,10.0,12500.0,10000.0
2022-11-16,20.55,20.55,19.3,19.65,53000,43.0,1232.56,44000.0
2022-11-17,20.0,23.6,19.3,23.5,274000,246.0,1113.82,210000.0
2022-11-18,24.0,28.2,24.0,28.2,311000,283.0,1098.94,208000.0
2022-11-21,29.4,30.0,27.75,28.85,126000,118.0,1067.8,89000.0
2022-11-22,30.0,30.2,25.95,26.15,91000,78.0,1166.67,68000.0
2022-11-23,25.0,27.35,24.05,26.85,87000,84.0,1035.71,42000.0
2022-11-24,26.3,27.0,26.3,26.35,5000,4.0,1250.0,5000.0
2022-11-25,27.65,28.95,27.65,28.95,61000,57.0,1070.18,49000.0
2022-11-28,30.0,31.85,30.0,31.85,74000,67.0,1104.48,55000.0
2022-11-29,32.9,33.55,30.2,30.65,119000,114.0,1043.86,83000.0
2022-11-30,30.55,31.8,28.9,31.55,66000,51.0,1294.12,52000.0
2022-12-01,33.35,33.35,28.4,29.15,82000,78.0,1051.28,51000.0
2022-12-02,29.45,30.55,28.8,30.45,12000,12.0,1000.0,7000.0
2022-12-05,30.0,30.75,30.0,30.35,4000,4.0,1000.0,3000.0
2022-12-06,30.35,30.35,29.5,30.0,60000,32.0,1875.0,57000.0
2022-12-07,29.45,30.45,29.4,29.65,6000,6.0,1000.0,5000.0
2022-12-08,29.2,29.45,28.55,28.95,7000,7.0,1000.0,7000.0
2022-12-09,29.1,30.0,28.35,28.9,8000,8.0,1000.0,8000.0
2022-12-12,29.35,30.0,29.35,29.55,47000,46.0,1021.74,35000.0
2022-12-13,30.0,30.2,30.0,30.0,6000,6.0,1000.0,6000.0
2022-12-14,30.2,30.2,29.55,29.55,5000,5.0,1000.0,4000.0
2022-12-15,29.55,29.9,29.45,29.45,14000,13.0,1076.92,12000.0
2022-12-16,29.45,29.45,28.35,28.8,22000,19.0,1157.89,21000.0
2022-12-19,29.7,29.7,28.9,28.9,39000,4.0,9750.0,39000.0
2022-12-20,28.9,28.9,27.55,28.0,3000,3.0,1000.0,2000.0
2022-12-21,27.8,27.8,26.1,26.9,27000,14.0,1928.57,24000.0
2022-12-22,25.55,28.5,25.0,26.7,71000,53.0,1339.62,49000.0
2022-12-23,26.15,26.45,23.35,25.25,45000,19.0,2368.42,40000.0
2022-12-26,24.05,27.55,24.05,27.3,24000,24.0,1000.0,20000.0
2022-12-27,27.2,27.3,27.2,27.3,2000,2.0,1000.0,2000.0
2022-12-30,26.2,26.2,26.1,26.15,4000,4.0,1000.0,3000.0
2023-01-02,26.2,26.2,26.2,26.2,1000,1.0,1000.0,1000.0
2023-01-03,28.1,28.1,27.2,27.8,9000,9.0,1000.0,8000.0
2023-01-04,27.0,27.05,27.0,27.0,4000,3.0,1333.33,4000.0
2023-01-05,27.45,27.8,27.45,27.7,8000,8.0,1000.0,7000.0
2023-01-06,27.2,27.2,26.1,26.65,30000,26.0,1153.85,24000.0
2023-01-09,27.35,28.65,26.9,27.1,41000,32.0,1281.25,36000.0
2023-01-10,27.1,28.0,26.8,27.55,19000,19.0,1000.0,13000.0
2023-01-11,28.4,33.05,28.4,33.05,104000,83.0,1253.01,78000.0
2023-01-12,35.55,36.75,33.6,34.35,74000,48.0,1541.67,60000.0
2023-01-13,33.35,33.55,32.8,33.4,22000,9.0,2444.44,21000.0
2023-01-16,35.95,35.95,31.7,32.15,57000,39.0,1461.54,50000.0
2023-01-17,30.6,32.1,29.05,31.45,34000,25.0,1360.0,22000.0
2023-01-18,31.55,32.1,30.15,30.3,23000,23.0,1000.0,18000.0
2023-01-19,31.0,31.0,31.0,31.0,1000,1.0,1000.0,1000.0
2023-01-20,30.25,31.55,30.25,30.9,8000,8.0,1000.0,8000.0
2023-01-23,31.2,33.65,31.2,33.5,15000,14.0,1071.43,15000.0
2023-01-24,33.5,33.5,31.2,32.8,12000,9.0,1333.33,10000.0
2023-01-25,33.35,34.1,33.0,33.0,12000,12.0,1000.0,11000.0
2023-01-27,32.4,32.8,31.8,32.4,18000,16.0,1125.0,16000.0
2023-01-30,33.35,33.35,32.2,32.2,7000,7.0,1000.0,6000.0
2023-01-31,33.35,34.0,33.3,33.45,25000,20.0,1250.0,20000.0
2023-02-01,33.45,33.65,31.2,31.3,19000,19.0,1000.0,15000.0
2023-02-02,31.8,31.8,31.8,31.8,2000,2.0,1000.0,2000.0
2023-02-03,31.45,31.45,30.2,31.45,15000,12.0,1250.0,14000.0
2023-02-06,33.0,33.45,32.1,33.35,39000,16.0,2437.5,37000.0
2023-02-07,33.35,33.45,31.65,31.65,11000,9.0,1222.22,10000.0
2023-02-08,33.1,33.1,32.8,32.9,3000,3.0,1000.0,2000.0
2023-02-09,32.2,32.95,32.2,32.95,2000,2.0,1000.0,2000.0
2023-02-10,33.45,33.45,31.8,32.35,12000,12.0,1000.0,9000.0
2023-02-13,32.35,33.45,32.35,32.5,13000,10.0,1300.0,11000.0
2023-02-14,33.0,33.4,32.35,32.85,17000,8.0,2125.0,17000.0
2023-02-15,32.35,33.1,32.0,33.1,36000,15.0,2400.0,31000.0
2023-02-16,32.35,32.35,32.35,32.35,5000,1.0,5000.0,5000.0
2023-02-17,32.45,33.35,32.35,33.0,9000,9.0,1000.0,7000.0
2023-02-20,32.9,32.9,32.9,32.9,1000,1.0,1000.0,1000.0
2023-02-21,32.9,32.9,32.1,32.1,5000,5.0,1000.0,5000.0
2023-02-22,32.1,32.2,30.95,30.95,11000,6.0,1833.33,10000.0
