Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2023-09-27,231.0,247.0,230.95,244.9,33760453,357818,94.35,24281099
2023-09-28,244.0,255.05,236.0,251.35,5474077,127931,42.79,2928189
2023-09-29,251.9,258.8,250.0,253.05,1962406,53169,36.91,1089995
2023-10-03,254.4,257.0,243.5,248.8,1524222,36483,41.78,666315
2023-10-04,245.1,246.75,227.5,239.45,2229825,38389,58.08,1041936
2023-10-05,242.8,242.8,234.45,235.6,1058198,20175,52.45,469266
2023-10-06,235.95,246.5,235.95,243.35,1825115,24005,76.03,930151
2023-10-09,239.05,243.0,233.0,234.95,914208,13284,68.82,493977
2023-10-10,237.8,244.5,236.25,239.75,1171823,12646,92.66,501904
2023-10-11,241.7,247.5,239.1,240.8,910216,13605,66.9,289923
2023-10-12,242.35,255.45,242.35,247.05,2689691,62171,43.26,1145966
2023-10-13,248.0,254.0,232.0,243.9,5542901,66922,82.83,2064420
2023-10-16,239.1,258.45,239.1,253.35,3135536,34254,91.54,1101896
2023-10-17,253.9,263.6,252.05,257.3,2878989,39156,73.53,831431
2023-10-18,256.7,272.55,256.65,263.85,2939646,51190,57.43,1089091
2023-10-19,264.0,268.25,259.15,264.15,1145485,10360,110.57,576019
2023-10-20,263.8,269.65,257.15,261.6,1045684,12658,82.61,458178
2023-10-23,262.0,264.8,236.25,241.7,1371746,27547,49.8,640187
2023-10-25,244.0,246.0,235.2,239.5,928655,22568,41.15,418784
2023-10-26,239.3,242.35,221.85,239.6,1969486,42067,46.82,1232357
2023-10-27,243.0,247.3,239.85,241.95,605487,14161,42.76,280079
2023-10-30,242.0,243.4,237.0,238.1,381715,14591,26.16,175570
2023-10-31,238.2,246.1,237.55,238.8,536026,15076,35.55,211097
2023-11-01,240.8,243.0,235.25,236.15,387850,7407,52.36,205148
2023-11-02,239.75,245.85,239.25,242.55,539597,9088,59.37,265636
2023-11-03,244.65,248.6,240.0,241.35,324563,6946,46.73,145555
2023-11-06,242.9,251.3,242.5,250.15,693292,11720,59.15,388326
2023-11-07,250.55,254.15,248.0,251.05,654390,15369,42.58,224304
2023-11-08,252.85,262.7,245.2,258.8,1890142,33284,56.79,783908
2023-11-09,254.0,261.9,251.6,259.6,1354656,13982,96.89,451890
2023-11-10,259.75,259.75,245.0,247.75,1119846,14993,74.69,561797
2023-11-12,251.7,254.0,248.6,252.6,314342,3798,82.77,188309
2023-11-13,252.6,256.4,248.9,253.6,657294,11294,58.2,313278
2023-11-15,254.55,272.55,254.55,266.7,1808821,26663,67.84,939665
2023-11-16,266.7,282.4,265.8,277.9,1636912,21864,74.87,718658
2023-11-17,279.65,284.3,273.5,280.2,1146322,18197,63.0,624692
2023-11-20,282.3,294.1,279.5,292.7,1319692,21524,61.31,694154
2023-11-21,294.95,296.45,281.0,283.05,1136964,19444,58.47,697361
2023-11-22,284.0,294.1,282.05,283.95,1035200,19468,53.17,433874
2023-11-23,284.85,289.0,281.0,282.95,318447,6610,48.18,141614
2023-11-24,285.25,303.0,284.15,298.75,1409023,22670,62.15,732786
2023-11-28,301.95,312.0,295.0,296.65,1104707,30243,36.53,518597
2023-11-29,301.1,307.0,293.4,295.75,563565,11231,50.18,309823
2023-11-30,297.0,298.45,288.0,293.95,359726,12133,29.65,161197
2023-12-01,294.05,307.85,294.05,297.85,1209867,29424,41.12,723766
2023-12-04,306.0,309.7,299.0,302.55,672737,23870,28.18,333406
2023-12-05,302.0,304.3,295.0,297.05,526156,16714,31.48,264075
2023-12-06,298.25,298.25,290.05,294.05,413936,12980,31.89,212440
2023-12-07,293.5,293.55,284.0,289.6,446999,15043,29.71,195954
2023-12-08,290.7,299.65,290.2,295.15,440126,14074,31.27,211611
2023-12-11,296.95,297.0,291.65,292.55,196717,7197,27.33,113434
2023-12-12,294.45,294.95,285.05,288.05,429984,13437,32.0,240212
2023-12-13,291.0,291.0,285.0,288.05,230821,6913,33.39,105693
2023-12-14,289.5,290.0,277.15,280.0,576682,16858,34.21,309540
2023-12-15,279.85,285.05,278.05,279.4,227603,8265,27.54,123580
2023-12-18,280.0,281.45,274.7,279.2,289613,9954,29.1,152058
2023-12-19,279.55,280.9,274.0,276.2,308732,12602,24.5,185261
2023-12-20,276.2,279.0,260.0,262.45,510376,26352,19.37,213351
2023-12-21,258.0,273.0,255.5,266.8,341405,20812,16.4,134657
2023-12-22,268.25,278.6,267.4,277.5,598125,23034,25.97,193320
2023-12-26,279.25,288.2,273.0,274.9,1294407,36764,35.21,731159
2023-12-27,276.7,278.5,264.4,275.1,973845,27098,35.94,437605
2023-12-28,275.6,286.0,272.0,278.0,1592452,34146,46.64,824380
2023-12-29,279.4,280.6,272.35,275.0,1159861,17416,66.6,916255
2024-01-01,275.2,294.4,274.15,287.05,1053348,38373,27.45,604687
2024-01-02,289.0,289.15,278.75,281.55,1098116,30778,35.68,584512
2024-01-03,282.0,284.5,277.4,280.35,797674,33015,24.16,505580
2024-01-04,283.0,284.2,274.5,278.25,603353,23613,25.55,355782
2024-01-05,281.4,281.4,269.9,272.55,545532,22545,24.2,282348
2024-01-08,275.55,275.8,267.15,268.95,534582,11336,47.16,328188
2024-01-09,270.0,273.0,261.1,262.2,531916,14503,36.68,343244
2024-01-10,264.45,264.9,260.4,262.8,372357,15130,24.61,215534
2024-01-11,265.65,271.5,262.75,267.0,306059,14198,21.56,164198
2024-01-12,266.85,271.0,262.95,266.8,279770,10296,27.17,139233
2024-01-15,266.0,266.95,255.7,257.0,654663,34831,18.8,375695
2024-01-16,260.65,260.65,246.9,248.95,613244,14891,41.18,416814
2024-01-17,248.95,255.0,239.0,241.0,898207,22222,40.42,591224
2024-01-18,242.0,251.25,239.0,248.85,618204,23400,26.42,303830
2024-01-19,252.0,257.1,242.15,244.1,530078,14205,37.32,318842
2024-01-20,246.0,251.0,239.4,240.35,315210,10875,28.98,156951
2024-01-23,244.8,248.8,233.0,233.75,494451,18582,26.61,225993
2024-01-24,236.0,243.5,231.9,240.9,468174,26489,17.67,265306
2024-01-25,242.95,247.0,239.65,245.1,221054,10244,21.58,110855
2024-01-29,245.1,255.0,245.0,248.85,941859,30952,30.43,468929
2024-01-30,250.9,250.9,241.15,243.95,406694,14955,27.19,227258
2024-01-31,244.0,245.2,238.5,243.4,321286,14287,22.49,176449
2024-02-01,245.0,246.5,234.5,235.8,358141,12239,29.26,237329
2024-02-02,242.0,242.0,234.3,236.15,288857,11975,24.12,167331
2024-02-05,238.0,238.8,229.55,231.25,403508,12723,31.71,189177
2024-02-06,231.0,237.0,230.2,233.2,288456,10521,27.42,106915
2024-02-07,234.95,250.5,233.1,246.45,847966,29091,29.15,489962
2024-02-08,252.0,253.0,240.95,243.4,332941,14078,23.65,154263
2024-02-09,243.4,251.0,233.3,248.7,475929,21411,22.23,224284
2024-02-12,234.0,240.6,230.05,236.5,1477353,30282,48.79,1061082
2024-02-13,240.0,241.95,232.0,240.0,262956,14167,18.56,140851
2024-02-14,238.0,242.0,236.75,238.5,370289,9884,37.46,278725
2024-02-15,241.8,244.0,237.8,242.0,198959,6917,28.76,126776
2024-02-16,245.0,246.8,236.1,237.8,217338,10969,19.81,116648
2024-02-19,238.05,240.5,236.3,237.35,135663,8126,16.69,63831
2024-02-20,236.25,238.75,233.0,234.55,196835,10958,17.96,121675
2024-02-21,235.8,239.55,229.5,230.45,560241,19874,28.19,390641
