Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2006-07-26,25.95,25.95,25.15,25.7,1038,,,
2006-07-27,24.55,25.65,24.5,25.35,402,,,
2006-07-28,24.55,25.5,24.55,25.35,66,,,
2006-07-31,26.0,26.0,25.65,26.0,207,,,
2006-08-01,26.35,26.5,25.7,26.5,280,,,
2006-08-02,25.85,27.35,25.85,26.85,485,,,
2006-08-03,27.2,27.2,26.35,27.1,1083,,,
2006-08-04,26.85,27.4,26.75,27.1,593,,,
2006-08-07,27.35,27.35,27.0,27.15,5617,,,
2006-08-08,27.3,27.35,27.3,27.3,28,,,
2006-08-09,26.75,27.3,26.25,26.95,1112,,,
2006-08-10,26.55,27.05,26.55,27.05,268,,,
2006-08-11,26.85,27.25,26.7,27.15,29,,,
2006-08-14,26.05,27.5,26.05,27.5,71,,,
2006-08-16,27.5,27.65,27.0,27.45,242,,,
2006-08-17,27.85,27.85,27.15,27.35,321,,,
2006-08-18,27.35,27.5,25.3,27.5,222,,,
2006-08-21,27.5,27.5,26.7,27.4,897,,,
2006-08-22,27.05,27.45,26.95,26.95,226,,,
2006-08-23,27.25,27.35,26.85,27.05,484,,,
2006-08-24,26.7,27.15,26.45,26.85,655,,,
2006-08-25,27.15,27.25,26.65,26.95,2009,,,
2006-08-28,26.7,27.35,26.35,27.1,1428,,,
2006-08-29,27.35,27.35,26.85,27.35,806,,,
2006-08-30,27.05,27.35,27.05,27.2,692,,,
2006-08-31,27.0,27.65,27.0,27.65,938,,,
2006-09-01,27.0,27.8,27.0,27.65,641,,,
2006-09-04,27.6,28.05,26.65,27.75,1464,,,
2006-09-05,27.05,28.0,27.05,27.95,1573,,,
2006-09-06,27.4,27.95,27.4,27.9,494,,,
2006-09-07,27.0,28.1,27.0,27.9,331,,,
2006-09-08,27.85,28.05,27.85,27.85,332,,,
2006-09-11,27.35,27.95,26.75,27.75,817,,,
2006-09-12,26.8,28.5,26.8,28.35,1149,,,
2006-09-13,30.0,30.0,28.65,29.1,11477,,,
2006-09-14,28.9,29.35,28.4,29.25,1125,,,
2006-09-15,28.5,29.35,28.05,29.15,1288,,,
2006-09-18,29.2,29.2,28.45,28.85,1192,,,
2006-09-19,29.35,29.35,28.65,29.0,2012,,,
2006-09-20,28.85,29.35,28.85,29.25,966,,,
2006-09-21,29.0,29.35,29.0,29.15,291,,,
2006-09-22,29.1,29.35,28.85,29.25,453,,,
2006-09-25,29.0,29.25,29.0,29.1,1048,,,
2006-09-26,29.15,29.65,28.95,29.4,1439,,,
2006-09-27,30.0,30.1,28.35,29.65,1498,,,
2006-09-28,29.15,30.15,28.75,30.05,2587,,,
2006-09-29,30.15,30.35,29.35,29.85,1051,,,
2006-10-03,29.85,30.0,29.35,29.95,1269,,,
2006-10-04,29.5,30.15,29.45,30.15,479,,,
2006-10-05,30.35,30.35,29.6,29.75,155,,,
2006-10-06,29.75,30.25,29.75,30.15,769,,,
2006-10-09,30.0,30.95,29.4,30.85,1035,,,
2006-10-10,29.85,31.1,29.85,30.85,648,,,
2006-10-11,30.2,30.45,29.65,30.35,904,,,
2006-10-12,30.35,30.95,30.35,30.75,253,,,
2006-10-13,30.35,31.85,30.2,31.7,8474,,,
2006-10-16,31.5,31.75,30.75,31.65,2043,,,
2006-10-17,31.6,31.9,30.65,31.65,2514,,,
2006-10-18,31.35,31.65,30.85,31.05,288,,,
2006-10-19,28.95,31.5,28.95,30.95,1636,,,
2006-10-20,30.85,31.3,30.8,31.05,30812,,,
2006-10-21,31.65,31.65,30.55,30.6,87,,,
2006-10-23,30.2,31.15,30.2,30.6,1036,,,
2006-10-26,29.15,30.65,29.15,30.65,1399,,,
2006-10-27,29.75,30.55,29.45,29.6,2643,,,
2006-10-30,29.75,29.75,29.35,29.65,128,,,
2006-10-31,29.35,31.15,29.35,31.0,4412,,,
2006-11-01,31.3,31.3,29.75,31.0,2618,,,
2006-11-02,30.4,30.65,29.15,30.1,1913,,,
2006-11-03,30.35,30.35,29.75,29.95,2559,,,
2006-11-06,30.45,30.45,29.0,29.35,3443,,,
2006-11-07,30.15,30.15,29.45,29.85,967,,,
2006-11-08,30.55,30.55,29.25,29.65,1219,,,
2006-11-09,29.65,29.95,29.45,29.5,208,,,
2006-11-10,29.45,29.5,28.65,29.5,5360,,,
