Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2021-03-25,1.0,1.0,1.0,1.0,45927,,,
2021-03-26,1.05,1.05,1.05,1.05,2850,,,
2021-03-30,1.1,1.1,1.1,1.1,4950,,,
2021-03-31,1.15,1.15,1.15,1.15,5700,,,
2021-04-01,1.2,1.2,1.2,1.2,2751,,,
2021-04-05,1.25,1.25,1.15,1.25,124403,,,
2021-04-06,1.2,1.3,1.2,1.2,34587,,,
2021-04-07,1.25,1.25,1.15,1.15,4708,,,
2021-04-08,1.1,1.1,1.1,1.1,5050,,,
2021-04-09,1.05,1.05,1.05,1.05,2100,,,
2021-04-16,0.95,0.95,0.95,0.95,2000,,,
2021-04-20,0.9,1.0,0.9,0.9,59997,,,
2021-04-22,0.9,0.9,0.9,0.9,113,,,
2021-04-23,0.95,0.95,0.9,0.9,2503,,,
2021-04-26,0.85,0.85,0.85,0.85,5510,,,
2021-04-27,0.8,0.9,0.8,0.9,44168,,,
2021-04-28,0.9,0.95,0.85,0.95,10360,,,
2021-04-29,0.9,0.95,0.9,0.95,11305,,,
2021-04-30,0.95,1.0,0.9,0.95,18993,,,
2021-05-03,0.95,0.95,0.9,0.95,9250,,,
2021-05-04,0.9,0.95,0.9,0.95,1829,,,
2021-05-05,0.9,0.9,0.9,0.9,18762,,,
2021-05-06,0.9,0.95,0.85,0.9,73623,,,
2021-05-07,0.95,0.95,0.85,0.9,8724,,,
2021-05-10,0.9,0.95,0.85,0.85,25250,,,
2021-05-11,0.8,0.9,0.8,0.8,31439,,,
2021-05-12,0.8,0.85,0.75,0.8,41329,,,
2021-05-14,0.85,0.85,0.75,0.85,27237,,,
2021-05-17,0.9,0.9,0.8,0.85,36395,,,
2021-05-18,0.85,0.85,0.8,0.8,23683,,,
2021-05-19,0.8,0.8,0.75,0.8,61726,,,
2021-05-20,0.75,0.85,0.75,0.8,27359,,,
2021-05-21,0.85,0.85,0.75,0.8,13184,,,
2021-05-24,0.8,0.8,0.75,0.8,33745,,,
2021-05-25,0.85,0.85,0.75,0.8,13675,,,
2021-05-26,0.85,0.85,0.75,0.8,25893,,,
2021-05-27,0.8,0.8,0.75,0.8,19161,,,
2021-05-28,0.85,0.85,0.75,0.8,30811,,,
2021-05-31,0.75,0.8,0.75,0.75,8414,,,
2021-06-01,0.7,0.8,0.7,0.8,23563,,,
2021-06-02,0.75,0.75,0.75,0.75,1250,,,
2021-06-03,0.75,0.75,0.7,0.75,2578,,,
2021-06-04,0.7,0.75,0.7,0.7,15966,,,
2021-06-07,0.7,0.75,0.65,0.7,40015,,,
2021-06-08,0.65,0.75,0.65,0.75,10179,,,
2021-06-09,0.75,0.8,0.7,0.7,23405,,,
2021-06-10,0.65,0.75,0.65,0.75,22027,,,
2021-06-11,0.8,0.8,0.7,0.8,31669,,,
2021-06-14,0.85,0.85,0.8,0.85,79112,,,
2021-06-15,0.9,0.9,0.9,0.9,15574,,,
2021-06-16,0.95,0.95,0.95,0.95,29156,,,
2021-06-17,1.0,1.0,1.0,1.0,40593,,,
2021-06-18,1.05,1.05,1.05,1.05,19640,,,
2021-06-21,1.1,1.1,1.1,1.1,16012,,,
2021-06-22,1.15,1.15,1.15,1.15,23628,,,
2021-06-23,1.2,1.2,1.2,1.2,63825,,,
2021-06-24,1.25,1.25,1.25,1.25,28488,,,
2021-06-25,1.3,1.3,1.3,1.3,44271,,,
2021-06-28,1.35,1.35,1.35,1.35,22530,,,
2021-06-29,1.4,1.4,1.4,1.4,53510,,,
2021-06-30,1.45,1.45,1.45,1.45,42739,,,
2021-07-01,1.5,1.5,1.5,1.5,39093,,,
2021-07-02,1.55,1.55,1.55,1.55,133177,,,
2021-07-05,1.6,1.6,1.6,1.6,36573,,,
2021-07-06,1.65,1.65,1.55,1.65,48135,,,
