Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2023-09-26,75.0,78.75,71.25,78.75,897600,565.0,1588.67,882000.0
2023-09-27,74.85,82.65,74.85,81.7,202800,159.0,1275.47,198000.0
2023-09-28,77.65,82.9,77.65,78.0,196800,159.0,1237.74,180000.0
2023-09-29,79.8,80.0,75.0,75.2,88800,71.0,1250.7,86400.0
2023-10-03,76.0,77.9,72.0,73.35,85200,70.0,1217.14,78000.0
2023-10-04,72.5,72.5,69.7,69.7,78000,54.0,1444.44,78000.0
2023-10-05,66.3,71.75,66.3,70.2,108000,83.0,1301.2,102000.0
2023-10-06,71.95,73.7,66.85,73.7,141600,101.0,1401.98,134400.0
2023-10-09,72.95,75.9,71.0,74.55,70800,59.0,1200.0,68400.0
2023-10-10,75.75,77.25,74.0,77.05,78000,62.0,1258.06,73200.0
2023-10-11,76.85,77.4,75.0,75.35,61200,50.0,1224.0,55200.0
2023-10-12,77.2,78.25,75.05,75.75,52800,43.0,1227.91,34800.0
2023-10-13,77.0,77.65,76.05,76.85,64800,54.0,1200.0,45600.0
2023-10-16,80.35,80.35,76.15,77.25,48000,40.0,1200.0,42000.0
2023-10-17,77.6,77.6,76.0,76.4,21600,18.0,1200.0,16800.0
2023-10-18,76.0,76.2,73.35,74.1,34800,29.0,1200.0,26400.0
2023-10-19,74.5,75.0,72.0,72.2,44400,35.0,1268.57,33600.0
2023-10-20,71.5,73.0,71.15,72.5,38400,30.0,1280.0,26400.0
2023-10-23,71.55,72.95,70.0,70.4,56400,41.0,1375.61,39600.0
2023-10-25,68.4,70.7,68.05,69.95,30000,25.0,1200.0,24000.0
2023-10-26,68.0,69.45,65.0,69.2,40800,32.0,1275.0,33600.0
2023-10-27,72.0,72.9,71.5,72.45,42000,16.0,2625.0,42000.0
2023-10-30,72.45,72.45,71.0,71.5,7200,6.0,1200.0,6000.0
2023-10-31,71.2,71.2,70.05,70.5,10800,7.0,1542.86,9600.0
2023-11-01,70.55,70.55,69.25,69.25,13200,9.0,1466.67,9600.0
2023-11-02,69.3,69.5,68.5,69.5,7200,6.0,1200.0,7200.0
2023-11-03,72.0,78.0,71.8,73.7,63600,53.0,1200.0,42000.0
2023-11-06,77.25,79.65,75.0,78.25,94800,73.0,1298.63,85200.0
2023-11-07,81.0,83.9,73.4,75.95,150000,123.0,1219.51,98400.0
2023-11-08,77.0,79.0,76.0,76.0,16800,14.0,1200.0,15600.0
2023-11-09,76.0,77.45,74.0,77.2,36000,29.0,1241.38,32400.0
2023-11-10,77.25,77.45,74.65,75.75,26400,21.0,1257.14,19200.0
2023-11-12,89.0,89.0,81.55,84.8,199200,158.0,1260.76,163200.0
2023-11-13,87.75,98.4,87.05,95.75,729600,582.0,1253.61,444000.0
2023-11-15,99.0,103.5,94.0,102.05,398400,304.0,1310.53,318000.0
2023-11-16,107.8,122.45,105.05,122.45,345600,256.0,1350.0,272400.0
2023-11-17,134.65,134.65,120.5,126.3,355200,261.0,1360.92,249600.0
2023-11-20,125.0,132.9,115.5,115.95,115200,91.0,1265.93,84000.0
2023-11-21,118.95,118.95,107.35,115.8,109200,90.0,1213.33,61200.0
2023-11-22,115.9,126.8,113.45,125.6,171600,130.0,1320.0,133200.0
2023-11-23,127.5,130.0,122.5,123.8,84000,63.0,1333.33,60000.0
2023-11-24,124.0,127.0,122.1,125.15,48000,36.0,1333.33,36000.0
2023-11-28,129.9,137.65,129.9,137.6,310800,242.0,1284.3,235200.0
2023-11-29,139.95,151.35,137.65,151.35,235200,153.0,1537.25,183600.0
2023-11-30,158.7,158.9,158.0,158.9,44400,32.0,1387.5,40800.0
2023-12-01,163.8,163.8,150.95,150.95,108000,71.0,1521.13,91200.0
