Date,Open,High,Low,Close,Volume
2019-04-12,36.5,36.5,35.95,36.1,129000
2019-04-15,36.4,36.4,36.0,36.0,105000
2019-04-16,36.05,36.05,35.9,36.0,54000
2019-04-18,36.05,36.1,35.95,36.05,48000
2019-04-22,36.95,36.95,34.5,35.8,36000
2019-04-23,35.95,35.95,35.9,35.9,9000
2019-04-24,35.95,35.95,34.55,35.9,9000
2019-04-25,35.9,35.9,35.9,35.9,3000
2019-04-26,36.0,36.0,35.0,35.95,9000
2019-04-30,35.9,35.9,35.0,35.85,15000
2019-05-02,35.9,37.0,34.7,34.7,18000
2019-05-03,35.25,35.4,34.0,34.9,12000
2019-05-06,35.0,35.0,34.95,34.95,6000
2019-05-07,35.95,35.95,34.8,35.4,18000
2019-05-08,34.5,34.5,34.5,34.5,6000
2019-05-09,36.1,36.1,34.7,34.7,6000
2019-05-10,35.8,35.8,35.5,35.5,6000
2019-05-14,34.1,34.1,34.1,34.1,3000
2019-05-15,35.8,35.8,34.05,34.05,12000
2019-05-16,34.0,35.1,34.0,35.0,45000
2019-05-17,35.35,35.35,33.5,34.95,27000
2019-05-20,33.25,33.25,33.0,33.0,6000
2019-05-21,34.0,35.5,31.5,35.3,90000
2019-05-22,35.25,35.5,34.6,35.0,54000
2019-05-23,35.05,35.2,33.85,35.0,33000
2019-05-24,34.0,36.8,34.0,36.35,213000
2019-05-27,36.4,36.5,35.25,36.1,78000
2019-05-28,36.15,36.2,36.0,36.15,102000
2019-05-29,36.15,36.5,35.75,36.15,333000
2019-05-30,36.0,36.2,36.0,36.1,114000
2019-05-31,36.15,36.2,34.6,35.9,42000
2019-06-03,36.0,36.05,36.0,36.05,6000
2019-06-04,36.1,36.15,36.1,36.15,6000
2019-06-06,36.1,36.15,36.0,36.15,15000
2019-06-07,35.5,35.6,35.5,35.6,9000
2019-06-11,36.0,36.1,35.85,35.9,48000
2019-06-12,36.2,36.25,36.2,36.25,6000
2019-06-13,36.5,36.5,35.5,35.8,24000
2019-06-17,36.25,36.25,35.0,36.15,12000
2019-06-18,35.7,35.7,35.7,35.7,30000
2019-06-21,35.7,36.1,35.7,36.05,27000
2019-06-25,36.15,36.15,36.15,36.15,6000
2019-06-26,35.75,36.0,35.75,36.0,18000
2019-06-28,33.25,35.9,33.25,35.9,6000
2019-07-04,35.85,35.85,35.85,35.85,24000
2019-07-11,35.2,35.45,32.5,35.45,21000
2019-07-16,32.6,32.6,32.6,32.6,3000
2019-07-17,34.95,34.95,34.95,34.95,6000
2019-07-19,32.5,32.5,32.5,32.5,3000
2019-07-23,32.15,32.15,32.15,32.15,3000
2019-07-24,33.9,33.95,33.9,33.95,6000
2019-07-29,34.0,34.5,34.0,34.5,9000
2019-07-31,33.0,34.5,33.0,34.5,33000
2019-08-09,31.45,33.0,31.45,33.0,9000
2019-08-13,33.0,35.95,33.0,33.5,24000
2019-08-14,34.0,34.45,34.0,34.45,45000
2019-08-16,34.75,36.0,34.75,36.0,15000
2019-08-19,32.7,33.0,32.7,33.0,6000
2019-08-22,32.0,32.0,30.5,31.05,33000
2019-08-23,31.4,31.4,29.9,29.9,6000
2019-09-06,32.55,35.0,32.55,32.55,21000
2019-09-12,32.1,32.1,32.1,32.1,6000
2019-09-24,30.0,31.5,29.5,31.5,24000
2019-09-25,29.9,29.9,28.7,28.7,39000
2019-09-26,28.5,28.55,27.1,28.45,93000
2019-09-27,28.4,28.4,28.35,28.35,12000
2019-10-03,28.5,28.5,28.5,28.5,3000
2019-10-04,28.5,28.9,27.0,27.0,9000
2019-10-07,27.4,27.4,27.4,27.4,3000
2019-10-10,27.5,28.5,25.55,27.65,138000
2019-10-15,26.1,26.1,26.05,26.1,15000
2019-10-17,27.9,29.45,27.9,29.2,9000
2019-10-18,26.6,26.95,26.6,26.95,120000
2019-10-24,26.1,26.1,26.05,26.1,9000
2019-10-29,26.7,26.7,26.5,26.5,27000
2019-10-30,26.7,26.7,26.45,26.6,135000
2019-11-01,24.15,26.5,24.15,26.5,6000
2019-11-04,25.05,25.2,25.05,25.2,42000
2019-11-05,25.25,26.0,25.25,26.0,33000
2019-11-06,26.0,26.95,26.0,26.95,114000
2019-11-08,25.2,25.2,25.2,25.2,3000
2019-11-14,26.0,26.6,26.0,26.6,120000
2019-11-21,26.0,26.4,26.0,26.2,36000
2019-11-22,26.0,26.35,26.0,26.25,84000
2019-11-28,26.25,26.85,25.2,26.85,126000
2019-12-04,25.65,25.65,25.6,25.6,6000
2019-12-05,26.75,29.0,25.6,26.4,111000
2019-12-06,30.0,30.9,26.9,28.0,54000
2019-12-12,28.0,32.95,27.55,32.95,114000
2019-12-13,28.0,33.0,28.0,33.0,72000
