Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-07-08,188.0,192.0,180.33,182.98,33503005,EQ,226657,147.81,16108264
2026-07-09,186.0,204.0,186.0,194.71,19121784,EQ,136324,140.27,4045772
2026-07-10,197.7,220.72,197.0,209.58,19426222,EQ,148571,130.75,3610574
2026-07-13,209.48,217.23,203.14,205.29,7234507,EQ,52668,137.36,2173456
2026-07-14,204.95,209.84,197.65,205.06,3760155,EQ,33809,111.22,1019585
2026-07-15,205.99,209.63,200.31,202.11,1750106,EQ,19468,89.9,528900
2026-07-16,205.0,205.89,193.05,194.42,1842407,EQ,17366,106.09,798999
2026-07-17,194.0,198.85,189.7,190.76,1791916,EQ,12800,139.99,524340
2026-07-20,191.0,197.99,188.05,188.63,1677550,EQ,13566,123.66,640689
2026-07-21,188.63,196.59,188.16,194.44,1537505,EQ,15161,101.41,477241
2026-07-22,194.0,196.39,189.37,190.41,1215207,EQ,12916,94.09,512026
2026-07-23,190.0,201.79,189.15,193.13,2767448,EQ,24265,114.05,842615
2026-07-24,190.99,195.9,189.01,194.88,1207259,EQ,11689,103.28,400222
2026-07-27,196.75,205.74,196.0,197.35,2296861,EQ,24070,95.42,651060
2026-07-28,197.0,198.5,189.45,191.0,1441246,EQ,14463,99.65,643274
2026-07-29,191.0,193.19,188.0,189.51,820796,EQ,6929,118.46,365145
2026-07-30,189.0,192.0,185.3,190.72,778244,EQ,6885,113.03,259043
2026-07-31,190.6,192.1,189.0,190.15,481188,EQ,4556,105.62,209640
