Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2023-09-27,170.0,178.5,169.0,178.5,1024000,1025,999.02,1021600
2023-09-28,185.95,187.4,178.6,187.4,247200,261,947.13,204800
2023-09-29,196.75,196.75,196.75,196.75,55200,61,904.92,55200
2023-10-03,206.55,206.55,206.55,206.55,27200,33,824.24,27200
2023-10-04,215.9,216.85,196.25,216.85,373600,383,975.46,362400
2023-10-05,227.65,227.65,221.0,227.65,96800,91,1063.74,96000
2023-10-06,229.9,229.9,216.3,227.85,132800,140,948.57,124800
2023-10-09,220.0,220.0,216.45,216.6,44800,48,933.33,42400
2023-10-10,210.0,227.4,207.55,227.4,75200,85,884.71,61600
2023-10-11,238.75,238.75,238.75,238.75,12800,13,984.62,12800
2023-10-12,245.5,258.7,236.0,253.95,60800,76,800.0,43200
2023-10-13,258.0,262.0,244.55,244.55,17600,22,800.0,13600
2023-10-16,253.0,253.0,228.15,238.0,28800,36,800.0,22400
2023-10-17,234.0,251.0,228.5,245.3,58400,70,834.29,45600
2023-10-18,245.4,252.0,236.55,249.2,26400,33,800.0,20000
2023-10-19,250.0,250.0,237.0,238.75,19200,24,800.0,12800
2023-10-20,238.0,247.0,238.0,240.5,12000,14,857.14,10400
2023-10-23,236.5,240.0,223.0,234.65,41600,49,848.98,31200
2023-10-25,238.05,242.0,228.0,231.8,15200,18,844.44,10400
2023-10-26,222.5,237.0,215.0,233.55,45600,57,800.0,28800
2023-10-27,249.5,280.25,245.25,280.25,119200,132,903.03,109600
2023-10-30,302.0,336.3,302.0,336.3,134400,144,933.33,87200
2023-10-31,355.0,390.0,310.0,326.15,121600,149,816.11,75200
2023-11-01,340.0,350.0,327.0,330.65,35200,44,800.0,22400
2023-11-02,339.5,343.0,333.0,340.75,15200,19,800.0,12800
2023-11-03,345.0,374.8,345.0,360.75,63200,77,820.78,39200
2023-11-06,356.1,365.0,353.05,357.55,12800,16,800.0,11200
2023-11-07,357.55,357.55,349.0,349.0,6400,8,800.0,6400
2023-11-08,340.0,340.0,321.0,325.05,17600,22,800.0,11200
2023-11-09,350.0,350.0,326.0,334.85,11200,14,800.0,8000
2023-11-10,301.4,329.0,301.4,328.1,54400,56,971.43,40800
2023-11-12,345.0,360.0,345.0,355.4,23200,27,859.26,23200
2023-11-13,332.25,334.5,332.25,334.5,2400,3,800.0,2400
2023-11-15,316.0,330.0,316.0,328.75,8000,10,800.0,4800
2023-11-16,328.75,328.75,318.2,326.65,8000,10,800.0,5600
2023-11-17,326.65,354.95,323.1,328.0,19200,21,914.29,16000
2023-11-20,328.0,330.0,322.0,323.4,9600,12,800.0,8800
2023-11-21,330.0,340.0,330.0,336.85,15200,19,800.0,15200
2023-11-22,330.0,354.05,330.0,336.5,35200,32,1100.0,28800
2023-11-23,350.0,351.5,337.5,343.0,22400,24,933.33,19200
2023-11-24,330.4,342.0,330.4,336.4,6400,8,800.0,5600
2023-11-28,343.15,343.15,328.0,335.7,6400,8,800.0,4800
2023-11-29,328.55,329.5,314.0,322.85,19200,24,800.0,12800
2023-11-30,324.95,327.0,316.05,317.4,8800,11,800.0,7200
2023-12-01,320.0,320.0,320.0,320.0,2400,3,800.0,2400
2023-12-04,318.5,320.0,318.5,319.4,2400,3,800.0,2400
2023-12-05,301.5,310.0,301.5,302.2,14400,17,847.06,13600
2023-12-06,301.1,307.55,300.0,307.55,9600,12,800.0,8000
2023-12-07,320.0,332.0,315.0,324.95,13600,17,800.0,8800
2023-12-08,326.0,328.0,316.0,317.15,11200,11,1018.18,11200
2023-12-11,309.0,317.0,301.0,305.0,34400,36,955.56,31200
2023-12-12,300.0,305.95,293.0,298.0,30400,31,980.65,28800
2023-12-13,314.8,320.0,305.1,315.0,24000,26,923.08,20000
2023-12-14,320.0,344.0,315.0,343.7,38400,45,853.33,34400
2023-12-15,350.0,410.0,350.0,388.25,98400,121,813.22,64800
2023-12-18,400.0,425.0,395.0,420.45,67200,80,840.0,49600
2023-12-19,421.0,430.0,408.0,411.65,18400,22,836.36,15200
2023-12-20,410.0,410.0,377.0,381.7,28800,36,800.0,20800
2023-12-21,345.0,400.0,345.0,400.0,29600,37,800.0,17600
2023-12-22,400.0,430.0,400.0,428.45,37600,46,817.39,32800
2023-12-26,435.0,514.1,435.0,513.6,76800,90,853.33,53600
2023-12-27,526.0,564.95,520.0,564.0,96000,113,849.56,54400
2023-12-28,597.0,615.0,524.0,550.35,84000,99,848.48,57600
2023-12-29,553.4,575.0,546.0,575.0,10400,13,800.0,8000
2024-01-01,584.4,619.0,584.4,603.95,25600,32,800.0,22400
2024-01-02,635.0,635.0,593.4,593.4,13600,17,800.0,11200
2024-01-03,578.0,585.0,578.0,585.0,1600,2,800.0,1600
2024-01-04,585.0,586.95,570.0,585.0,8000,10,800.0,5600
2024-01-05,556.3,633.95,556.3,633.95,28800,36,800.0,20800
2024-01-08,633.95,681.0,625.0,678.5,22400,28,800.0,16800
2024-01-09,693.0,746.35,678.5,746.35,43200,53,815.09,28800
2024-01-10,782.2,783.65,774.8,783.65,32800,36,911.11,20800
2024-01-11,814.8,814.8,744.5,744.5,54400,63,863.49,41600
2024-01-12,716.55,750.0,707.3,732.8,44800,52,861.54,25600
2024-01-15,769.4,769.4,769.4,769.4,10400,10,1040.0,10400
2024-01-16,807.85,807.85,730.95,730.95,60800,68,894.12,48800
2024-01-17,701.0,767.45,694.4,767.45,378400,373,1014.48,254400
2024-01-18,791.8,805.8,775.0,805.7,87200,80,1090.0,66400
2024-01-19,845.95,845.95,845.95,845.95,20000,15,1333.33,12000
2024-01-20,888.2,888.2,888.2,888.2,19200,9,2133.33,19200
2024-01-23,932.6,932.6,900.0,932.1,108800,116,937.93,82400
2024-01-24,958.05,978.7,951.7,978.7,30400,38,800.0,20800
2024-01-25,1018.0,1027.3,985.0,1017.5,40000,49,816.33,27200
2024-01-29,1065.0,1068.35,1064.0,1068.35,18400,21,876.19,15200
2024-01-30,1121.75,1121.75,1121.75,1121.75,4000,3,1333.33,4000
2024-01-31,1177.0,1177.8,1177.0,1177.8,4000,4,1000.0,4000
2024-02-01,1236.65,1236.65,1122.0,1185.5,64000,77,831.17,43200
2024-02-02,1180.0,1180.0,1126.25,1126.25,22400,27,829.63,16000
2024-02-05,1090.0,1182.55,1069.95,1182.55,39200,47,834.04,28000
2024-02-06,1208.0,1212.0,1190.0,1190.0,7200,9,800.0,4800
2024-02-07,1200.0,1200.0,1130.5,1130.5,36800,45,817.78,28000
2024-02-08,1074.0,1074.0,1074.0,1074.0,19200,22,872.73,17600
2024-02-09,1059.0,1059.0,1020.3,1020.3,16800,20,840.0,14400
2024-02-12,993.0,1031.0,976.25,979.5,18400,23,800.0,16800
2024-02-13,979.0,979.0,944.1,944.1,4800,6,800.0,4800
2024-02-14,921.1,991.3,911.0,991.3,15200,19,800.0,11200
2024-02-15,996.0,1027.0,973.0,1027.0,4000,5,800.0,4000
2024-02-16,1047.0,1047.0,1041.0,1041.0,4800,6,800.0,4000
2024-02-19,1015.0,1015.0,1011.0,1011.0,1600,2,800.0,1600
2024-02-20,1060.0,1061.55,1020.0,1022.5,10400,13,800.0,8000
2024-02-21,1040.0,1073.6,1002.0,1055.05,21600,22,981.82,18400
2024-02-22,1080.0,1080.0,1002.5,1005.35,11200,14,800.0,8800
2024-02-23,1049.0,1050.0,1040.0,1040.0,3200,4,800.0,3200
2024-02-26,1041.0,1041.0,1010.0,1010.0,4000,5,800.0,2400
2024-02-27,980.0,1060.5,974.05,1060.5,13600,17,800.0,11200
2024-02-28,1113.5,1113.5,1050.5,1113.45,37600,44,854.55,33600
2024-02-29,1131.95,1132.0,1060.05,1110.0,27200,34,800.0,17600
2024-03-01,1110.0,1139.0,1110.0,1123.35,9600,12,800.0,5600
2024-03-02,1130.0,1154.0,1129.5,1149.0,6400,8,800.0,4000
2024-03-04,1188.0,1188.0,1139.0,1150.0,12800,16,800.0,9600
