Date,Open,High,Low,Close,Volume
2014-12-11,183.25,183.25,183.25,183.25,9162.5
2014-12-12,185.0,182.0,183.25,183.25,1037060.71
2014-12-15,184.5,183.25,184.0,184.0,339799.25
2014-12-16,184.0,178.5,179.58,179.5,482982.25
2014-12-17,181.0,175.05,179.0,179.0,164538.1
2014-12-18,182.49,181.75,182.0,182.0,180337.49
2014-12-19,186.0,184.0,184.6,185.0,2063451.6
2014-12-22,187.0,184.5,187.0,187.0,148736.5
2014-12-23,188.5,186.0,187.5,187.5,105770.5
2014-12-24,187.0,186.0,186.25,187.0,101455.0
2014-12-26,187.0,185.0,185.89,185.75,318859.59
2014-12-29,187.0,186.1,186.84,187.0,198959.0
2014-12-30,187.0,185.8,186.5,186.5,724879.8
2014-12-31,187.75,187.0,187.0,187.0,280712.5
2015-01-01,187.5,186.5,186.9,187.5,43162.0
2015-01-02,191.0,189.0,190.8,190.8,215480.25
2015-01-05,193.0,190.0,191.0,191.0,164026.11
2015-01-06,188.5,186.5,187.5,187.5,206543.55
2015-01-07,185.0,183.8,184.5,184.5,115119.75
2015-01-08,188.0,186.5,187.0,187.0,96544.25
2015-01-09,189.0,186.0,186.5,186.5,60111.5
2015-01-12,188.0,185.5,188.0,188.0,117193.5
2015-01-13,189.0,189.0,189.0,189.0,17010.0
2015-01-14,188.0,188.0,188.0,188.0,1880.0
2015-01-15,191.0,189.0,189.13,189.0,122923.1
2015-01-16,192.0,190.0,190.94,190.0,49784.0
2015-01-19,193.0,192.0,193.0,193.0,100986.5
2015-01-20,198.0,194.5,198.0,198.0,96427.5
2015-01-21,205.0,187.25,197.88,198.0,310903.59
2015-01-22,199.0,198.0,199.0,199.0,50802.5
2015-01-23,207.0,201.0,201.0,201.0,189564.01
2015-01-27,206.99,194.73,204.94,205.0,3184009.18
2015-01-28,206.0,204.9,205.16,205.5,115205.5
2015-01-29,206.0,204.0,204.5,204.5,311398.5
2015-01-30,204.0,196.05,200.0,200.0,227803.7
2015-02-02,199.0,197.0,198.95,199.0,138964.0
2015-02-03,201.0,195.05,197.0,197.0,195637.65
2015-02-04,196.0,192.5,193.24,193.5,235900.9
2015-02-05,195.0,191.0,191.05,194.0,3628639.5
2015-02-06,192.0,187.05,189.81,192.0,154329.3
2015-02-09,188.0,185.06,185.5,185.5,60436.56
2015-02-10,187.0,185.0,186.0,186.0,91180.2
2015-02-11,191.0,189.0,191.0,191.0,82973.0
2015-02-12,192.0,188.0,191.18,192.0,148789.18
2015-02-13,192.0,191.0,192.0,192.0,38300.0
2015-02-16,197.0,193.0,193.22,193.0,241779.01
2015-02-18,193.1,193.0,193.1,193.1,48265.0
2015-02-19,194.0,191.0,193.0,193.0,63398.5
2015-02-20,195.0,192.0,192.5,192.5,68785.0
2015-02-23,193.0,190.0,190.2,190.0,86807.0
2015-02-24,190.0,176.5,183.7,188.0,727786.85
2015-02-25,190.0,188.0,189.0,189.0,86124.0
2015-02-26,187.02,184.5,184.87,184.5,56346.55
2015-02-27,189.0,186.01,188.09,188.0,62859.55
2015-02-28,195.0,191.0,194.61,195.0,368476.9
2015-03-02,200.0,195.0,198.0,198.0,380491.65
2015-03-03,200.0,198.0,199.0,199.0,170106.5
2015-03-04,202.0,195.26,196.0,196.0,500942.72
2015-03-05,199.0,195.55,197.93,198.0,849656.55
2015-03-09,195.0,192.0,192.01,192.01,431147.25
2015-03-10,193.0,190.0,191.0,191.0,363457.15
2015-03-11,194.0,191.5,193.49,194.0,88484.9
2015-03-12,193.99,193.0,193.99,193.99,3869.9
2015-03-13,194.0,188.2,188.87,188.21,115146.07
2015-03-16,190.0,186.0,189.1,189.1,346550.1
2015-03-17,190.0,188.0,190.0,190.0,38030.2
2015-03-18,191.0,189.0,189.0,189.0,8734.2
2015-03-19,195.0,184.5,187.55,185.6,615423.45
