Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2024-02-23,47.15,49.5,47.15,49.5,2529000,646,3914.86,2529000
2024-02-26,47.05,47.05,47.05,47.05,96000,32,3000.0,96000
2024-02-27,44.7,44.7,44.7,44.7,9000,3,3000.0,9000
2024-02-28,42.5,42.5,42.5,42.5,6000,2,3000.0,6000
2024-02-29,40.4,44.6,40.4,44.6,2013000,339,5938.05,1665000
2024-03-01,44.25,46.5,44.25,45.35,486000,141,3446.81,438000
2024-03-02,45.25,46.8,45.15,45.6,78000,20,3900.0,78000
2024-03-04,45.2,46.75,45.1,46.0,276000,76,3631.58,255000
2024-03-05,46.7,47.0,43.7,44.4,201000,57,3526.32,165000
2024-03-06,43.0,46.0,42.2,43.8,276000,48,5750.0,261000
2024-03-07,43.2,44.5,43.1,43.8,36000,12,3000.0,36000
