Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-07-15,569.0,625.9,568.15,602.8,23809462,EQ,364643,65.3,9140766
2026-07-16,618.0,629.2,585.1,588.7,4352403,EQ,91670,47.48,1208307
2026-07-17,588.7,594.7,568.95,575.7,1211695,EQ,21363,56.72,522597
2026-07-20,570.0,572.2,555.05,565.8,1117280,EQ,29146,38.33,388004
2026-07-21,563.5,584.4,558.0,567.25,818641,EQ,21055,38.88,252000
2026-07-22,560.0,582.0,548.0,575.85,876117,EQ,21547,40.66,338134
2026-07-23,574.0,618.05,567.1,608.25,1996022,EQ,48243,41.37,946469
2026-07-24,602.3,613.3,588.75,601.35,735445,EQ,20076,36.63,238594
2026-07-27,609.05,623.95,573.0,575.2,1108662,EQ,32942,33.65,451576
2026-07-28,578.95,583.45,562.4,566.55,374541,EQ,12886,29.07,144590
2026-07-29,569.7,600.0,565.35,592.1,772831,EQ,19577,39.48,323885
2026-07-30,590.0,593.0,568.0,570.2,607183,EQ,17124,35.46,351806
2026-07-31,575.1,597.0,571.7,582.85,431659,EQ,14404,29.97,172527
2026-08-03,587.95,633.0,583.6,615.8,2180851,EQ,61801,35.29,672626
2026-08-04,620.6,643.8,600.05,622.05,1809484,EQ,42610,42.47,459905
2026-08-05,628.0,648.0,622.15,639.9,1073730,EQ,25117,42.75,300788
2026-08-06,643.9,657.75,623.0,650.5,976578,EQ,27541,35.46,357142
2026-08-07,653.5,656.75,636.5,640.55,447727,EQ,12690,35.28,168568
2026-08-10,639.1,659.5,624.9,637.05,729466,EQ,20143,36.21,289779
2026-08-11,640.15,657.4,604.5,635.4,1659982,EQ,55696,29.8,286173
2026-08-12,634.0,646.0,611.0,616.25,640856,EQ,24687,25.96,240571
2026-08-13,620.55,623.2,595.0,598.25,660703,EQ,31816,20.77,325478
2026-08-14,595.05,610.6,594.05,601.85,381572,EQ,18008,21.19,165968
2026-08-17,603.85,604.0,585.9,592.25,401232,EQ,17370,23.1,180302
2026-08-18,590.0,601.0,589.0,595.0,231690,EQ,8059,28.75,86298
2026-08-19,595.95,599.0,560.7,566.35,451848,EQ,28881,15.65,253606
2026-08-20,569.9,577.5,556.05,572.5,520667,EQ,21172,24.59,256095
2026-08-21,577.0,593.8,574.3,581.95,382974,EQ,10110,37.88,166821
2026-08-24,582.9,622.7,578.05,604.65,822274,EQ,31733,25.91,380271
2026-08-25,609.0,616.0,595.0,599.2,318445,EQ,8602,37.02,175846
2026-08-26,600.0,600.05,578.0,580.4,230393,EQ,6151,37.46,107663
2026-08-27,579.0,588.2,568.1,572.35,267183,EQ,7387,36.17,118967
2026-08-28,571.45,573.7,557.85,563.1,404494,EQ,10498,38.53,248713
2026-08-31,561.05,588.0,558.5,581.45,363568,EQ,15444,23.54,146369
