Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2024-10-23,342.0,359.1,342.0,359.1,830400,ST,824,1007.77,830400
2024-10-24,376.95,376.95,341.15,341.15,944000,ST,815,1158.28,846400
2024-10-25,324.1,324.1,324.1,324.1,12800,ST,12,1066.67,12800
2024-10-28,307.9,307.9,307.9,307.9,4800,ST,6,800.0,4800
2024-10-29,292.5,292.5,292.5,292.5,2400,ST,3,800.0,2400
2024-10-30,280.0,307.1,280.0,307.0,685600,ST,690,993.62,593600
2024-10-31,318.0,319.65,300.9,304.5,178400,ST,203,878.82,165600
2024-11-01,309.0,319.0,291.65,316.3,117600,ST,133,884.21,111200
2024-11-04,315.0,316.3,300.5,307.3,175200,ST,177,989.83,153600
2024-11-05,308.3,322.65,308.3,320.3,138400,ST,158,875.95,124800
2024-11-06,336.3,336.3,336.3,336.3,26400,ST,31,851.61,26400
2024-11-07,347.5,352.8,324.1,331.6,332800,SM,411,809.73,161600
2024-11-08,332.05,364.95,332.05,340.3,315200,SM,348,905.75,189600
2024-11-11,333.75,344.95,310.0,316.9,147200,SM,180,817.78,90400
2024-11-12,317.25,340.0,302.35,319.2,236000,SM,255,925.49,111200
2024-11-13,299.0,303.0,274.4,275.55,273600,SM,320,855.0,178400
2024-11-14,262.1,279.0,262.1,272.7,74400,SM,88,845.45,42400
2024-11-18,265.2,277.0,265.2,274.4,50400,SM,61,826.23,39200
2024-11-19,278.95,283.95,268.0,275.95,95200,SM,109,873.39,57600
2024-11-21,275.0,275.0,262.0,264.9,155200,SM,140,1108.57,103200
2024-11-22,260.5,265.0,252.2,255.45,40800,SM,51,800.0,25600
2024-11-25,264.0,264.0,251.4,255.7,57600,SM,69,834.78,38400
2024-11-26,256.05,257.95,247.65,249.25,28000,SM,35,800.0,21600
2024-11-27,248.0,254.0,246.3,251.2,23200,SM,29,800.0,18400
2024-11-28,255.5,268.0,252.0,255.15,61600,SM,71,867.61,40800
2024-11-29,259.6,265.0,245.6,247.25,75200,SM,79,951.9,55200
2024-12-02,249.05,259.0,246.0,258.3,78400,SM,78,1005.13,60000
2024-12-03,258.0,288.0,254.0,281.0,178400,SM,205,870.24,100000
2024-12-04,287.85,292.0,277.0,277.55,68000,SM,82,829.27,45600
2024-12-05,283.0,283.0,260.8,279.1,80000,SM,82,975.61,56000
2024-12-06,279.1,283.0,275.5,276.8,36800,SM,46,800.0,26400
2024-12-09,279.1,279.1,270.25,277.9,77600,SM,54,1437.04,64800
2024-12-10,277.7,277.7,263.3,270.05,75200,SM,90,835.56,48000
2024-12-11,273.0,323.1,270.0,317.25,353600,SM,400,884.0,180800
2024-12-12,320.95,327.4,303.1,306.3,101600,SM,122,832.79,64000
2024-12-13,303.0,304.0,286.0,289.55,114400,SM,140,817.14,70400
2024-12-16,289.55,297.0,289.0,290.7,41600,SM,51,815.69,26400
2024-12-17,292.2,320.0,283.2,309.0,126400,SM,155,815.48,72800
2024-12-18,311.0,345.85,305.0,338.5,472800,SM,498,949.4,204800
2024-12-19,328.45,363.0,320.0,348.35,371200,SM,416,892.31,212000
2024-12-20,357.85,372.5,335.05,340.25,276800,SM,331,836.25,180000
2024-12-23,348.2,355.0,341.0,341.75,80000,SM,95,842.11,50400
2024-12-24,339.75,345.0,322.0,328.9,129600,SM,154,841.56,88000
2024-12-26,334.0,339.5,315.0,320.1,88800,SM,108,822.22,54400
2024-12-27,324.9,324.9,310.0,319.7,57600,SM,71,811.27,35200
2024-12-30,319.7,319.7,297.9,299.15,71200,SM,89,800.0,56800
2024-12-31,303.9,340.0,301.65,330.7,152000,SM,181,839.78,92800
2025-01-01,334.0,342.0,331.0,334.6,56800,SM,70,811.43,38400
2025-01-02,334.6,343.95,314.05,323.25,117600,SM,145,811.03,67200
2025-01-03,323.25,323.8,312.0,315.8,62400,SM,77,810.39,40800
2025-01-06,323.7,328.0,308.0,313.3,108000,SM,133,812.03,67200
2025-01-07,318.9,321.8,315.0,316.9,48000,SM,58,827.59,31200
2025-01-08,312.1,312.15,305.7,308.8,38400,SM,46,834.78,24800
2025-01-09,314.0,314.0,301.05,303.05,40800,SM,50,816.0,24800
2025-01-10,301.0,302.45,288.0,291.55,84000,SM,102,823.53,56800
2025-01-13,280.05,289.0,266.05,270.9,95200,SM,117,813.68,64800
2025-01-14,272.0,296.2,269.95,290.1,107200,SM,132,812.12,62400
2025-01-15,292.5,297.8,286.55,290.3,31200,SM,36,866.67,20000
2025-01-16,298.65,298.65,286.1,287.8,24800,SM,29,855.17,17600
2025-01-17,287.8,287.8,270.0,277.1,62400,SM,68,917.65,44800
2025-01-20,283.85,285.0,264.0,273.55,273600,SM,260,1052.31,151200
2025-01-21,273.55,276.9,262.1,265.0,97600,SM,115,848.7,63200
2025-01-22,265.0,269.5,257.0,260.7,48000,SM,56,857.14,32000
2025-01-23,264.5,288.95,260.5,283.85,230400,SM,270,853.33,116800
2025-01-24,286.9,292.0,268.5,269.5,72000,SM,88,818.18,52000
2025-01-27,267.0,267.0,251.1,256.0,36000,SM,45,800.0,28000
2025-01-28,263.0,264.0,234.0,247.35,61600,SM,76,810.53,29600
2025-01-29,257.9,274.0,257.9,269.0,59200,SM,66,896.97,40000
2025-01-30,270.0,272.45,258.8,261.2,24000,SM,30,800.0,15200
2025-01-31,261.2,270.0,258.0,262.0,56800,SM,65,873.85,32000
2025-02-01,273.0,273.0,254.0,264.15,30400,SM,38,800.0,12800
2025-02-03,258.0,258.0,255.05,257.1,12800,SM,16,800.0,8800
2025-02-04,260.05,260.05,255.0,260.0,12000,SM,15,800.0,8800
2025-02-05,259.25,265.0,259.25,264.8,11200,SM,14,800.0,8800
2025-02-06,267.9,270.0,264.25,264.25,11200,SM,14,800.0,8000
2025-02-07,265.1,265.1,259.55,261.0,16800,SM,20,840.0,12800
2025-02-10,256.7,256.7,247.7,248.25,20000,SM,22,909.09,18400
2025-02-11,240.65,240.65,216.55,223.85,64000,SM,78,820.51,51200
2025-02-12,222.0,222.55,202.0,215.25,123200,SM,144,855.56,56000
2025-02-13,218.0,225.0,217.0,220.65,24800,SM,31,800.0,12800
2025-02-14,225.9,225.9,202.05,205.1,75200,SM,89,844.94,36800
2025-02-17,207.0,209.8,188.95,193.6,77600,SM,90,862.22,50400
2025-02-18,193.6,193.6,178.0,183.85,52800,SM,64,825.0,36000
2025-02-19,183.0,200.5,172.35,194.55,40800,SM,49,832.65,28000
2025-02-20,194.0,204.25,194.0,204.25,28000,ST,34,823.53,27200
2025-02-21,209.0,209.0,198.1,201.95,15200,ST,19,800.0,13600
2025-02-24,193.0,203.9,193.0,202.6,28800,ST,24,1200.0,25600
2025-02-25,204.0,204.0,195.0,196.45,24800,ST,28,885.71,20000
2025-02-27,196.5,200.0,186.65,186.7,22400,ST,27,829.63,20800
2025-02-28,181.0,181.0,177.4,177.4,28800,ST,31,929.03,28000
2025-03-03,180.75,180.75,168.55,169.65,44800,ST,47,953.19,41600
2025-03-04,164.0,173.45,161.7,168.5,41600,ST,41,1014.63,33600
2025-03-05,172.35,176.9,172.35,176.9,21600,ST,25,864.0,21600
2025-03-06,177.1,185.7,177.0,185.7,20800,ST,25,832.0,18400
2025-03-07,194.95,194.95,185.0,187.1,60800,ST,54,1125.93,51200
2025-03-10,191.85,192.95,180.15,183.45,51200,ST,44,1163.64,44800
2025-03-11,184.7,184.7,175.0,180.0,26400,ST,28,942.86,20800
2025-03-12,180.0,180.45,176.25,178.5,12800,ST,16,800.0,10400
2025-03-13,178.5,180.9,169.6,169.6,60000,ST,50,1200.0,57600
2025-03-17,163.2,177.9,161.15,161.15,50400,ST,42,1200.0,45600
2025-03-18,161.15,162.6,153.1,159.85,63200,ST,65,972.31,58400
2025-03-19,161.0,167.8,160.0,167.8,40000,ST,42,952.38,37600
2025-03-20,167.8,176.15,167.8,176.15,55200,ST,58,951.72,50400
2025-03-21,180.0,184.45,171.25,175.35,56000,ST,52,1076.92,48800
2025-03-24,177.0,183.55,177.0,181.4,57600,ST,59,976.27,51200
2025-03-25,178.1,184.0,173.3,174.75,37600,ST,42,895.24,33600
2025-03-26,171.1,172.05,166.5,166.9,45600,ST,49,930.61,39200
2025-03-27,166.5,168.0,158.55,158.9,63200,ST,75,842.67,57600
2025-03-28,160.0,166.8,159.0,161.5,71200,ST,64,1112.5,66400
2025-04-01,167.9,169.55,163.05,169.55,9600,ST,12,800.0,8800
2025-04-02,174.9,176.0,171.1,172.0,15200,ST,19,800.0,13600
2025-04-03,164.55,180.6,164.55,180.4,28800,ST,33,872.73,24000
2025-04-04,179.0,179.0,172.0,175.15,10400,ST,13,800.0,8800
2025-04-07,166.4,166.4,166.4,166.4,2400,ST,3,800.0,2400
2025-04-08,161.8,173.7,161.8,170.0,12800,ST,16,800.0,9600
2025-04-09,163.8,167.45,163.05,163.35,12800,ST,14,914.29,10400
2025-04-11,171.0,171.5,168.0,171.5,28000,ST,17,1647.06,28000
2025-04-15,179.95,180.0,176.0,178.1,22400,ST,20,1120.0,20000
2025-04-16,180.0,180.45,174.05,175.5,13600,ST,16,850.0,11200
2025-04-17,171.15,175.6,171.15,175.55,12800,ST,15,853.33,10400
2025-04-21,178.85,184.3,178.85,184.3,72000,ST,57,1263.16,71200
2025-04-22,192.75,192.75,189.5,190.0,16000,ST,20,800.0,16000
2025-04-23,190.25,199.5,190.25,198.1,32000,ST,40,800.0,28800
2025-04-24,198.1,204.95,195.2,195.2,25600,ST,30,853.33,20000
2025-04-25,194.0,195.95,185.45,188.15,28000,ST,34,823.53,22400
2025-04-28,190.0,192.5,189.9,192.5,10400,ST,13,800.0,10400
2025-04-29,192.5,201.05,192.5,194.5,16000,ST,18,888.89,12000
2025-04-30,192.0,192.0,186.55,186.85,12000,ST,15,800.0,9600
2025-05-02,188.8,191.9,181.55,183.25,6400,ST,8,800.0,4000
2025-05-05,185.0,188.1,182.0,188.1,7200,ST,9,800.0,7200
2025-05-06,185.0,185.0,179.5,179.5,8000,ST,10,800.0,7200
2025-05-07,179.35,179.75,175.0,178.0,14400,ST,17,847.06,11200
2025-05-08,177.0,182.0,176.0,178.2,28800,ST,30,960.0,24800
2025-05-09,175.0,176.4,171.5,175.4,11200,ST,11,1018.18,8800
2025-05-12,183.9,184.15,183.9,184.15,5600,ST,7,800.0,5600
2025-05-13,193.35,193.35,190.2,193.3,28800,ST,35,822.86,27200
2025-05-14,197.0,201.9,196.0,199.45,28000,ST,35,800.0,24000
2025-05-15,189.5,189.5,189.5,189.5,16800,ST,18,933.33,16800
2025-05-16,180.05,189.5,180.05,180.05,156000,ST,86,1813.95,152800
2025-05-19,171.1,185.3,171.05,175.3,132000,ST,125,1056.0,121600
2025-05-20,172.95,173.0,166.55,166.85,62400,ST,76,821.05,52000
2025-05-21,166.9,171.0,162.65,166.9,34400,ST,43,800.0,24000
2025-05-22,166.9,170.0,166.9,170.0,11200,ST,14,800.0,9600
2025-05-23,169.0,169.0,165.0,167.25,19200,ST,24,800.0,16000
2025-05-26,169.0,171.0,167.5,167.7,24000,SM,30,800.0,16800
