Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2023-04-10,7.85,7.85,7.85,7.85,5000,EQ,7,714.29,5000
2023-04-11,8.2,8.2,7.45,8.2,51673,EQ,859,60.15,32472
2023-04-12,8.0,8.15,7.8,7.8,10642,EQ,222,47.94,9490
2023-04-13,7.4,7.55,7.4,7.4,12905,EQ,242,53.33,12029
2023-04-17,7.1,7.35,7.05,7.05,21648,EQ,405,53.45,18542
2023-04-18,7.4,7.4,6.7,6.95,19433,EQ,653,29.76,10082
2023-04-19,6.9,7.3,6.9,7.3,966,EQ,74,13.05,655
2023-04-20,7.5,7.65,7.5,7.65,460,EQ,15,30.67,460
2023-04-21,8.05,8.05,8.05,8.05,3282,EQ,44,74.59,3279
2023-04-24,8.5,8.5,8.2,8.5,8020,EQ,163,49.2,4885
2023-04-25,8.85,8.9,8.4,8.9,4350,EQ,73,59.59,4169
2023-04-26,9.05,9.3,8.6,9.3,7788,EQ,237,32.86,4525
2023-04-27,9.8,9.8,9.5,9.8,22235,EQ,483,46.04,15946
2023-04-28,10.3,10.3,10.05,10.3,8392,EQ,123,68.23,8161
2023-05-02,10.4,10.8,10.4,10.8,11830,EQ,101,117.13,10043
2023-05-03,11.15,11.3,10.25,11.3,18533,EQ,421,44.02,10434
2023-05-04,11.7,11.9,11.35,11.9,11056,EQ,251,44.05,6680
2023-05-05,12.4,12.5,12.15,12.45,19877,EQ,439,45.28,12431
2023-05-08,12.6,13.05,11.85,11.85,34549,EQ,740,46.69,22323
2023-05-09,11.25,11.6,11.25,11.25,12653,EQ,158,80.08,9404
2023-05-10,10.7,11.5,10.7,11.15,24840,EQ,594,41.82,12781
2023-05-11,11.15,11.7,10.95,11.7,3626,EQ,114,31.81,2597
2023-05-12,12.1,12.25,12.1,12.25,2707,EQ,71,38.13,2154
2023-05-15,12.9,12.9,11.95,12.4,20776,EQ,760,27.34,10567
2023-05-16,12.6,12.8,11.85,11.95,9763,EQ,416,23.47,6713
2023-05-17,11.65,12.3,11.65,11.95,3729,EQ,174,21.43,2212
2023-05-18,12.25,12.5,11.95,12.15,4356,EQ,230,18.94,2506
2023-05-19,11.7,12.5,11.7,11.85,1520,EQ,115,13.22,1026
2023-05-22,11.8,11.8,11.25,11.6,3233,EQ,249,12.98,1966
2023-05-23,11.3,12.1,11.0,12.0,5349,BE,32,167.16,5349
2023-05-24,12.6,12.6,11.65,12.3,687,BE,24,28.62,687
2023-05-25,11.7,12.5,11.7,12.5,709,BE,20,35.45,709
2023-05-26,12.5,12.5,11.85,12.05,2246,BE,45,49.91,2246
2023-05-29,11.95,12.15,11.7,11.9,882,BE,42,21.0,882
2023-05-30,12.15,12.35,11.8,12.15,1592,BE,42,37.9,1592
2023-05-31,12.1,12.1,11.85,12.05,3376,BE,25,135.04,3376
2023-06-01,12.05,12.4,11.4,12.1,10580,BE,93,113.76,10580
2023-06-02,12.25,12.55,11.95,12.35,6478,BE,77,84.13,6478
2023-06-05,12.15,12.7,12.05,12.4,3702,BE,53,69.85,3702
2023-06-06,12.6,13.05,11.8,13.05,42675,BE,146,292.29,42675
2023-06-07,13.7,13.7,12.45,13.7,49313,BE,233,211.64,49313
2023-06-08,13.85,13.9,13.0,13.25,27596,BE,195,141.52,27596
2023-06-09,13.1,13.1,12.6,12.8,3412,BE,57,59.86,3412
2023-06-12,12.35,12.8,12.15,12.6,5138,BE,104,49.4,5138
2023-06-13,12.9,13.25,12.5,13.25,3679,BE,57,64.54,3679
2023-06-14,13.6,13.9,13.6,13.9,9164,BE,53,172.91,9164
2023-06-15,14.6,14.6,14.25,14.5,25470,BE,106,240.28,25470
2023-06-16,14.95,14.95,13.8,14.45,11473,BE,68,168.72,11473
2023-06-19,14.45,15.15,13.9,14.3,16195,BE,164,98.75,16195
2023-06-20,14.6,15.0,14.05,14.1,10243,BE,62,165.21,10243
2023-06-21,14.1,14.25,13.7,14.05,3555,BE,58,61.29,3555
2023-06-22,13.9,14.0,13.5,13.65,6824,BE,64,106.62,6824
2023-06-23,13.65,13.85,13.4,13.65,5044,BE,29,173.93,5044
2023-06-26,13.65,13.85,13.3,13.7,2735,BE,24,113.96,2735
2023-06-27,13.3,13.9,13.3,13.5,2123,BE,24,88.46,2123
2023-06-28,13.25,14.0,13.25,13.25,2936,BE,20,146.8,2936
2023-06-30,13.3,13.75,13.05,13.4,2914,BE,42,69.38,2914
2023-07-03,13.6,14.05,12.95,13.6,3552,BE,51,69.65,3552
2023-07-04,13.85,13.85,13.45,13.7,600,BE,6,100.0,600
2023-07-05,13.65,13.65,13.65,13.65,10,BE,1,10.0,10
2023-07-06,13.5,13.5,13.1,13.45,739,BE,14,52.79,739
2023-07-07,13.0,13.45,13.0,13.25,155,BE,7,22.14,155
2023-07-10,13.2,13.2,13.2,13.2,20,BE,2,10.0,20
2023-07-11,13.45,13.45,12.75,12.75,1399,BE,23,60.83,1399
2023-07-12,12.75,12.75,12.15,12.25,3005,BE,66,45.53,3005
2023-07-13,12.5,12.5,11.75,11.85,2783,BE,55,50.6,2783
2023-07-14,11.7,11.95,11.3,11.3,20313,BE,84,241.82,20313
2023-07-17,11.0,11.65,11.0,11.6,3554,BE,42,84.62,3554
2023-07-18,11.6,12.15,11.6,12.1,3990,BE,47,84.89,3990
2023-07-19,12.1,12.5,11.95,12.5,796,BE,30,26.53,796
2023-07-20,12.5,12.55,12.0,12.55,863,BE,20,43.15,863
2023-07-21,12.55,12.55,12.05,12.5,1167,BE,17,68.65,1167
2023-07-24,12.6,12.6,12.05,12.55,2308,BE,30,76.93,2308
2023-07-25,12.55,13.15,12.55,13.15,9470,BE,40,236.75,9470
2023-07-26,13.15,13.45,12.6,12.7,871,BE,14,62.21,871
2023-07-27,13.15,13.35,12.75,13.25,1606,BE,30,53.53,1606
2023-07-28,13.35,13.9,13.0,13.5,1941,BE,18,107.83,1941
2023-07-31,13.5,13.5,13.0,13.35,165,BE,13,12.69,165
2023-08-01,13.6,13.6,13.0,13.25,81,BE,5,16.2,81
2023-08-02,13.25,13.25,12.6,13.05,786,BE,23,34.17,786
2023-08-03,13.05,13.25,12.5,12.95,160,BE,5,32.0,160
2023-08-04,12.95,12.95,12.55,12.95,318,BE,10,31.8,318
2023-08-07,12.95,13.25,12.3,12.3,5920,BE,31,190.97,5920
2023-08-08,12.6,12.6,12.35,12.35,342,BE,15,22.8,342
2023-08-09,12.55,12.6,11.85,11.9,694,BE,30,23.13,694
2023-08-10,12.2,12.5,11.7,12.5,959,BE,15,63.93,959
