Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2017-03-31,21.0,21.35,19.5,19.9,1596000,SM,,,
2017-04-03,20.25,20.3,19.9,19.95,186000,SM,,,
2017-04-05,20.0,20.1,19.7,19.7,96000,SM,,,
2017-04-06,19.65,19.8,19.65,19.75,66000,SM,,,
2017-04-07,19.75,19.75,19.55,19.6,66000,SM,,,
2017-04-10,19.45,19.5,19.0,19.5,84000,SM,,,
2017-04-11,19.0,19.2,18.8,18.8,24000,SM,,,
2017-04-12,18.5,19.0,18.0,18.1,54000,SM,,,
2017-04-13,18.4,18.8,18.4,18.5,84000,SM,,,
2017-04-17,19.1,19.1,18.5,18.5,18000,SM,,,
2017-04-19,18.3,18.7,18.3,18.7,12000,SM,,,
2017-04-20,19.0,19.0,18.2,18.5,24000,SM,,,
2017-04-21,18.75,18.75,18.75,18.75,6000,SM,,,
2017-04-24,19.0,19.0,19.0,19.0,6000,SM,,,
2017-04-25,19.15,19.15,18.45,18.7,18000,SM,,,
2017-04-26,18.95,18.95,18.0,18.7,54000,SM,,,
2017-04-27,18.5,18.5,18.5,18.5,6000,SM,,,
2017-04-28,18.0,18.5,18.0,18.5,18000,SM,,,
2017-05-02,17.3,17.7,17.3,17.65,24000,SM,,,
2017-05-03,17.5,17.5,17.5,17.5,12000,SM,,,
2017-05-04,17.45,17.45,17.2,17.2,18000,SM,,,
2017-05-05,17.85,17.85,17.3,17.3,18000,SM,,,
2017-05-08,17.5,18.0,17.5,18.0,30000,SM,,,
2017-05-09,17.6,18.4,17.6,18.4,24000,SM,,,
2017-05-10,18.15,18.15,18.15,18.15,6000,SM,,,
2017-05-11,18.45,18.45,18.45,18.45,6000,SM,,,
2017-05-12,17.8,17.8,17.8,17.8,6000,SM,,,
2017-05-16,17.7,17.9,17.3,17.9,36000,SM,,,
2017-05-17,18.0,18.4,18.0,18.35,24000,SM,,,
2017-05-19,18.45,18.95,18.45,18.7,24000,SM,,,
2017-05-22,19.4,19.45,18.9,18.9,36000,SM,,,
2017-05-23,18.6,18.6,18.4,18.5,12000,SM,,,
2017-05-24,18.0,18.0,18.0,18.0,6000,SM,,,
2017-05-25,17.55,17.55,17.55,17.55,18000,SM,,,
2017-05-26,18.0,18.0,18.0,18.0,24000,SM,,,
2017-05-29,18.25,18.75,17.8,17.8,78000,SM,,,
2017-05-30,17.2,17.8,17.15,17.45,48000,SM,,,
2017-05-31,17.1,17.7,17.1,17.7,12000,SM,,,
2017-06-01,17.85,17.85,17.2,17.45,18000,SM,,,
2017-06-05,17.5,17.5,17.25,17.25,12000,SM,,,
2017-06-06,17.4,17.4,17.1,17.1,12000,SM,,,
2017-06-07,17.05,17.05,16.15,16.15,42000,SM,,,
2017-06-09,16.15,16.5,16.15,16.5,12000,SM,,,
2017-06-15,15.7,16.1,15.7,16.05,72000,SM,,,
2017-06-16,16.8,17.2,16.8,17.2,30000,SM,,,
2017-06-19,16.65,16.9,16.05,16.9,36000,SM,,,
2017-06-20,16.4,16.85,16.0,16.3,162000,SM,,,
2017-06-21,16.5,16.95,16.35,16.7,60000,SM,,,
2017-06-22,16.3,16.85,16.3,16.8,24000,SM,,,
2017-06-27,16.5,16.8,16.5,16.8,18000,SM,,,
2017-06-28,16.75,16.8,16.7,16.8,36000,SM,,,
2017-06-29,16.35,16.7,16.0,16.35,48000,SM,,,
2017-06-30,16.9,16.9,16.9,16.9,6000,SM,,,
2017-07-03,17.45,17.45,17.45,17.45,12000,SM,,,
2017-07-04,17.5,18.0,17.5,18.0,18000,SM,,,
2017-07-05,17.1,17.1,17.0,17.0,18000,SM,,,
2017-07-10,16.1,17.2,16.1,16.3,24000,SM,,,
2017-07-11,17.2,17.25,16.4,17.25,18000,SM,,,
2017-07-12,16.8,16.8,16.5,16.5,24000,SM,,,
2017-07-13,16.25,17.25,16.25,16.9,78000,SM,,,
2017-07-17,16.25,16.25,16.2,16.2,12000,SM,,,
2017-07-19,16.7,16.7,16.7,16.7,6000,SM,,,
2017-07-20,17.0,17.0,16.85,16.85,12000,SM,,,
2017-07-21,16.95,17.0,16.5,16.8,36000,SM,,,
2017-07-25,16.3,16.3,16.0,16.0,24000,SM,,,
2017-07-26,16.4,16.4,16.4,16.4,6000,SM,,,
2017-07-27,16.45,16.5,15.85,15.85,54000,SM,,,
2017-08-01,16.1,16.1,15.0,15.0,18000,SM,,,
2017-08-02,14.55,14.55,14.3,14.3,18000,SM,,,
2017-08-03,14.35,14.35,14.0,14.0,30000,SM,,,
2017-08-04,14.85,15.0,14.85,15.0,24000,SM,,,
2017-08-07,15.0,15.75,15.0,15.75,18000,SM,,,
2017-08-08,15.75,16.0,15.75,16.0,12000,SM,,,
2017-08-09,15.85,16.4,15.85,16.4,18000,SM,,,
2017-08-10,16.25,16.25,15.85,15.85,18000,SM,,,
2017-08-11,16.0,16.15,16.0,16.15,12000,SM,,,
2017-08-17,16.2,16.2,16.15,16.15,12000,SM,,,
2017-08-23,15.9,15.9,15.9,15.9,6000,SM,,,
2017-08-28,15.0,15.0,15.0,15.0,6000,SM,,,
2017-08-29,15.0,15.9,15.0,15.9,12000,SM,,,
2017-08-30,15.5,16.0,15.5,16.0,12000,SM,,,
2017-08-31,15.5,15.5,15.5,15.5,6000,SM,,,
2017-09-12,14.8,14.8,14.8,14.8,6000,SM,,,
2017-09-13,14.6,15.0,14.0,15.0,30000,SM,,,
2017-09-14,15.0,15.0,15.0,15.0,6000,SM,,,
2017-09-15,15.0,15.0,15.0,15.0,6000,SM,,,
2017-09-18,15.0,15.0,15.0,15.0,6000,SM,,,
2017-09-20,15.0,15.0,15.0,15.0,6000,SM,,,
2017-09-21,16.9,16.9,15.5,15.5,48000,SM,,,
2017-09-22,16.6,16.6,15.95,16.4,36000,SM,,,
2017-09-25,16.5,16.5,15.55,15.55,12000,SM,,,
2017-09-27,15.5,15.8,15.5,15.8,12000,SM,,,
2017-09-28,16.0,16.0,16.0,16.0,6000,SM,,,
2017-10-03,16.45,16.7,16.45,16.7,12000,SM,,,
2017-10-04,15.5,15.5,15.5,15.5,6000,SM,,,
2017-10-10,15.25,15.25,15.25,15.25,6000,SM,,,
2017-10-16,15.05,15.05,15.0,15.0,12000,SM,,,
2017-10-17,15.0,15.0,15.0,15.0,6000,SM,,,
2017-10-18,15.2,15.2,14.95,15.2,156000,SM,,,
2017-10-31,16.0,16.0,15.15,15.95,36000,SM,,,
2017-11-01,16.0,19.1,16.0,19.1,174000,SM,,,
2017-11-02,20.0,21.15,19.75,20.1,462000,SM,,,
2017-11-03,19.0,19.6,19.0,19.6,48000,SM,,,
2017-11-06,19.2,20.5,19.2,19.7,54000,SM,,,
2017-11-07,20.8,20.8,19.5,19.5,66000,SM,,,
2017-11-08,19.0,19.0,19.0,19.0,6000,SM,,,
2017-11-10,18.3,18.3,18.3,18.3,6000,SM,,,
2017-11-13,18.1,20.25,18.0,19.95,162000,SM,,,
2017-11-14,20.05,20.05,18.0,18.25,72000,SM,,,
2017-11-15,18.0,18.25,18.0,18.25,12000,SM,,,
2017-11-17,17.8,17.8,17.65,17.7,18000,SM,,,
2017-11-20,18.15,18.15,16.6,16.6,36000,SM,,,
2017-11-21,17.0,17.0,17.0,17.0,6000,SM,,,
2017-11-22,17.4,17.95,17.1,17.85,120000,SM,,,
2017-11-23,20.9,20.9,17.15,17.15,30000,SM,,,
2017-11-29,17.2,17.2,17.0,17.0,12000,SM,,,
2017-11-30,17.0,17.55,17.0,17.05,24000,SM,,,
2017-12-04,17.2,17.2,17.2,17.2,6000,SM,,,
2017-12-06,16.5,16.6,16.5,16.6,12000,SM,,,
2017-12-07,16.2,16.2,16.2,16.2,6000,SM,,,
2017-12-11,16.1,16.1,16.1,16.1,6000,SM,,,
2017-12-15,15.35,16.7,15.25,16.7,30000,SM,,,
2017-12-18,16.0,16.0,15.8,15.9,12000,SM,,,
2017-12-21,15.8,16.5,15.0,16.5,78000,SM,,,
2017-12-22,16.5,16.5,16.5,16.5,6000,SM,,,
