Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2023-07-31,1000.0,1000.0,999.99,999.99,204210,120.0,1701.75,168897.0
2023-08-01,999.99,1000.01,999.99,999.99,402663,372.0,1082.43,299603.0
2023-08-02,1000.0,1000.0,999.99,999.99,58486,72.0,812.31,36930.0
2023-08-03,1000.0,1000.0,999.99,999.99,15308,111.0,137.91,9311.0
2023-08-04,999.99,1000.0,999.99,999.99,44851,147.0,305.11,30010.0
2023-08-07,999.99,1000.0,999.99,999.99,107044,236.0,453.58,102918.0
2023-08-08,1000.0,1000.0,999.99,999.99,53073,117.0,453.62,45865.0
2023-08-09,999.99,1000.0,999.99,999.99,36365,136.0,267.39,32198.0
2023-08-10,1000.01,1000.01,999.99,999.99,59544,115.0,517.77,49422.0
2023-08-11,1000.0,1000.0,999.99,999.99,123690,202.0,612.33,108905.0
2023-08-14,999.99,1000.0,999.99,999.99,12126,61.0,198.79,5605.0
2023-08-16,1000.0,1000.0,999.99,999.99,19693,81.0,243.12,8318.0
2023-08-17,999.99,1000.0,999.99,1000.0,9971,48.0,207.73,4090.0
2023-08-18,999.99,1000.0,999.99,999.99,37438,186.0,201.28,30743.0
2023-08-21,1000.0,1000.0,999.99,999.99,81012,164.0,493.98,57657.0
2023-08-22,999.99,1000.0,999.99,999.99,12321,52.0,236.94,8592.0
2023-08-23,999.99,1000.0,999.99,999.99,68199,413.0,165.13,25479.0
2023-08-24,1000.0,1000.0,999.99,999.99,27064,40.0,676.6,20312.0
2023-08-25,999.99,1000.0,999.99,999.99,7228,67.0,107.88,3855.0
2023-08-28,999.99,1000.0,999.99,999.99,24755,73.0,339.11,20327.0
2023-08-29,1000.0,1000.0,999.99,1000.0,9508,41.0,231.9,8135.0
2023-08-30,1000.0,1000.0,999.99,999.99,38603,64.0,603.17,37174.0
2023-08-31,999.99,1000.0,999.99,1000.0,15359,215.0,71.44,12331.0
2023-09-01,999.99,1000.0,999.99,999.99,47621,124.0,384.04,36740.0
2023-09-04,999.99,1000.0,999.99,999.99,42486,114.0,372.68,29406.0
2023-09-05,999.99,1000.0,999.99,999.99,29148,114.0,255.68,20865.0
2023-09-06,1000.0,1000.0,999.99,999.99,20784,49.0,424.16,17101.0
2023-09-07,1000.0,1000.0,999.99,999.99,9239,61.0,151.46,6822.0
2023-09-08,999.99,1000.0,999.99,999.99,55089,70.0,786.99,43046.0
2023-09-11,999.99,1000.0,999.99,999.99,48035,301.0,159.58,37531.0
2023-09-12,999.99,1000.0,999.99,999.99,46686,165.0,282.95,35075.0
2023-09-13,999.94,1000.0,999.94,999.99,29819,59.0,505.41,19396.0
2023-09-14,999.99,1000.0,999.99,999.99,16015,102.0,157.01,9912.0
2023-09-15,1000.0,1000.0,999.99,999.99,58223,89.0,654.19,45323.0
2023-09-18,1000.0,1000.0,999.99,999.99,81332,131.0,620.85,17856.0
2023-09-20,999.99,1000.01,999.99,1000.0,84988,131.0,648.76,79108.0
2023-09-21,1000.01,1000.01,999.99,999.99,640396,702.0,912.25,631224.0
2023-09-22,1000.0,1000.0,999.99,999.99,83362,85.0,980.73,62968.0
2023-09-25,1000.0,1000.84,999.99,999.99,122518,68.0,1801.74,102438.0
2023-09-26,1000.0,1000.0,999.99,999.99,28259,68.0,415.57,23180.0
2023-09-27,1000.0,1000.0,999.99,999.99,140998,287.0,491.28,107200.0
2023-09-28,1000.0,1000.0,999.99,999.99,7643,72.0,106.15,6301.0
2023-09-29,999.99,1000.0,999.99,999.99,47536,101.0,470.65,40002.0
2023-10-03,1000.0,1000.0,999.99,999.99,92351,162.0,570.07,81209.0
2023-10-04,1000.0,1000.01,999.99,999.99,143710,419.0,342.98,120858.0
2023-10-05,999.99,1000.01,999.99,999.99,458358,636.0,720.69,389878.0
2023-10-06,1000.01,1000.01,999.99,999.99,462882,1137.0,407.11,362400.0
2023-10-09,999.0,1000.0,999.0,999.99,289427,726.0,398.66,278535.0
2023-10-10,999.99,1000.0,999.99,999.99,184064,282.0,652.71,137120.0
2023-10-11,999.99,1000.0,999.99,999.99,62968,173.0,363.98,46216.0
2023-10-12,999.99,1000.0,999.99,999.99,28293,117.0,241.82,22095.0
2023-10-13,999.99,1000.0,999.99,999.99,21003,77.0,272.77,10829.0
2023-10-16,1000.0,1000.0,999.99,999.99,32454,57.0,569.37,19703.0
2023-10-17,999.99,1000.0,999.99,999.99,43041,78.0,551.81,30571.0
2023-10-18,999.99,1000.0,999.99,999.99,32025,55.0,582.27,23741.0
2023-10-19,999.99,1000.0,999.99,999.99,28119,52.0,540.75,24559.0
2023-10-20,999.99,1000.01,999.99,999.99,221585,88.0,2518.01,184794.0
2023-10-23,999.99,1000.0,999.99,999.99,45200,134.0,337.31,27972.0
2023-10-25,1000.0,1000.0,999.99,999.99,76557,149.0,513.81,28526.0
2023-10-26,999.99,1000.0,999.99,999.99,55341,67.0,825.99,53139.0
2023-10-30,999.5,1000.0,999.02,999.99,49325,100.0,493.25,15565.0
2023-10-31,1000.0,1000.0,999.99,999.99,33542,59.0,568.51,22496.0
2023-11-01,1000.0,1000.0,999.99,999.99,16320,68.0,240.0,12374.0
