Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2011-08-12,53.85,53.85,49.3,50.05,98188151,EQ,,,
2011-08-16,50.9,51.3,49.0,49.3,12435359,EQ,,,
2011-08-17,49.65,49.8,48.0,48.15,4804559,EQ,,,
2011-08-18,48.15,48.5,46.15,46.3,4346287,EQ,,,
2011-08-19,46.05,46.05,44.65,44.9,4196723,EQ,,,
2011-08-22,45.0,45.4,44.4,44.7,3144678,EQ,,,
2011-08-23,45.05,46.95,44.65,46.45,4208711,EQ,,,
2011-08-24,46.4,48.2,46.0,47.25,3142285,EQ,,,
2011-08-25,47.7,48.2,47.0,47.45,1740800,EQ,,,
2011-08-26,47.7,47.9,45.8,46.15,1769056,EQ,,,
2011-08-29,47.0,53.05,46.75,50.8,6213609,EQ,,,
2011-08-30,52.5,52.8,49.25,49.8,10696584,EQ,,,
2011-09-02,50.05,51.3,48.6,50.55,3811454,EQ,,,
2011-09-05,50.0,52.0,49.55,51.5,5493057,EQ,,,
2011-09-06,51.15,52.25,50.6,51.8,5941534,EQ,,,
2011-09-07,52.0,52.7,51.35,52.1,5477769,EQ,,,
2011-09-08,52.05,52.2,51.55,51.8,2291566,EQ,,,
2011-09-09,51.9,52.2,50.8,50.95,1657760,EQ,,,
2011-09-12,50.95,51.65,49.7,50.8,2943855,EQ,,,
2011-09-13,51.4,51.55,50.1,50.2,1345797,EQ,,,
2011-09-14,50.8,50.8,50.1,50.2,737756,EQ,,,
2011-09-15,50.6,51.1,50.1,50.25,956407,EQ,,,
2011-09-16,50.35,50.65,49.9,50.05,985457,EQ,,,
2011-09-19,49.55,50.4,49.55,49.95,698587,EQ,,,
2011-09-20,50.0,50.35,49.55,49.95,742380,EQ,,,
2011-09-21,50.0,51.0,49.9,50.55,1324373,EQ,,,
2011-09-22,50.0,50.3,49.0,49.1,1156544,EQ,,,
2011-09-23,48.75,49.15,47.75,48.55,1426707,EQ,,,
2011-09-26,48.5,49.05,47.2,47.7,1091743,EQ,,,
2011-09-27,48.4,49.25,48.15,49.05,1077459,EQ,,,
2011-09-28,49.3,49.45,48.8,49.05,620212,EQ,,,
2011-09-29,48.7,49.1,48.1,48.3,667839,EQ,,,
2011-09-30,48.3,48.9,48.0,48.15,504352,EQ,,,
