Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2017-09-21,985.0,1024.0,896.25,904.65,3338604,EQ,,,
2017-09-22,887.8,887.8,801.2,821.9,1158347,EQ,,,
2017-09-25,816.3,836.9,785.0,801.4,382426,EQ,,,
2017-09-26,797.1,819.4,797.1,803.15,137703,EQ,,,
2017-09-27,810.0,817.9,790.0,792.2,118476,EQ,,,
2017-09-28,792.2,800.95,775.55,791.65,65955,EQ,,,
2017-09-29,797.95,810.0,792.0,795.0,55982,EQ,,,
2017-10-03,800.0,815.0,794.0,807.5,84170,EQ,,,
2017-10-04,810.0,819.8,805.0,812.7,29829,EQ,,,
2017-10-05,814.95,828.0,810.45,823.05,31612,EQ,,,
2017-10-06,826.9,827.0,814.95,819.95,21450,EQ,,,
2017-10-09,820.0,839.5,810.85,835.35,32022,EQ,,,
2017-10-10,833.55,864.8,833.55,857.95,49582,EQ,,,
2017-10-11,858.25,870.0,858.25,865.2,50993,EQ,,,
2017-10-12,860.0,862.0,852.0,855.85,9384,EQ,,,
2017-10-13,858.3,869.0,855.65,862.5,16465,EQ,,,
2017-10-16,861.0,882.4,859.1,870.55,18502,EQ,,,
2017-10-17,870.0,880.0,867.05,870.7,5806,EQ,,,
2017-10-18,870.0,872.75,867.0,870.05,7361,EQ,,,
2017-10-19,872.0,872.0,830.5,846.65,1708,EQ,,,
2017-10-23,858.0,874.0,845.0,863.05,15200,EQ,,,
2017-10-24,867.1,879.95,863.6,869.5,15313,EQ,,,
2017-10-25,864.25,872.0,860.0,870.15,12791,EQ,,,
2017-10-26,859.5,871.9,852.0,857.25,14242,EQ,,,
2017-10-27,852.15,857.55,841.1,854.05,11168,EQ,,,
2017-10-30,850.0,866.0,847.2,865.05,5827,EQ,,,
2017-10-31,860.0,885.0,860.0,882.65,17835,EQ,,,
2017-11-01,875.0,882.9,875.0,880.6,8845,EQ,,,
2017-11-02,852.0,880.0,852.0,878.15,4292,EQ,,,
2017-11-03,877.0,879.95,872.05,878.05,8088,EQ,,,
2017-11-06,874.8,876.7,870.0,870.0,3993,EQ,,,
2017-11-07,875.3,876.5,870.0,871.0,9165,EQ,,,
2017-11-08,873.4,873.4,870.0,872.2,4423,EQ,,,
2017-11-09,872.0,878.9,870.1,874.05,3637,EQ,,,
2017-11-10,870.05,872.5,870.0,870.05,2287,EQ,,,
2017-11-13,871.2,872.7,870.0,871.9,4362,EQ,,,
2017-11-14,866.4,872.1,860.0,864.0,2733,EQ,,,
2017-11-15,870.75,875.0,850.0,865.65,10352,EQ,,,
