Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2025-02-07,77.9,80.0,75.0,75.9,241713,EQ,3853,62.73,112829
2025-02-10,77.99,77.99,72.0,73.29,116218,EQ,2433,47.77,74825
2025-02-11,73.29,73.9,69.51,71.15,255140,EQ,5008,50.95,120650
2025-02-12,71.05,71.05,68.18,69.42,231343,EQ,6220,37.19,144247
2025-02-13,69.42,72.9,68.99,72.06,391571,EQ,5400,72.51,233873
2025-02-14,71.49,73.0,69.1,71.45,364844,EQ,4502,81.04,223380
2025-02-17,71.01,72.77,57.16,57.57,1173786,EQ,14533,80.77,740635
2025-02-18,58.4,64.41,52.81,62.34,1969167,EQ,27981,70.38,787059
2025-02-19,62.51,67.69,62.1,66.49,604465,EQ,6616,91.36,157796
2025-02-20,67.0,70.02,65.25,66.63,1481938,EQ,12972,114.24,618139
2025-02-21,66.97,69.9,66.28,68.03,282050,EQ,8475,33.28,125481
2025-02-24,67.0,68.0,63.49,64.64,339234,EQ,5363,63.25,185792
2025-02-25,64.49,65.71,61.2,63.06,367595,EQ,6049,60.77,234696
2025-02-27,63.37,64.25,58.93,59.25,351750,EQ,8656,40.64,205376
2025-02-28,60.0,60.0,53.38,54.39,2906211,EQ,19136,151.87,1850734
2025-03-03,54.69,57.5,52.05,54.05,462083,EQ,4326,106.82,182805
2025-03-04,54.9,54.9,52.51,53.53,534393,EQ,4048,132.01,223099
2025-03-05,54.0,55.85,53.5,55.13,351892,EQ,5418,64.95,182033
2025-03-06,55.94,56.81,54.35,54.78,285925,EQ,3638,78.59,144403
2025-03-07,55.32,55.33,53.35,54.04,358255,EQ,3223,111.16,216547
2025-03-10,54.58,55.4,51.48,52.87,514587,EQ,3409,150.95,380541
2025-03-11,52.58,53.5,49.66,51.55,843649,EQ,6848,123.2,508603
2025-03-12,51.8,52.5,50.15,50.55,455637,EQ,2890,157.66,299022
2025-03-13,50.55,50.88,48.9,49.4,583236,EQ,2981,195.65,447888
2025-03-17,49.0,51.49,42.49,45.84,498282,EQ,3649,136.55,292404
2025-03-18,44.9,46.64,43.96,44.85,899139,EQ,6204,144.93,458694
2025-03-19,45.49,49.0,45.45,46.93,649497,EQ,5568,116.65,301115
2025-03-20,47.64,50.67,47.2,47.64,648168,EQ,10300,62.93,288817
2025-03-21,47.75,49.29,47.68,48.51,441973,EQ,8075,54.73,224925
2025-03-24,48.9,57.68,48.3,54.78,5198328,EQ,28718,181.01,3257260
2025-03-25,54.5,62.0,53.7,60.31,3746194,EQ,51161,73.22,789232
2025-03-26,61.8,65.8,61.23,62.76,3689266,EQ,37586,98.16,1095011
2025-03-27,64.5,68.77,63.03,64.23,1565780,EQ,7873,198.88,706143
2025-03-28,69.5,69.5,58.0,61.85,2066423,EQ,8832,233.97,909221
2025-04-01,62.52,65.0,61.98,62.84,665833,EQ,3063,217.38,213416
2025-04-02,63.23,63.82,60.0,61.21,240153,EQ,2297,104.55,150547
2025-04-03,60.99,62.5,60.02,61.38,210037,EQ,1839,114.21,104249
2025-04-04,62.0,62.0,57.51,59.59,366966,EQ,2494,147.14,218717
2025-04-07,55.0,58.0,54.1,56.51,359856,EQ,7948,45.28,170864
2025-04-08,57.8,58.99,55.68,57.36,342328,EQ,5677,60.3,149988
2025-04-09,57.35,61.88,55.55,58.85,997363,EQ,11515,86.61,375618
2025-04-11,62.25,62.25,58.5,59.07,335146,EQ,10579,31.68,129126
2025-04-15,59.4,69.17,59.4,66.86,2664610,EQ,33440,79.68,1185326
2025-04-16,68.8,72.2,66.0,71.15,1570089,EQ,30469,51.53,470524
2025-04-17,70.79,74.05,69.37,71.34,1183525,EQ,6685,177.04,469439
2025-04-21,70.76,73.51,69.0,69.26,578273,EQ,5222,110.74,283977
2025-04-22,69.8,72.71,69.0,71.13,518892,EQ,3794,136.77,266153
2025-04-23,71.52,75.49,70.05,71.13,701535,EQ,4758,147.44,268458
2025-04-24,71.59,72.5,70.33,70.99,273397,EQ,2636,103.72,121900
2025-04-25,71.48,74.74,65.0,68.02,881824,EQ,7072,124.69,316688
2025-04-28,67.99,68.5,65.64,67.09,339097,EQ,2121,159.88,226797
2025-04-29,67.03,69.9,67.03,68.1,322498,EQ,3010,107.14,136457
2025-04-30,68.09,72.0,66.11,70.12,848601,EQ,5182,163.76,539558
2025-05-02,71.0,71.41,67.51,69.39,407067,EQ,2051,198.47,266933
2025-05-05,68.6,70.9,67.49,68.06,346836,EQ,1958,177.14,224165
2025-05-06,67.05,68.87,64.85,67.79,778782,EQ,4281,181.92,524426
2025-05-07,64.21,70.31,64.08,67.66,842675,EQ,4131,203.99,325966
2025-05-08,69.94,70.25,66.0,66.47,247325,EQ,2004,123.42,131397
2025-05-09,65.8,68.5,64.47,66.77,286976,EQ,2147,133.66,124083
2025-05-12,69.0,73.89,67.41,73.15,1032454,EQ,6066,170.2,406292
2025-05-13,74.5,77.44,72.0,76.05,1207136,EQ,13666,88.33,410201
