Date,Open,High,Low,Close,Volume
2018-03-23,57.75,59.0,51.0,57.85,682000
2018-03-26,57.5,57.5,55.4,56.7,334000
2018-03-27,56.75,57.0,54.75,56.55,370000
2018-03-28,57.0,57.2,55.8,56.55,352000
2018-04-02,62.4,62.4,55.0,57.05,148000
2018-04-03,56.8,56.8,54.05,56.75,94000
2018-04-04,56.4,56.65,54.3,56.0,98000
2018-04-05,55.05,57.0,55.05,56.85,6000
2018-04-06,55.15,56.75,55.15,56.65,34000
2018-04-09,56.6,57.25,56.25,56.25,58000
2018-04-10,57.0,58.1,56.3,56.3,18000
2018-04-11,56.1,57.0,56.0,56.0,8000
2018-04-12,56.75,56.75,56.0,56.0,6000
2018-04-13,56.05,57.3,56.0,56.8,42000
2018-04-16,56.05,56.05,56.0,56.0,4000
2018-04-18,56.5,57.0,56.5,56.95,10000
2018-04-19,56.5,56.5,56.5,56.5,2000
2018-04-20,56.9,56.9,55.7,55.8,34000
2018-04-23,56.8,56.8,56.25,56.5,8000
2018-04-24,57.0,57.0,56.0,56.75,10000
2018-04-25,56.0,56.65,56.0,56.65,4000
2018-04-26,56.0,56.6,55.6,56.6,6000
2018-04-27,56.9,56.9,56.9,56.9,2000
2018-05-02,56.9,56.9,56.9,56.9,22000
2018-05-03,56.25,56.25,56.25,56.25,2000
2018-05-04,56.75,56.75,56.2,56.2,28000
2018-05-07,56.45,56.45,55.75,55.75,4000
2018-05-08,55.75,56.15,55.75,56.15,4000
2018-05-09,56.4,57.9,56.4,57.9,14000
2018-05-11,55.45,56.65,55.4,55.95,12000
2018-05-14,56.0,56.4,56.0,56.4,4000
2018-05-15,58.0,58.0,55.25,56.7,50000
2018-05-16,56.45,56.45,56.45,56.45,10000
2018-05-17,56.0,56.0,56.0,56.0,2000
2018-05-18,56.85,56.85,55.2,56.0,6000
2018-05-21,56.9,56.9,55.4,56.05,54000
2018-05-22,55.2,56.3,55.2,56.3,4000
2018-05-23,55.25,56.35,55.25,56.35,4000
2018-05-24,57.3,57.3,57.3,57.3,2000
