Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2024-02-05,198.0,207.9,195.0,207.9,1855200,1128,1644.68,1855200
2024-02-06,218.25,218.25,218.25,218.25,145200,100,1452.0,145200
2024-02-07,229.15,229.15,229.15,229.15,48000,38,1263.16,48000
2024-02-08,240.6,240.6,217.7,240.6,1653600,923,1791.55,1480800
2024-02-09,252.6,252.6,252.6,252.6,34800,29,1200.0,34800
2024-02-12,265.2,265.2,265.2,265.2,86400,37,2335.14,86400
2024-02-13,278.45,278.45,260.0,278.45,980400,575,1705.04,928800
2024-02-14,274.3,283.0,264.55,270.8,525600,318,1652.83,487200
2024-02-15,269.4,284.3,262.0,284.3,211200,159,1328.3,198000
2024-02-16,298.5,298.5,298.5,298.5,27600,21,1314.29,27600
2024-02-19,303.75,330.0,269.0,277.3,588000,450,1306.67,325200
2024-02-20,287.0,301.0,265.0,285.1,282000,212,1330.19,158400
2024-02-21,289.0,297.9,278.2,284.2,159600,130,1227.69,93600
2024-02-22,289.65,289.65,270.35,273.7,142800,117,1220.51,99600
2024-02-23,315.0,328.4,293.25,328.4,794400,611,1300.16,472800
2024-02-26,359.0,373.95,333.55,344.05,459600,362,1269.61,276000
2024-02-27,344.05,387.0,335.0,380.2,321600,256,1256.25,194400
2024-02-28,394.0,394.85,352.05,370.35,199200,165,1207.27,122400
2024-02-29,360.0,365.0,340.0,354.8,144000,118,1220.34,87600
2024-03-01,365.1,373.0,360.0,365.4,79200,64,1237.5,56400
2024-03-02,360.0,370.5,358.0,366.7,19200,16,1200.0,13200
2024-03-04,379.0,379.0,335.0,342.4,300000,225,1333.33,249600
2024-03-05,344.9,344.9,306.0,309.0,220800,178,1240.45,148800
2024-03-06,309.0,309.0,285.0,290.4,216000,176,1227.27,170400
2024-03-07,297.7,320.0,294.0,315.55,162000,135,1200.0,96000
2024-03-11,309.0,309.0,270.75,278.75,207600,166,1250.6,142800
2024-03-12,276.0,292.95,256.05,264.45,244800,188,1302.13,165600
2024-03-13,267.0,280.0,240.0,267.35,261600,211,1239.81,175200
2024-03-14,270.0,294.95,270.0,289.35,196800,151,1303.31,122400
2024-03-15,286.0,298.0,280.0,293.0,73200,57,1284.21,48000
2024-03-18,294.0,296.0,275.0,278.05,72000,60,1200.0,56400
2024-03-19,272.0,278.9,251.0,264.6,64800,52,1246.15,46800
2024-03-20,263.0,275.0,260.0,267.0,72000,57,1263.16,44400
2024-03-21,277.0,282.5,263.55,269.35,92400,75,1232.0,66000
2024-03-22,267.65,272.8,262.5,270.0,55200,46,1200.0,38400
2024-03-26,270.0,274.0,260.0,261.95,74400,60,1240.0,54000
2024-03-27,265.0,267.0,252.15,255.3,72000,60,1200.0,64800
2024-03-28,258.0,271.0,255.0,257.65,132000,104,1269.23,90000
2024-04-01,258.05,295.0,258.05,289.55,124800,95,1313.68,82800
2024-04-02,292.0,296.5,283.6,291.6,40800,34,1200.0,26400
2024-04-03,290.0,308.0,287.6,304.05,92400,73,1265.75,72000
2024-04-04,313.95,320.0,294.2,298.6,50400,42,1200.0,36000
2024-04-05,295.0,297.3,290.0,290.45,33600,28,1200.0,22800
2024-04-08,291.55,294.0,278.0,279.65,42000,35,1200.0,33600
2024-04-09,279.0,283.1,270.0,270.45,48000,40,1200.0,40800
2024-04-10,275.0,277.8,270.0,271.5,39600,33,1200.0,34800
2024-04-12,284.95,289.0,278.25,286.6,79200,55,1440.0,54000
2024-04-15,286.6,295.95,275.0,284.15,49200,37,1329.73,44400
2024-04-16,280.0,294.0,280.0,288.95,64800,51,1270.59,45600
2024-04-18,288.95,313.95,288.95,305.95,108000,88,1227.27,79200
2024-04-19,328.0,328.0,302.0,316.05,97200,79,1230.38,63600
2024-04-22,325.0,340.5,325.0,338.6,138000,108,1277.78,90000
2024-04-23,345.8,353.85,338.05,340.2,63600,53,1200.0,42000
2024-04-24,340.2,344.95,310.6,322.1,112800,90,1253.33,60000
2024-04-25,323.8,326.0,311.2,320.0,37200,30,1240.0,22800
2024-04-26,323.0,332.0,317.6,328.5,32400,27,1200.0,15600
2024-04-29,330.0,341.7,321.0,324.2,36800,88,418.18,27600
2024-04-30,324.0,324.0,312.0,318.15,35200,85,414.12,21600
2024-05-02,318.0,318.0,300.0,306.3,252400,404,624.75,190400
2024-05-03,305.65,343.0,301.0,336.8,260400,575,452.87,192000
2024-05-06,348.0,350.0,331.0,338.1,128800,292,441.1,92400
2024-05-07,338.1,348.0,316.0,319.9,81200,180,451.11,58400
2024-05-08,319.9,325.0,319.0,323.4,58000,123,471.54,42400
2024-05-09,324.35,326.0,306.05,312.2,66400,144,461.11,53200
2024-05-10,316.0,316.0,295.0,308.2,35600,77,462.34,22800
2024-05-13,308.2,315.0,287.0,301.3,104400,223,468.16,77200
2024-05-14,301.3,314.4,301.3,308.1,43600,95,458.95,27200
2024-05-15,312.1,316.0,304.0,313.0,35200,83,424.1,25200
2024-05-16,312.95,314.4,305.0,308.4,31600,73,432.88,22400
2024-05-17,308.4,312.4,306.6,309.0,36400,70,520.0,25600
2024-05-18,309.0,311.0,307.0,308.4,8800,21,419.05,7600
2024-05-21,304.0,306.85,295.55,300.0,64000,148,432.43,45200
2024-05-22,306.0,307.0,300.0,302.85,31600,75,421.33,15600
2024-05-23,301.35,306.0,298.0,305.4,40000,84,476.19,26400
2024-05-24,303.0,304.1,290.0,291.0,55200,127,434.65,37600
2024-05-27,295.0,306.0,295.0,303.7,45200,96,470.83,33600
2024-05-28,300.05,351.0,292.0,340.9,513200,1128,454.96,228000
2024-05-29,340.0,366.0,331.0,357.5,383600,824,465.53,234800
2024-05-30,355.95,367.0,345.0,348.05,133200,292,456.16,98000
2024-05-31,353.95,360.0,340.1,349.0,87200,194,449.48,57600
2024-06-03,363.9,364.0,337.5,341.95,82000,188,436.17,50400
2024-06-04,346.0,346.0,286.1,311.4,154000,354,435.03,98800
2024-06-05,309.0,338.4,295.0,326.4,150000,349,429.8,76800
2024-06-06,337.1,344.0,317.0,319.65,94000,216,435.19,62000
2024-06-07,324.0,326.45,316.0,324.45,66000,138,478.26,44000
2024-06-10,333.85,334.55,326.0,328.8,75200,155,485.16,52800
2024-06-11,332.8,342.0,329.2,330.15,53600,122,439.34,40400
2024-06-12,329.35,349.95,318.0,323.75,132400,281,471.17,85200
2024-06-13,336.95,388.5,334.0,382.75,514000,1118,459.75,265200
2024-06-14,399.0,415.0,385.0,404.1,281200,653,430.63,160400
2024-06-18,409.0,447.4,400.05,423.9,181200,419,432.46,105600
2024-06-19,437.7,447.0,404.0,412.25,96000,231,415.58,64000
2024-06-20,417.8,430.0,411.0,415.85,58800,140,420.0,38000
2024-06-21,415.0,415.85,390.05,398.8,102800,237,433.76,66400
2024-06-24,398.8,407.0,378.05,387.55,128000,297,430.98,81600
2024-06-25,390.0,465.05,390.0,463.25,569600,1068,533.33,292400
2024-06-26,465.0,490.0,448.0,451.75,187200,437,428.38,124000
2024-06-27,461.0,465.0,410.0,425.55,129600,307,422.15,92800
2024-06-28,425.3,455.95,425.3,439.9,82000,198,414.14,46400
2024-07-01,448.0,459.0,431.2,433.75,74000,174,425.29,44400
2024-07-02,438.3,452.85,435.05,440.2,65200,153,426.14,42400
2024-07-03,442.0,483.5,442.0,463.45,145200,342,424.56,76400
2024-07-04,479.7,479.7,445.0,452.9,80800,185,436.76,54000
2024-07-05,457.95,465.0,445.05,449.9,61600,145,424.83,40000
2024-07-08,443.65,443.65,422.0,429.0,66400,157,422.93,48000
2024-07-09,423.5,438.75,405.0,411.45,131600,286,460.14,79600
2024-07-10,411.45,415.0,382.25,406.6,103600,249,416.06,62000
2024-07-11,414.4,417.4,406.0,415.05,43200,106,407.55,26800
2024-07-12,418.0,422.8,405.7,414.15,41600,102,407.84,25200
2024-07-15,408.0,411.5,399.0,409.45,35600,89,400.0,21600
2024-07-16,405.0,409.75,389.0,394.7,32400,81,400.0,28800
2024-07-18,393.0,396.0,378.0,383.55,45200,111,407.21,42400
2024-07-19,383.0,383.0,364.4,366.7,70400,169,416.57,63600
2024-07-22,355.1,380.0,350.0,373.4,50800,122,416.39,46400
2024-07-23,378.45,379.0,355.0,369.25,43600,105,415.24,36800
2024-07-24,361.25,387.0,357.7,384.8,48000,109,440.37,46400
