Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2022-05-10,108.27,105.3,105.6,105.35,16096357.72,1512.0,99.98,99713.0
2022-05-11,,,,,,2580.0,86.74,148922.0
2022-05-12,104.3,101.64,102.25,102.65,36548541.84,3562.0,100.29,283151.0
2022-05-13,104.86,102.76,103.55,103.5,20968319.83,1648.0,122.19,132039.0
2022-05-16,105.45,87.29,104.59,105.45,16365516.98,2486.0,63.26,86903.0
2022-05-17,107.35,103.54,107.23,107.0,11800906.37,1346.0,82.53,72726.0
2022-05-18,109.65,106.01,106.47,106.74,5569371.56,1517.0,34.19,26622.0
2022-05-19,106.47,104.07,104.4,104.85,15757324.58,1952.0,77.24,100870.0
2022-05-20,106.99,107.0,105.44,106.4,61838.0,1082.0,57.15,40982.0
2022-05-23,117.7,117.7,104.65,105.37,92893.0,2034.0,45.67,55839.0
2022-05-24,106.94,106.94,104.51,105.37,50663.0,1057.0,47.93,37272.0
2022-05-25,106.82,106.82,102.33,102.9,94097.0,1546.0,60.86,59015.0
2022-05-26,101.8,112.2,101.25,104.06,194784.0,1689.0,115.33,118247.0
2022-05-27,110.49,110.49,104.07,105.38,65483.0,1226.0,53.41,46568.0
2022-05-30,114.44,114.44,105.51,107.86,188886.0,1449.0,130.36,102743.0
2022-05-31,109.47,109.47,107.07,107.97,262454.0,1257.0,208.79,179422.0
2022-06-01,102.0,108.98,101.5,108.34,78935.0,1638.0,48.19,40544.0
2022-06-02,109.45,109.45,106.55,108.77,38030.0,1720.0,22.11,23832.0
2022-06-03,106.0,109.99,106.0,107.35,49171.0,1361.0,36.13,34673.0
2022-06-06,97.7,117.0,97.7,107.12,78745.0,2232.0,35.28,44313.0
2022-06-07,107.99,107.99,105.38,105.93,72639.0,1660.0,43.76,43935.0
2022-06-08,115.28,115.28,104.0,105.87,74491.0,3014.0,24.71,36228.0
2022-06-09,106.99,106.99,104.81,106.27,93334.0,1421.0,65.68,57599.0
2022-06-10,115.83,115.83,104.53,105.67,105463.0,1472.0,71.65,66282.0
2022-06-13,105.65,105.65,102.0,102.87,487121.0,3184.0,152.99,446123.0
2022-06-14,103.99,103.99,101.84,102.51,146773.0,1674.0,87.68,105125.0
2022-06-15,105.49,105.49,102.02,102.89,66929.0,1369.0,48.89,40559.0
2022-06-16,104.3,104.75,100.08,100.63,242389.0,2947.0,82.25,204337.0
2022-06-17,101.2,101.3,98.53,99.42,298958.0,3034.0,98.54,213872.0
2022-06-20,101.98,101.98,96.76,97.57,339978.0,3746.0,90.76,234133.0
2022-06-21,99.99,100.66,97.5,100.43,155177.0,1377.0,112.69,103523.0
