Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2013-11-01,60.0,60.0,51.1,51.1,6000,SM,,,
2013-11-03,45.0,45.0,40.95,40.95,4000,SM,,,
2013-11-05,39.95,44.25,37.95,44.25,12000,SM,,,
2013-11-11,43.05,43.05,43.05,43.05,2000,SM,,,
2013-11-12,43.5,43.5,43.5,43.5,2000,SM,,,
2013-11-13,42.05,42.05,42.05,42.05,2000,SM,,,
2013-11-22,44.05,44.05,44.05,44.05,2000,SM,,,
2013-12-02,44.5,44.5,44.5,44.5,2000,SM,,,
2013-12-06,47.4,47.4,47.4,47.4,2000,SM,,,
2014-01-09,43.5,43.5,43.5,43.5,2000,SM,,,
2014-01-14,45.45,45.45,45.45,45.45,2000,SM,,,
2014-02-07,45.2,45.2,43.05,45.2,4000,SM,,,
2014-02-13,43.05,43.05,43.05,43.05,2000,SM,,,
2014-03-18,45.0,45.0,45.0,45.0,150000,SM,,,
2014-03-25,41.5,41.5,41.5,41.5,4000,SM,,,
2014-04-28,45.05,49.8,45.05,49.8,6000,SM,,,
2014-04-29,54.4,54.8,54.4,54.8,4000,SM,,,
2014-04-30,55.5,55.5,55.5,55.5,2000,SM,,,
2014-05-08,55.1,55.1,55.1,55.1,2000,SM,,,
2014-05-12,58.5,58.5,58.5,58.5,2000,SM,,,
2014-05-14,55.5,55.5,55.5,55.5,2000,SM,,,
2014-05-19,52.5,52.8,52.5,52.8,4000,SM,,,
2014-05-21,55.1,55.1,55.1,55.1,2000,SM,,,
2014-05-22,54.1,54.1,54.1,54.1,2000,SM,,,
2014-05-28,49.8,49.8,49.8,49.8,2000,SM,,,
2014-06-04,50.0,50.0,50.0,50.0,2000,SM,,,
2014-06-17,50.8,50.8,50.8,50.8,2000,SM,,,
2014-06-20,49.8,49.8,49.8,49.8,2000,SM,,,
2014-06-26,50.8,50.8,50.8,50.8,2000,SM,,,
2014-06-27,52.8,52.8,52.8,52.8,20000,SM,,,
2014-06-30,52.8,52.8,52.8,52.8,4000,SM,,,
2014-07-01,54.8,54.8,54.8,54.8,2000,SM,,,
2014-07-02,56.1,56.1,56.1,56.1,2000,SM,,,
2014-07-04,55.1,55.6,55.1,55.6,4000,SM,,,
2014-07-09,55.1,55.1,55.1,55.1,2000,SM,,,
2014-09-02,50.65,50.65,50.65,50.65,2000,SM,,,
2014-09-18,51.1,55.4,51.1,55.4,4000,SM,,,
2014-09-19,60.0,60.35,59.5,59.5,6000,SM,,,
2014-09-25,60.0,60.7,59.7,59.7,10000,SM,,,
2014-09-26,59.9,60.7,59.9,60.7,4000,SM,,,
2014-09-29,59.7,59.7,59.7,59.7,2000,SM,,,
2014-10-01,60.5,60.75,59.9,59.9,6000,SM,,,
2014-10-07,60.8,60.8,60.8,60.8,2000,SM,,,
2014-10-10,60.05,60.05,60.05,60.05,2000,SM,,,
2014-10-22,61.05,61.05,60.1,60.2,14000,SM,,,
2014-10-29,60.1,60.1,60.1,60.1,2000,SM,,,
2014-11-03,60.0,61.1,60.0,61.1,4000,SM,,,
2014-11-18,60.1,60.1,60.1,60.1,2000,SM,,,
2014-12-03,60.1,60.1,60.1,60.1,2000,SM,,,
2014-12-04,60.05,60.05,60.05,60.05,6000,SM,,,
2014-12-05,61.1,61.1,60.0,60.0,6000,SM,,,
2014-12-10,61.0,61.0,61.0,61.0,2000,SM,,,
2014-12-11,60.0,60.0,60.0,60.0,2000,SM,,,
2014-12-12,60.0,60.0,59.6,59.8,6000,SM,,,
2014-12-16,60.0,60.6,60.0,60.35,8000,SM,,,
2014-12-17,59.6,59.6,59.6,59.6,2000,SM,,,
2015-01-06,56.0,56.0,56.0,56.0,2000,SM,,,
2015-01-23,55.2,56.0,55.2,56.0,4000,SM,,,
2015-01-29,55.2,55.2,50.15,50.15,4000,SM,,,
2015-01-30,50.15,50.65,50.15,50.3,12000,SM,,,
