Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2025-07-03,71.0,74.55,71.0,74.55,1798000,630,2853.97,1798000
2025-07-04,78.25,78.25,70.85,78.15,1166000,431,2705.34,1090000
2025-07-07,74.5,76.0,74.25,74.25,176000,63,2793.65,170000
2025-07-08,70.55,73.45,70.55,70.65,1100000,171,6432.75,1028000
2025-07-09,69.1,71.3,67.8,69.65,44000,22,2000.0,44000
2025-07-10,70.0,70.4,67.75,70.4,38000,19,2000.0,38000
2025-07-11,70.0,73.9,69.95,73.85,266000,102,2607.84,252000
2025-07-14,73.0,77.5,70.15,76.0,208000,88,2363.64,184000
2025-07-15,72.35,75.0,72.2,72.85,46000,23,2000.0,38000
2025-07-16,72.5,75.0,70.5,72.25,46000,23,2000.0,44000
2025-07-17,70.25,71.95,70.25,70.75,28000,12,2333.33,18000
2025-07-18,71.5,73.8,68.05,70.4,202000,52,3884.62,156000
