Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2025-05-14,65.07,65.17,63.54,64.85,92792,48,1933.17,52272
2025-05-15,64.54,65.45,64.54,65.35,734,25,29.36,350
2025-05-16,65.67,66.41,65.53,66.39,70983,50,1419.66,49460
2025-05-19,67.72,67.72,66.7,66.79,3227,29,111.28,3177
2025-05-20,67.12,67.12,65.15,65.51,2497,76,32.86,2225
2025-05-21,65.95,66.39,65.73,66.33,6041,25,241.64,6037
2025-05-22,66.16,66.35,65.94,66.33,593,24,24.71,578
2025-05-23,66.12,66.56,66.12,66.5,1649,20,82.45,1621
2025-05-26,66.83,67.0,66.73,66.77,501,11,45.55,400
2025-05-27,66.61,66.61,66.27,66.56,945,16,59.06,830
2025-05-28,66.85,66.94,66.14,66.35,325,20,16.25,213
2025-05-29,66.33,66.51,66.17,66.48,1853,18,102.94,1151
2025-05-30,66.32,66.37,66.0,66.17,1421,12,118.42,1421
2025-06-02,66.26,66.35,66.1,66.35,1160,15,77.33,1158
2025-06-03,66.56,66.66,66.0,66.03,1177,26,45.27,1082
2025-06-04,65.9,66.22,65.9,66.22,906,9,100.67,906
2025-06-05,66.4,66.65,66.4,66.51,2397,15,159.8,1650
2025-06-06,66.51,67.27,66.51,67.21,1093,12,91.08,591
2025-06-09,67.54,68.39,66.88,68.05,13385,29,461.55,7069
