Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2024-03-21,85.79,86.28,85.3,86.22,8473,24,353.04,7473
2024-03-22,86.8,88.05,86.8,87.78,13397,153,87.56,10520
2024-03-26,89.48,90.15,87.3,89.32,48740,772,63.13,44393
2024-03-27,90.87,92.2,89.75,90.06,49742,777,64.02,44117
2024-03-28,91.86,91.86,89.0,90.87,47037,612,76.86,32600
2024-04-01,91.49,94.99,91.23,94.21,93267,883,105.63,66119
2024-04-02,94.25,96.0,94.11,95.31,93156,1099,84.76,86079
2024-04-03,97.0,97.0,92.76,92.87,283145,3902,72.56,259907
2024-04-04,93.97,93.97,92.2,92.72,93681,1167,80.28,77996
2024-04-05,93.71,94.34,92.99,94.09,82733,574,144.13,63957
2024-04-08,94.8,96.2,94.58,95.22,95496,910,104.94,62051
2024-04-09,96.19,97.0,95.4,96.09,86226,901,95.7,74148
2024-04-10,96.26,96.85,96.15,96.48,64628,549,117.72,45945
2024-04-12,96.99,97.01,95.61,96.11,90571,946,95.74,73988
2024-04-15,95.99,95.99,92.0,94.37,76400,1100,69.45,54630
2024-04-16,94.9,94.9,93.33,94.04,43022,774,55.58,32803
2024-04-18,94.99,95.3,93.12,93.59,43089,438,98.38,26263
2024-04-19,93.23,93.23,91.01,92.92,48413,927,52.23,41955
2024-04-22,93.49,94.14,93.4,93.54,15958,313,50.98,12796
2024-04-23,95.0,96.13,94.69,95.81,83823,658,127.39,67381
2024-04-24,95.8,97.0,95.8,96.74,91481,536,170.67,68796
2024-04-25,96.85,96.85,95.11,96.55,57277,923,62.06,49334
2024-04-26,96.99,97.1,95.44,96.91,109682,541,202.74,62924
2024-04-29,97.49,97.49,95.2,96.13,117919,1330,88.66,97522
2024-04-30,96.2,98.4,96.2,97.39,148176,975,151.98,103795
2024-05-02,102.26,102.26,95.97,97.38,145597,1582,92.03,113643
2024-05-03,97.39,98.08,96.0,96.5,102280,913,112.03,83896
2024-05-06,96.83,98.8,96.03,98.64,117605,823,142.9,105059
2024-05-07,98.98,99.2,94.85,95.69,172949,1968,87.88,123589
2024-05-08,96.0,96.49,94.24,96.1,37690,610,61.79,22583
2024-05-09,96.77,96.77,93.75,94.14,71464,850,84.08,50699
2024-05-10,95.97,95.97,92.5,93.78,82767,1000,82.77,74169
2024-05-13,95.49,95.49,91.7,94.44,85153,815,104.48,68499
2024-05-14,94.44,96.2,94.43,95.72,61955,534,116.02,42040
2024-05-15,96.11,97.55,95.5,96.63,79199,455,174.06,50307
2024-05-16,97.49,98.3,95.63,97.93,89257,539,165.6,75296
2024-05-17,97.99,99.7,97.99,99.55,112528,931,120.87,98331
2024-05-18,99.56,101.5,99.56,100.43,54706,467,117.14,44193
2024-05-21,100.42,100.99,99.5,100.5,104553,1288,81.17,77424
2024-05-22,101.29,102.49,100.9,101.89,173232,1518,114.12,118821
2024-05-23,102.49,103.11,101.59,102.89,129823,1165,111.44,81801
2024-05-24,103.04,103.5,102.31,102.64,111936,1218,91.9,97383
2024-05-27,103.44,103.85,101.53,103.23,81559,792,102.98,55037
2024-05-28,103.84,103.85,100.93,101.35,302295,2694,112.21,214450
2024-05-29,101.5,102.04,100.0,100.3,107220,1516,70.73,100895
2024-05-30,99.96,100.98,99.46,99.82,112249,1247,90.02,68016
2024-05-31,100.94,102.5,100.39,102.05,81645,723,112.93,53773
2024-06-03,103.99,110.8,103.21,107.91,309564,2287,135.36,263755
2024-06-04,108.0,108.0,95.97,100.51,343879,4001,85.95,280745
2024-06-05,103.97,103.97,95.23,99.68,200167,2730,73.32,146943
2024-06-06,101.99,105.65,99.05,104.24,208395,1300,160.3,183856
2024-06-07,104.68,107.5,104.0,106.72,194182,1539,126.17,151797
2024-06-10,107.17,108.82,105.07,108.22,207413,1402,147.94,151641
2024-06-11,108.46,110.43,108.45,109.79,616265,1400,440.19,608184
