Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2022-08-26,40.8,48.63,40.8,48.63,2664.0,82,32.49,2415
2022-08-29,48.63,58.35,40.6,58.35,7655.0,169,45.3,4234
2022-08-30,50.79,50.79,50.79,50.79,389.0,21,18.52,376
2022-09-01,50.26,50.26,50.26,50.26,1.0,1,1.0,1
2022-09-02,50.26,51.22,42.65,47.48,1262.0,51,24.75,912
2022-09-05,48.1,50.9,43.07,47.96,1724.0,44,39.18,1019
2022-09-06,49.39,50.3,45.1,47.44,293.0,45,6.51,274
2022-09-07,48.86,48.86,45.1,46.0,131.0,17,7.71,122
2022-09-08,50.5,51.28,48.99,51.0,637.0,28,22.75,471
2022-09-09,51.42,51.42,49.25,49.25,163.0,10,16.3,163
2022-09-12,49.0,49.0,46.2,49.0,2006.0,6,334.33,2005
2022-09-13,51.6,51.6,48.75,50.56,1167.0,23,50.74,1039
2022-09-14,51.6,52.0,49.0,51.86,1731.0,38,45.55,1569
2022-09-15,52.0,52.0,50.0,52.0,286.0,7,40.86,286
2022-09-16,52.0,52.52,50.01,52.01,400.0,7,57.14,397
2022-09-19,52.47,52.47,50.6,51.33,225.0,22,10.23,223
2022-09-20,50.51,51.39,50.51,51.36,115.0,13,8.85,105
2022-09-21,50.5,51.12,50.5,51.12,346.0,11,31.45,346
2022-09-22,51.57,51.57,42.1,42.8,11224.0,305,36.8,9322
2022-09-23,51.0,51.0,42.0,42.21,15129.0,127,119.13,7866
2022-09-26,46.5,46.5,39.03,39.98,17172.0,111,154.7,2103
2022-09-27,41.0,42.32,40.2,40.93,3841.0,38,101.08,79
2022-09-28,47.75,47.95,39.0,39.78,76191.0,1018,74.84,28018
2022-09-29,41.8,43.0,38.7,39.46,15760.0,98,160.82,6520
2022-09-30,42.8,42.8,39.79,40.68,10798.0,44,245.41,5891
2022-10-03,40.96,40.96,40.51,40.51,1826.0,12,152.17,445
2022-10-04,40.51,41.75,39.75,41.73,2766.0,55,50.29,1539
2022-10-06,46.0,46.0,40.1,42.3,5906.0,74,79.81,3017
2022-10-07,42.41,42.41,41.1,41.65,3127.0,42,74.45,1424
2022-10-10,44.85,44.85,39.63,41.95,4189.0,83,50.47,3221
2022-10-11,45.85,45.85,40.1,41.7,1235.0,41,30.12,367
2022-10-12,41.5,41.65,40.4,40.94,3473.0,60,57.88,2176
2022-10-13,41.4,41.4,41.4,41.4,207.0,4,51.75,207
2022-10-14,41.7,41.7,41.63,41.63,1560.0,5,312.0,1560
2022-10-17,41.3,41.8,41.3,41.65,70.0,8,8.75,43
