Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2017-09-29,70.0,79.2,68.0,79.2,1618000,,,
2017-10-03,84.0,95.0,81.25,94.0,920000,,,
2017-10-04,97.0,99.0,84.0,86.1,254000,,,
2017-10-05,82.2,98.6,82.2,97.9,136000,,,
2017-10-06,98.85,98.9,95.1,96.65,138000,,,
2017-10-09,97.45,98.9,92.15,94.75,212000,,,
2017-10-10,95.0,98.1,95.0,95.25,96000,,,
2017-10-11,92.5,95.5,91.1,95.5,56000,,,
2017-10-12,95.8,95.8,93.0,93.5,130000,,,
2017-10-13,92.0,94.6,87.0,90.45,100000,,,
2017-10-16,90.0,91.6,84.9,87.75,38000,,,
2017-10-17,91.8,91.8,88.0,88.55,12000,,,
2017-10-18,97.0,97.0,83.0,90.3,48000,,,
2017-10-19,92.5,92.5,88.0,88.3,28000,,,
2017-10-23,91.25,93.6,89.5,90.5,26000,,,
2017-10-24,91.8,92.0,85.5,90.55,46000,,,
2017-10-25,91.8,91.9,88.0,89.75,372000,,,
2017-10-26,91.8,93.0,90.9,92.4,154000,,,
2017-10-27,93.9,93.95,89.4,90.35,46000,,,
2017-10-30,92.25,92.25,87.6,89.6,36000,,,
2017-10-31,91.25,105.25,88.3,101.3,168000,,,
2017-11-01,100.0,106.0,99.0,100.3,126000,,,
2017-11-02,103.75,111.85,103.75,110.65,52000,,,
2017-11-03,114.3,125.1,111.6,115.45,114000,,,
2017-11-06,114.0,120.0,112.1,113.25,26000,,,
2017-11-07,110.05,114.9,110.05,112.85,30000,,,
2017-11-08,112.5,112.5,109.1,109.65,14000,,,
2017-11-09,110.25,113.0,110.25,110.5,22000,,,
2017-11-10,105.0,117.0,105.0,117.0,32000,,,
2017-11-13,115.0,130.0,114.95,128.8,108000,,,
2017-11-14,125.0,133.9,125.0,127.5,36000,,,
2017-11-15,145.1,145.1,124.95,126.35,68000,,,
2017-11-16,125.0,127.25,119.05,126.75,40000,,,
2017-11-17,128.0,128.0,126.0,127.0,10000,,,
2017-11-20,127.0,128.0,125.5,125.5,8000,,,
2017-11-21,126.5,128.0,126.5,127.95,10000,,,
2017-11-22,127.0,130.75,127.0,128.4,14000,,,
2017-11-23,119.2,126.0,119.2,125.0,18000,,,
2017-11-27,125.0,126.0,123.9,124.95,10000,,,
2017-11-28,126.0,128.7,124.1,126.0,8000,,,
2017-11-30,108.0,126.0,108.0,126.0,6000,,,
2017-12-01,118.05,123.0,118.0,123.0,16000,,,
2017-12-04,122.5,122.5,122.5,122.5,2000,,,
2017-12-05,112.6,120.0,112.6,119.0,20000,,,
2017-12-06,125.0,125.0,122.25,122.25,4000,,,
2017-12-07,119.1,123.9,118.05,121.5,12000,,,
2017-12-08,121.5,124.9,120.1,124.3,10000,,,
2017-12-11,120.45,124.5,120.0,124.35,8000,,,
2017-12-12,117.5,121.5,116.3,119.75,8000,,,
2017-12-13,123.5,123.5,115.5,121.05,28000,,,
2017-12-14,115.1,116.7,107.8,112.05,28000,,,
2017-12-15,118.0,118.0,114.0,114.0,16000,,,
2017-12-19,110.0,114.75,96.5,114.75,18000,,,
2017-12-20,114.75,115.0,110.0,110.0,16000,,,
2017-12-21,111.0,114.0,110.5,110.5,38000,,,
2017-12-22,112.0,112.0,112.0,112.0,2000,,,
2017-12-26,113.5,130.9,113.5,130.6,124000,,,
2017-12-27,134.0,137.5,127.1,132.3,66000,,,
2017-12-28,126.0,130.0,126.0,128.95,14000,,,
2017-12-29,128.8,128.8,121.0,127.45,48000,,,
2018-01-01,130.5,130.5,129.0,129.0,6000,,,
2018-01-02,128.0,128.0,120.0,126.8,34000,,,
2018-01-03,125.0,130.05,124.5,130.05,28000,,,
2018-01-04,131.1,133.85,126.0,131.35,44000,,,
2018-01-05,131.0,157.6,131.0,156.45,182000,,,
2018-01-08,167.0,174.0,158.1,169.6,148000,,,
2018-01-09,170.95,172.8,162.0,162.5,86000,,,
2018-01-10,174.0,174.75,164.5,168.7,80000,,,
2018-01-11,166.5,166.5,160.0,160.9,38000,,,
2018-01-12,161.0,163.8,152.0,156.0,28000,,,
2018-01-15,159.15,164.7,155.75,157.75,16000,,,
2018-01-16,159.35,159.35,144.5,148.6,172000,,,
2018-01-17,148.25,148.75,141.0,143.35,130000,,,
2018-01-18,155.0,155.0,144.1,144.1,6000,,,
2018-01-19,147.5,147.5,147.5,147.5,2000,,,
2018-01-22,168.0,168.0,150.0,153.55,42000,,,
2018-01-23,151.0,155.5,150.0,151.35,28000,,,
2018-01-24,151.4,151.4,149.0,149.0,18000,,,
2018-01-25,152.75,153.0,144.0,144.0,32000,,,
2018-01-29,142.0,142.0,130.0,130.2,28000,,,
2018-01-30,127.5,131.0,125.0,127.6,8000,,,
2018-01-31,132.0,145.0,125.0,129.65,40000,,,
2018-02-01,130.0,134.0,129.0,134.0,12000,,,
2018-02-02,129.0,129.0,116.5,116.75,16000,,,
2018-02-05,115.0,115.0,100.0,107.8,56000,,,
2018-02-06,101.0,108.45,101.0,104.85,18000,,,
2018-02-07,98.25,120.6,98.25,120.6,58000,,,
2018-02-08,122.5,126.0,118.1,123.6,22000,,,
2018-02-09,120.0,124.45,116.0,124.0,36000,,,
2018-02-12,118.35,126.5,117.1,121.8,16000,,,
2018-02-14,126.9,126.9,126.9,126.9,2000,,,
2018-02-15,117.35,125.9,116.5,124.0,10000,,,
2018-02-16,126.0,138.0,126.0,128.7,110000,,,
2018-02-19,131.0,135.0,131.0,132.15,14000,,,
2018-02-20,135.0,147.8,130.1,134.8,36000,,,
2018-02-21,137.7,140.0,134.9,140.0,44000,,,
2018-02-22,135.0,145.5,135.0,140.6,270000,,,
2018-02-23,144.9,145.9,140.0,144.4,28000,,,
2018-02-26,149.4,157.5,138.0,144.45,92000,,,
2018-02-27,138.0,152.55,138.0,150.55,38000,,,
2018-02-28,147.0,149.4,147.0,148.0,32000,,,
2018-03-01,141.75,152.1,141.75,152.0,26000,,,
2018-03-05,149.4,149.4,144.0,148.4,14000,,,
2018-03-06,140.0,149.95,140.0,148.5,16000,,,
2018-03-07,140.0,147.7,135.0,138.5,138000,,,
2018-03-08,138.0,139.0,135.0,136.35,12000,,,
2018-03-09,137.9,138.0,137.9,137.95,6000,,,
2018-03-12,139.6,139.6,139.6,139.6,2000,,,
2018-03-13,141.8,141.8,141.8,141.8,2000,,,
2018-03-14,125.0,140.85,125.0,129.35,80000,,,
2018-03-15,128.95,131.95,126.0,128.75,52000,,,
2018-03-16,128.0,128.0,128.0,128.0,2000,,,
2018-03-19,126.1,131.95,126.0,128.0,54000,,,
2018-03-20,124.7,134.9,124.7,127.75,174000,,,
2018-03-21,130.0,130.0,130.0,130.0,2000,,,
2018-03-22,115.0,136.3,115.0,133.95,72000,,,
2018-03-23,130.0,130.0,120.1,122.65,64000,,,
2018-03-26,125.0,125.0,110.0,117.45,54000,,,
2018-03-27,117.9,122.0,111.0,122.0,56000,,,
2018-03-28,122.0,127.3,118.5,126.3,14000,,,
2018-04-02,125.0,128.7,125.0,128.7,4000,,,
2018-04-03,131.7,131.7,131.7,131.7,2000,,,
2018-04-04,126.0,126.0,126.0,126.0,2000,,,
2018-04-05,133.0,133.0,133.0,133.0,2000,,,
2018-04-06,125.55,131.5,124.0,127.75,12000,,,
2018-04-09,124.3,124.3,122.0,122.7,8000,,,
