Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2024-03-07,40.0,42.25,38.25,42.25,29279199,,,
2024-03-11,43.0,43.95,40.15,40.15,10923633,,,
2024-03-12,38.2,39.8,38.15,38.15,2355291,,,
2024-03-13,36.25,36.25,36.25,36.25,669700,,,
2024-03-14,34.45,37.4,34.45,36.4,5795819,,,
2024-03-15,36.0,37.2,34.6,35.75,4206865,,,
2024-03-18,35.9,36.0,34.0,35.1,1684419,,,
2024-03-19,34.75,34.75,33.35,33.35,1708027,,,
2024-03-20,33.3,35.0,33.0,35.0,2418961,,,
2024-03-21,36.0,36.75,35.55,36.75,1301913,,,
2024-03-22,38.45,42.15,37.55,40.85,14411836,,,
2024-03-26,41.0,42.8,39.35,40.75,5954300,,,
2024-03-27,41.0,41.2,39.4,39.65,2543470,,,
2024-03-28,39.65,39.95,36.1,36.5,6674828,,,
2024-04-01,35.6,39.15,35.6,38.55,5105899,,,
2024-04-02,39.2,39.5,38.2,38.7,3399760,,,
2024-04-03,38.7,39.45,38.25,38.6,2184422,,,
2024-04-04,39.0,39.5,38.25,38.45,2290597,,,
2024-04-05,38.6,38.6,37.3,37.95,1970963,,,
2024-04-08,38.15,38.25,37.1,37.5,1602510,,,
2024-04-09,37.55,37.7,36.7,37.05,1293449,,,
2024-04-10,37.3,38.75,37.3,38.0,2152051,,,
2024-04-12,38.0,38.0,37.4,37.55,1078166,,,
2024-04-15,35.85,36.7,35.0,35.95,2553500,,,
2024-04-16,35.9,37.35,35.55,36.65,1458694,,,
2024-04-18,37.4,37.55,36.0,36.2,1184957,,,
2024-04-19,35.0,36.4,34.95,36.1,1132943,,,
2024-04-22,36.8,36.9,36.2,36.25,852848,,,
2024-04-23,36.6,36.75,36.15,36.3,765127,,,
2024-04-24,36.5,38.2,36.4,37.55,2300189,,,
2024-04-25,37.75,37.85,37.0,37.15,869427,,,
2024-04-26,37.4,37.4,36.65,36.85,985225,,,
2024-04-29,36.65,37.3,36.5,36.55,1073789,,,
2024-04-30,37.5,37.5,36.55,36.6,907167,,,
2024-05-02,36.85,37.0,36.05,36.4,1109184,,,
