Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2024-04-02,125.0,125.9,118.75,118.75,748800,371,2018.33,748800
2024-04-03,112.85,112.85,112.85,112.85,12800,8,1600.0,12800
2024-04-04,108.65,118.45,107.2,117.65,940800,482,1951.87,832000
2024-04-05,111.8,119.0,111.8,115.15,396800,147,2699.32,339200
2024-04-08,114.6,114.6,109.4,109.4,43200,27,1600.0,43200
2024-04-09,104.0,114.0,103.95,113.45,366400,129,2840.31,289600
2024-04-10,112.5,112.5,107.8,107.95,134400,78,1723.08,110400
2024-04-12,106.0,113.3,104.2,113.3,256000,125,2048.0,232000
2024-04-15,116.4,118.95,110.1,118.95,316800,144,2200.0,292800
2024-04-16,124.85,124.85,124.45,124.85,147200,66,2230.3,147200
2024-04-18,133.0,146.0,123.0,133.05,683200,417,1638.37,337600
2024-04-19,132.0,143.25,128.0,136.55,323200,192,1683.33,102400
2024-04-22,138.0,144.75,133.0,135.85,291200,168,1733.33,156800
2024-04-23,136.0,136.0,122.0,128.4,172800,108,1600.0,94400
2024-04-24,131.95,131.95,115.0,120.15,209600,125,1676.8,132800
2024-04-25,122.5,127.9,120.0,126.4,92800,58,1600.0,60800
2024-04-26,123.1,124.5,115.0,122.4,136000,81,1679.01,78400
2024-04-29,120.0,122.4,116.0,119.5,243200,102,2384.31,156800
2024-04-30,117.55,119.8,114.0,118.3,404800,195,2075.9,246400
2024-05-02,122.0,122.0,118.3,119.9,97600,59,1654.24,78400
2024-05-03,120.0,123.0,119.6,119.7,116800,70,1668.57,84800
2024-05-06,119.7,119.7,115.5,117.0,78400,44,1781.82,65600
2024-05-07,120.95,120.95,115.0,116.95,67200,41,1639.02,49600
2024-05-08,116.0,118.85,115.0,115.55,54400,34,1600.0,43200
2024-05-09,117.0,117.0,110.0,110.95,43200,27,1600.0,33600
2024-05-10,113.5,118.5,111.15,113.15,67200,39,1723.08,40000
2024-05-13,111.05,113.9,108.0,112.25,72000,44,1636.36,46400
2024-05-14,112.0,119.9,110.1,117.6,72000,41,1756.1,64000
2024-05-15,120.0,122.0,117.6,119.65,60800,35,1737.14,49600
2024-05-16,122.0,122.9,118.1,120.55,44800,27,1659.26,24000
2024-05-17,123.0,127.0,119.0,125.85,185600,107,1734.58,132800
2024-05-18,127.0,128.0,126.5,126.95,19200,12,1600.0,19200
2024-05-21,127.0,127.0,120.05,120.95,44800,28,1600.0,36800
2024-05-22,120.7,123.7,116.0,116.35,60800,38,1600.0,48000
2024-05-23,119.0,121.0,113.05,114.55,73600,46,1600.0,54400
2024-05-24,113.75,118.45,113.75,115.25,40000,25,1600.0,30400
2024-05-27,116.95,116.95,111.25,111.45,108800,67,1623.88,84800
2024-05-28,114.0,115.9,91.0,99.7,230400,139,1657.55,171200
2024-05-29,97.75,97.75,90.0,96.0,94400,58,1627.59,65600
2024-05-30,94.0,96.0,88.0,89.6,86400,54,1600.0,68800
2024-05-31,90.95,91.0,88.0,91.0,36800,23,1600.0,30400
2024-06-03,92.7,95.0,91.2,93.3,25600,16,1600.0,19200
2024-06-04,91.0,91.0,80.0,82.2,51200,31,1651.61,41600
2024-06-05,85.0,91.0,85.0,88.95,6400,4,1600.0,6400
2024-06-06,89.95,91.8,88.8,91.8,20800,13,1600.0,20800
2024-06-07,92.0,94.0,92.0,92.8,19200,12,1600.0,16000
2024-06-10,92.8,94.1,85.0,87.85,30400,19,1600.0,17600
2024-06-11,89.75,92.8,89.75,90.55,20800,12,1733.33,17600
2024-06-12,90.55,93.6,90.55,93.4,12800,8,1600.0,11200
2024-06-13,93.4,94.75,91.0,91.25,20800,13,1600.0,17600
2024-06-14,88.25,90.1,88.25,89.4,12800,8,1600.0,12800
2024-06-18,92.25,92.9,90.0,91.5,30400,16,1900.0,28800
2024-06-19,93.35,94.05,91.5,92.05,20800,12,1733.33,19200
2024-06-20,92.5,94.5,92.5,94.3,22400,14,1600.0,16000
2024-06-21,97.0,97.0,94.55,95.0,24000,15,1600.0,20800
2024-06-24,95.0,105.0,95.0,104.65,76800,47,1634.04,64000
2024-06-25,109.0,111.9,105.1,108.3,100800,62,1625.81,60800
2024-06-26,108.3,109.4,106.0,106.9,91200,36,2533.33,83200
2024-06-27,112.3,112.3,97.0,101.2,390400,131,2980.15,235200
2024-06-28,101.2,101.2,97.25,98.75,60800,34,1788.24,52800
2024-07-01,97.05,97.5,93.85,93.9,59200,34,1741.18,48000
2024-07-02,94.9,99.95,94.5,98.7,25600,16,1600.0,19200
2024-07-03,101.9,117.6,99.15,114.8,310400,174,1783.91,248000
2024-07-04,114.95,124.9,114.1,115.3,192000,111,1729.73,145600
2024-07-05,115.0,130.0,112.0,123.6,395200,129,3063.57,148800
2024-07-08,133.0,146.0,128.2,137.5,420800,245,1717.55,260800
2024-07-09,140.0,144.0,130.1,132.85,94400,58,1627.59,67200
2024-07-10,135.95,136.25,120.0,129.3,188800,84,2247.62,128000
2024-07-11,130.0,130.0,126.15,128.15,30400,19,1600.0,19200
2024-07-12,132.0,136.0,127.0,128.0,43200,26,1661.54,36800
2024-07-15,128.1,132.0,127.15,128.35,25600,16,1600.0,19200
2024-07-16,127.0,128.5,120.55,121.3,51200,31,1651.61,36800
2024-07-18,120.5,130.85,113.05,127.9,129600,78,1661.54,72000
2024-07-19,126.0,126.0,119.0,120.0,40000,24,1666.67,28800
2024-07-22,120.0,124.0,119.05,119.2,35200,22,1600.0,22400
2024-07-23,119.2,122.25,114.0,117.35,35200,22,1600.0,24000
2024-07-24,121.5,127.95,121.0,125.4,62400,39,1600.0,49600
2024-07-25,125.4,129.45,122.4,122.7,36800,23,1600.0,28800
2024-07-26,123.4,128.3,123.1,126.5,24000,15,1600.0,20800
2024-07-29,130.0,131.5,123.0,130.2,147200,65,2264.62,123200
2024-07-30,126.0,143.2,121.0,143.2,315200,145,2173.79,246400
2024-07-31,149.0,149.3,136.5,138.5,121600,73,1665.75,91200
2024-08-01,138.5,145.0,138.0,143.1,116800,69,1692.75,105600
2024-08-02,145.0,145.0,137.05,140.2,64000,34,1882.35,51200
2024-08-05,134.0,136.9,131.0,132.0,83200,51,1631.37,67200
2024-08-06,135.0,138.0,130.5,132.85,48000,28,1714.29,30400
2024-08-07,136.0,143.0,135.0,141.2,89600,54,1659.26,72000
2024-08-08,144.0,144.0,136.2,137.65,52800,31,1703.23,32000
2024-08-09,141.4,143.0,137.0,137.0,28800,18,1600.0,24000
2024-08-12,141.2,149.25,141.0,144.9,94400,52,1815.38,80000
2024-08-13,149.95,173.85,149.95,173.85,480000,260,1846.15,358400
2024-08-14,192.0,208.6,184.0,208.05,324800,193,1682.9,206400
2024-08-16,209.9,225.0,194.0,212.9,315200,162,1945.68,172800
2024-08-19,218.0,234.15,218.0,234.15,203200,119,1707.56,152000
2024-08-20,245.0,245.0,210.75,210.75,617600,302,2045.03,348800
2024-08-21,195.05,226.0,194.2,212.45,548800,279,1967.03,286400
2024-08-22,215.0,233.65,212.6,233.65,192000,106,1811.32,102400
2024-08-23,238.0,257.0,218.0,232.1,449600,239,1881.17,254400
2024-08-26,232.5,243.0,230.0,231.0,67200,42,1600.0,44800
2024-08-27,229.0,230.5,214.0,216.85,81600,48,1700.0,60800
2024-08-28,216.85,224.0,206.05,210.55,65600,41,1600.0,46400
2024-08-29,210.0,210.0,198.0,199.35,81600,50,1632.0,60800
2024-08-30,203.35,208.75,200.0,205.5,52800,33,1600.0,33600
2024-09-02,203.45,215.0,202.3,212.9,36800,23,1600.0,28800
2024-09-03,204.05,216.0,204.05,205.95,22400,14,1600.0,14400
2024-09-04,205.65,206.0,200.0,200.0,59200,37,1600.0,44800
2024-09-05,205.95,205.95,194.25,198.8,44800,28,1600.0,32000
2024-09-06,194.0,195.5,184.2,193.55,78400,49,1600.0,54400
2024-09-09,193.0,198.0,193.0,198.0,9600,6,1600.0,8000
2024-09-10,197.15,202.0,195.5,197.0,17600,11,1600.0,14400
2024-09-11,199.95,200.05,193.0,194.6,25600,14,1828.57,22400
2024-09-12,195.0,195.0,190.05,190.5,89600,45,1991.11,84800
2024-09-13,190.05,209.5,184.0,202.1,72000,45,1600.0,48000
2024-09-16,202.5,202.5,196.25,198.0,22400,9,2488.89,17600
2024-09-17,204.0,204.0,200.0,203.8,22400,14,1600.0,19200
2024-09-18,203.0,203.0,199.0,199.0,11200,7,1600.0,11200
2024-09-19,199.0,199.0,191.0,191.0,22400,13,1723.08,20800
2024-09-20,192.0,192.0,186.05,190.0,27200,17,1600.0,22400
2024-09-23,189.75,200.0,189.75,197.0,20800,12,1733.33,16000
2024-09-24,196.0,196.8,191.7,191.8,14400,9,1600.0,12800
2024-09-25,190.0,191.7,184.65,191.35,51200,30,1706.67,41600
2024-09-26,188.0,190.85,186.5,190.0,16000,10,1600.0,11200
2024-09-27,189.9,189.9,179.15,182.15,62400,39,1600.0,52800
2024-09-30,182.0,182.1,178.0,178.05,25600,13,1969.23,20800
2024-10-01,180.0,181.0,174.05,174.9,28800,18,1600.0,22400
2024-10-03,177.9,186.9,177.9,182.2,25600,15,1706.67,24000
2024-10-04,182.3,182.45,180.05,181.5,12800,8,1600.0,9600
2024-10-07,180.0,194.9,180.0,186.35,76800,46,1669.57,38400
2024-10-08,191.15,191.2,183.4,189.75,9600,6,1600.0,8000
2024-10-09,190.0,190.0,182.0,183.5,8000,5,1600.0,8000
2024-10-10,192.0,192.65,192.0,192.65,28800,18,1600.0,28800
2024-10-11,202.25,202.25,201.5,201.9,44800,28,1600.0,43200
2024-10-14,205.0,205.0,196.0,199.0,25600,15,1706.67,24000
2024-10-15,197.0,205.0,196.55,200.0,32000,19,1684.21,30400
2024-10-16,204.9,205.4,202.25,202.25,14400,9,1600.0,14400
2024-10-17,200.0,200.0,196.0,196.05,16000,10,1600.0,16000
2024-10-18,196.1,204.85,196.0,203.4,14400,9,1600.0,14400
2024-10-21,198.0,204.8,198.0,200.0,11200,7,1600.0,9600
2024-10-22,200.0,200.0,190.0,190.0,20800,12,1733.33,19200
2024-10-23,186.0,189.2,180.5,189.1,44800,21,2133.33,43200
2024-10-24,183.5,183.5,183.0,183.0,3200,2,1600.0,3200
2024-10-25,184.0,188.5,176.0,179.75,17600,11,1600.0,17600
2024-10-28,174.0,184.0,174.0,184.0,9600,6,1600.0,6400
2024-10-30,180.0,181.5,180.0,181.5,4800,3,1600.0,4800
2024-10-31,176.6,185.5,176.6,185.5,1600,2,800.0,800
2024-11-01,185.5,186.9,185.5,186.2,4000,5,800.0,4000
2024-11-04,179.0,185.75,176.9,185.75,10400,12,866.67,8000
2024-11-05,185.75,185.75,181.0,181.0,4000,5,800.0,4000
2024-11-06,186.75,190.05,186.75,190.05,16800,18,933.33,14400
2024-11-08,191.0,199.55,191.0,199.25,39200,44,890.91,37600
2024-11-11,190.55,190.55,189.3,189.3,4800,4,1200.0,4800
2024-11-12,179.85,179.85,179.85,179.85,6400,8,800.0,6400
2024-11-13,171.0,171.0,170.85,170.85,5600,7,800.0,5600
2024-11-14,163.0,163.0,162.3,162.3,16000,9,1777.78,16000
2024-11-18,154.2,170.4,154.2,167.0,58400,40,1460.0,52000
2024-11-19,158.65,162.0,158.65,158.65,52000,38,1368.42,51200
2024-11-21,158.0,158.0,150.75,150.75,24800,23,1078.26,23200
2024-11-22,149.05,158.0,145.25,157.4,31200,37,843.24,27200
2024-11-25,159.9,164.9,155.05,155.05,22400,25,896.0,20800
2024-11-26,155.2,162.8,155.2,162.8,10400,9,1155.56,10400
2024-11-27,162.8,162.8,162.8,162.8,800,1,800.0,800
2024-11-28,165.0,167.0,165.0,166.0,1600,2,800.0,1600
2024-11-29,164.0,164.0,158.0,158.0,6400,8,800.0,6400
2024-12-02,157.0,157.0,151.0,155.0,15200,17,894.12,14400
2024-12-03,152.1,155.9,150.0,155.9,18400,20,920.0,17600
2024-12-04,150.25,155.8,150.25,155.8,3200,4,800.0,3200
2024-12-05,150.3,151.05,150.0,150.4,12000,15,800.0,12000
2024-12-06,150.0,153.9,149.0,150.0,12000,13,923.08,11200
2024-12-09,156.5,157.5,152.1,157.45,20800,19,1094.74,19200
2024-12-10,157.55,165.3,157.55,165.3,14400,15,960.0,13600
2024-12-11,170.9,173.55,170.9,173.55,9600,11,872.73,9600
2024-12-12,181.9,181.9,178.95,178.95,10400,13,800.0,10400
2024-12-13,178.0,178.5,171.0,172.0,6400,8,800.0,6400
2024-12-16,168.6,168.7,168.6,168.7,4000,5,800.0,4000
2024-12-17,165.35,165.35,165.35,165.35,1600,2,800.0,1600
2024-12-18,162.05,162.05,162.05,162.05,2400,3,800.0,2400
2024-12-19,158.8,158.8,158.8,158.8,6400,6,1066.67,6400
2024-12-20,155.65,155.65,155.65,155.65,3200,3,1066.67,3200
2024-12-23,152.55,152.55,152.55,152.55,10400,9,1155.56,10400
2024-12-24,149.5,150.0,149.5,150.0,4800,6,800.0,4800
2024-12-26,147.0,147.0,147.0,147.0,5600,5,1120.0,5600
2024-12-27,144.1,144.1,144.1,144.1,4000,5,800.0,4000
2024-12-30,144.1,144.1,142.0,142.0,7200,8,900.0,7200
2024-12-31,143.0,143.0,139.2,139.2,5600,5,1120.0,5600
2025-01-01,141.95,141.95,141.95,141.95,800,1,800.0,800
2025-01-02,144.75,144.75,144.75,144.75,9600,12,800.0,9600
2025-01-03,144.75,147.6,144.75,147.6,9600,12,800.0,8800
2025-01-06,150.55,150.55,144.65,144.65,8800,9,977.78,7200
2025-01-07,141.75,141.75,141.75,141.75,6400,8,800.0,6400
2025-01-08,138.95,141.0,138.95,141.0,4000,4,1000.0,4000
2025-01-09,138.2,138.2,138.2,138.2,5600,6,933.33,5600
2025-01-10,137.0,137.0,135.45,135.45,5600,7,800.0,5600
2025-01-13,132.75,133.0,132.75,133.0,20800,5,4160.0,20800
2025-01-15,130.4,130.4,130.35,130.35,2400,3,800.0,2400
2025-01-16,127.75,127.75,127.75,127.75,8000,9,888.89,7200
2025-01-17,125.25,125.25,125.2,125.2,2400,3,800.0,1600
2025-01-20,118.95,120.65,118.95,120.25,40000,20,2000.0,40000
2025-01-21,120.25,124.2,114.25,115.0,24000,24,1000.0,21600
2025-01-22,112.0,115.35,109.25,112.3,12800,12,1066.67,11200
2025-01-23,112.0,112.3,112.0,112.25,3200,4,800.0,3200
2025-01-24,110.0,110.0,106.65,106.7,12800,15,853.33,12000
2025-01-27,107.0,107.0,101.4,101.4,19200,15,1280.0,17600
2025-01-28,100.0,101.3,96.35,96.35,13600,12,1133.33,12800
2025-01-29,91.6,96.0,91.55,96.0,7200,7,1028.57,6400
2025-01-30,91.3,97.5,91.3,95.8,43200,5,8640.0,43200
2025-01-31,100.3,100.55,98.15,100.55,45600,14,3257.14,45600
2025-02-01,100.5,105.55,100.5,101.05,27200,14,1942.86,25600
2025-02-03,101.0,101.1,98.2,100.0,8000,6,1333.33,8000
2025-02-04,100.0,102.9,95.2,102.85,24000,9,2666.67,24000
2025-02-05,102.85,107.95,102.85,105.05,24800,21,1180.95,24800
2025-02-06,107.0,109.0,105.6,105.7,8800,11,800.0,8000
2025-02-07,106.0,106.0,104.8,104.8,3200,4,800.0,3200
2025-02-10,105.0,105.0,105.0,105.0,800,1,800.0,800
2025-02-11,100.05,100.05,99.75,99.75,6400,7,914.29,5600
2025-02-12,100.1,103.0,100.0,100.0,4800,6,800.0,4800
2025-02-13,100.0,100.0,96.6,96.6,4000,5,800.0,4000
2025-02-14,98.2,99.0,96.05,96.05,8000,4,2000.0,8000
2025-02-17,96.0,96.0,91.25,91.25,8000,9,888.89,7200
2025-02-18,87.0,87.0,86.7,86.7,36000,33,1090.91,35200
2025-02-19,83.0,91.0,82.45,91.0,5600,6,933.33,4800
2025-02-20,94.95,94.95,88.1,94.5,9600,7,1371.43,9600
2025-02-21,90.0,92.2,90.0,90.3,16800,7,2400.0,16800
2025-02-25,90.5,90.5,86.5,86.5,11200,4,2800.0,11200
2025-02-27,86.6,86.6,82.2,82.25,15200,14,1085.71,15200
2025-02-28,78.15,78.5,78.15,78.5,32800,2,16400.0,32800
2025-03-03,78.2,78.2,74.75,75.4,40000,12,3333.33,39200
2025-03-04,77.0,78.4,76.0,76.0,3200,4,800.0,3200
2025-03-05,74.0,79.8,74.0,79.8,60800,9,6755.56,60800
2025-03-06,83.75,83.75,77.1,83.75,46400,10,4640.0,46400
2025-03-07,85.1,87.9,80.1,86.15,53600,14,3828.57,53600
2025-03-10,86.15,86.15,81.85,81.85,10400,10,1040.0,9600
2025-03-11,77.8,84.9,77.75,78.3,60800,21,2895.24,60800
2025-03-12,79.0,79.0,74.4,74.7,24000,25,960.0,23200
2025-03-13,75.0,78.4,75.0,76.0,12800,15,853.33,12800
2025-03-17,77.25,77.25,72.2,72.8,20800,18,1155.56,20000
2025-03-18,71.5,72.8,70.0,71.2,17600,11,1600.0,17600
2025-03-19,72.05,73.95,70.0,71.0,41600,32,1300.0,38400
2025-03-20,70.0,73.0,70.0,72.8,21600,16,1350.0,20000
2025-03-21,70.3,74.0,69.2,71.3,51200,52,984.62,43200
2025-03-24,71.55,73.0,67.75,67.75,54400,57,954.39,52800
2025-03-25,67.75,67.75,64.4,64.4,26400,29,910.34,25600
2025-03-26,64.8,65.0,61.25,61.65,27200,31,877.42,24800
2025-03-27,61.0,61.0,58.6,58.65,24000,25,960.0,23200
2025-03-28,57.0,61.55,55.75,56.1,36800,29,1268.97,35200
2025-04-01,58.9,58.9,57.2,57.2,4800,5,960.0,4800
2025-04-02,60.05,60.05,59.95,59.95,2400,3,800.0,2400
2025-04-03,62.9,62.9,62.9,62.9,3200,4,800.0,3200
2025-04-04,65.9,66.0,65.75,66.0,11200,14,800.0,11200
2025-04-07,63.0,63.1,63.0,63.1,2400,3,800.0,2400
2025-04-08,66.0,66.25,65.0,66.25,14400,14,1028.57,12800
2025-04-09,69.5,69.55,68.95,68.95,4800,6,800.0,4000
2025-04-11,70.3,70.3,70.2,70.2,4000,5,800.0,4000
2025-04-15,71.6,71.6,71.6,71.6,10400,11,945.45,10400
2025-04-16,72.5,73.0,72.5,73.0,5600,7,800.0,5600
2025-04-17,73.0,73.0,73.0,73.0,800,1,800.0,800
2025-04-21,74.0,74.35,74.0,74.0,3200,3,1066.67,3200
2025-04-22,75.45,75.45,75.4,75.45,18400,15,1226.67,18400
2025-04-23,76.95,76.95,76.95,76.95,56000,35,1600.0,56000
2025-04-24,78.45,78.45,78.45,78.45,8000,7,1142.86,8000
2025-04-25,80.0,80.0,80.0,80.0,41600,32,1300.0,41600
