Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2013-03-28,55.5,55.6,44.24,54.44,3459,EQ,,,
2013-04-01,54.6,54.6,54.55,54.55,853,EQ,,,
2013-04-02,54.46,54.46,54.3,54.31,1230,EQ,,,
2013-04-03,55.03,55.03,54.75,54.78,6188,EQ,,,
2013-04-04,54.0,54.0,54.0,54.0,90,EQ,,,
2013-04-05,54.3,54.3,54.3,54.3,920,EQ,,,
2013-04-08,54.35,54.85,53.1,53.1,796,EQ,,,
2013-04-09,53.1,53.9,53.0,53.32,5881,EQ,,,
2013-04-10,52.88,53.99,52.87,52.9,120,EQ,,,
2013-04-11,53.49,53.49,53.4,53.4,1090,EQ,,,
2013-04-12,52.9,54.0,52.88,53.28,230,EQ,,,
2013-04-16,54.0,54.1,53.99,54.1,37261,EQ,,,
2013-04-17,54.25,54.75,53.3,54.47,21537,EQ,,,
2013-04-18,54.56,54.56,54.52,54.52,1000,EQ,,,
2013-04-22,54.9,55.85,53.6,53.6,52780,EQ,,,
2013-04-23,55.99,55.99,55.8,55.99,85385,EQ,,,
2013-04-25,56.06,58.99,54.0,56.53,72492,EQ,,,
2013-04-26,52.52,55.5,52.52,55.5,734,EQ,,,
2013-04-29,55.0,55.25,53.5,55.25,1292,EQ,,,
2013-04-30,56.3,56.9,56.3,56.6,20318,EQ,,,
2013-05-02,56.83,57.69,56.8,57.68,2418,EQ,,,
2013-05-03,57.9,57.9,57.2,57.22,1811,EQ,,,
2013-05-06,57.5,57.5,57.15,57.38,550,EQ,,,
2013-05-07,58.0,59.05,57.55,57.81,1131,EQ,,,
2013-05-08,58.4,58.4,58.0,58.06,1969,EQ,,,
2013-05-09,60.0,60.0,58.2,58.24,1332,EQ,,,
2013-05-10,58.31,58.43,58.18,58.4,1571,EQ,,,
2013-05-11,59.99,59.99,58.5,58.5,200,EQ,,,
2013-05-13,58.36,58.98,58.0,58.07,676,EQ,,,
2013-05-14,57.65,57.65,57.56,57.58,797,EQ,,,
2013-05-15,58.5,59.0,58.0,58.85,1190,EQ,,,
2013-05-16,59.33,59.33,59.0,59.14,247,EQ,,,
2013-05-17,59.25,59.4,59.21,59.21,1058,EQ,,,
2013-05-20,59.81,59.81,59.68,59.68,1379,EQ,,,
2013-05-21,59.17,59.17,59.13,59.13,1000,EQ,,,
2013-05-22,58.78,58.78,58.78,58.78,100,EQ,,,
2013-05-23,58.0,58.0,57.28,57.28,610,EQ,,,
2013-05-24,57.42,57.42,57.24,57.24,758,EQ,,,
2013-05-27,57.61,57.99,55.5,55.5,1412,EQ,,,
2013-05-28,59.38,59.38,59.38,59.38,10,EQ,,,
2013-05-29,59.0,59.2,59.0,59.2,2,EQ,,,
2013-05-30,58.2,58.3,58.0,58.15,124,EQ,,,
2013-05-31,58.1,58.1,58.1,58.1,290,EQ,,,
2013-06-03,57.4,57.4,57.39,57.39,25,EQ,,,
2013-06-04,57.15,58.0,57.1,58.0,101,EQ,,,
2013-06-05,57.0,57.0,56.68,56.68,67,EQ,,,
2013-06-06,59.73,59.73,58.95,59.24,72,EQ,,,
2013-06-10,56.9,56.9,56.83,56.84,180,EQ,,,
2013-06-12,57.97,57.99,57.97,57.99,2,EQ,,,
2013-06-13,57.5,57.55,57.0,57.31,14,EQ,,,
2013-06-14,57.85,57.85,57.0,57.0,10,EQ,,,
2013-06-17,55.42,55.42,55.42,55.42,100,EQ,,,
2013-06-18,58.9,58.9,55.7,55.7,177,EQ,,,
2013-06-19,58.5,58.5,58.5,58.5,1,EQ,,,
2013-06-21,57.37,57.37,54.28,54.28,93,EQ,,,
2013-06-24,54.2,54.2,53.93,53.93,300,EQ,,,
2013-06-26,56.94,56.94,56.0,56.1,13,EQ,,,
2013-06-27,57.19,57.19,57.19,57.19,20,EQ,,,
2013-06-28,54.0,54.0,54.0,54.0,2,EQ,,,
2013-07-01,56.72,56.72,56.72,56.72,1,EQ,,,
2013-07-02,56.51,56.51,56.51,56.51,445,EQ,,,
2013-07-04,55.15,55.15,55.03,55.03,90,EQ,,,
2013-07-05,56.46,56.46,56.43,56.43,1218,EQ,,,
2013-07-08,55.81,55.81,55.81,55.81,380,EQ,,,
2013-07-09,57.75,57.75,56.23,56.23,183,EQ,,,
2013-07-10,56.46,56.46,56.46,56.46,70,EQ,,,
2013-07-11,56.76,56.76,56.72,56.74,1080,EQ,,,
2013-07-12,57.49,58.0,51.4,55.3,10173,EQ,,,
2013-07-15,57.42,60.69,57.41,57.41,850,EQ,,,
2013-07-16,58.0,58.0,56.92,57.02,105,EQ,,,
2013-07-17,57.4,57.4,57.4,57.4,180,EQ,,,
2013-07-18,57.31,60.57,55.01,57.19,12782,EQ,,,
2013-07-19,57.96,57.96,57.96,57.96,360,EQ,,,
2013-07-23,58.8,58.8,58.15,58.15,271,EQ,,,
2013-07-25,60.45,60.45,57.19,60.0,181,EQ,,,
2013-07-26,59.0,59.0,59.0,59.0,7,EQ,,,
2013-07-29,59.4,59.4,59.4,59.4,1,EQ,,,
2013-07-30,55.82,55.82,55.81,55.81,90,EQ,,,
2013-07-31,54.6,54.6,54.56,54.56,180,EQ,,,
2013-08-01,55.45,55.45,55.45,55.45,130,EQ,,,
2013-08-02,57.86,57.86,57.86,57.86,1,EQ,,,
2013-08-07,55.9,55.9,55.9,55.9,2,EQ,,,
