Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2025-10-20,10.32,10.5,10.21,10.29,330896,EQ,335,987.75,312424
2025-10-21,10.54,10.97,10.24,10.31,257148,EQ,409,628.72,252131
2025-10-23,10.56,10.69,10.28,10.31,210720,EQ,470,448.34,196084
2025-10-24,10.38,10.38,10.25,10.27,277594,EQ,294,944.2,211296
2025-10-27,10.58,10.58,10.25,10.31,97445,EQ,235,414.66,74739
2025-10-28,10.5,10.5,10.29,10.32,480723,EQ,452,1063.55,443326
2025-10-29,10.38,10.42,10.33,10.36,222154,EQ,265,838.32,197078
2025-10-30,10.5,10.5,10.3,10.31,101087,EQ,327,309.13,97262
2025-10-31,10.36,10.38,10.25,10.28,330112,EQ,393,839.98,314484
2025-11-03,10.26,10.26,10.21,10.25,145490,EQ,430,338.35,131813
2025-11-04,10.25,10.26,10.19,10.19,232325,EQ,431,539.04,218886
2025-11-06,10.33,10.33,10.15,10.16,346217,EQ,560,618.24,182537
2025-11-07,10.21,10.24,10.09,10.15,536261,EQ,799,671.17,328956
2025-11-10,10.4,10.4,10.15,10.2,187966,EQ,411,457.34,137478
2025-11-11,10.45,10.45,10.14,10.23,365262,EQ,497,734.93,269612
2025-11-12,10.48,10.48,10.26,10.28,347083,EQ,347,1000.24,199797
2025-11-13,10.34,10.35,10.25,10.3,268011,EQ,339,790.59,234847
2025-11-14,10.31,10.31,10.23,10.27,367172,EQ,451,814.13,145238
2025-11-17,10.34,10.34,10.27,10.33,187412,EQ,460,407.42,127962
2025-11-18,10.58,10.58,10.29,10.32,589098,EQ,486,1212.14,434643
2025-11-19,10.35,10.38,10.29,10.36,198266,EQ,374,530.12,149163
2025-11-20,10.43,10.43,10.36,10.41,200386,EQ,477,420.1,162917
2025-11-21,10.67,10.67,10.35,10.36,347367,EQ,430,807.83,311419
2025-11-24,10.41,10.42,10.35,10.37,390212,EQ,425,918.15,159791
2025-11-25,10.42,10.42,10.3,10.33,607105,EQ,373,1627.63,346000
2025-11-26,10.39,10.44,10.33,10.42,965804,EQ,453,2132.02,886811
2025-11-27,10.42,10.48,10.39,10.42,345396,EQ,401,861.34,223996
2025-11-28,10.44,10.46,10.4,10.43,170635,EQ,428,398.68,120823
2025-12-01,10.58,10.58,10.4,10.41,213971,EQ,590,362.66,129623
2025-12-02,10.46,10.46,10.35,10.36,215422,EQ,491,438.74,167150
2025-12-03,10.41,10.41,10.31,10.35,276031,EQ,398,693.55,181243
2025-12-04,10.4,10.4,10.31,10.35,218955,EQ,448,488.74,192704
2025-12-05,10.4,10.44,10.35,10.4,149075,EQ,489,304.86,116672
2025-12-08,10.45,10.45,10.31,10.32,472632,EQ,861,548.93,341413
2025-12-09,10.37,10.37,10.25,10.28,161418,EQ,692,233.26,138870
2025-12-10,10.41,10.41,10.24,10.24,144834,EQ,1481,97.79,72423
2025-12-11,10.29,10.32,10.23,10.31,109633,EQ,1087,100.86,76739
2025-12-12,10.51,10.51,10.26,10.36,130690,EQ,529,247.05,104404
