Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-20,857.7,868.0,837.05,863.2,993,EQ,82.0,12.11,821.0
2026-04-21,847.05,890.05,847.05,866.7,2907,EQ,186.0,15.63,2391.0
2026-04-22,865.05,883.5,852.65,879.6,1068,EQ,127.0,8.41,906.0
2026-04-23,884.0,925.6,882.0,922.65,8338,EQ,725.0,11.5,6553.0
2026-04-24,922.65,935.05,901.0,925.45,3765,EQ,384.0,9.8,2540.0
2026-04-27,927.0,943.45,927.0,938.8,4908,EQ,344.0,14.27,3868.0
2026-04-28,923.0,986.0,923.0,971.75,10857,EQ,836.0,12.99,8573.0
2026-04-29,999.0,999.0,955.0,965.3,2945,EQ,480.0,6.14,1954.0
2026-04-30,985.0,985.0,938.0,981.5,8343,EQ,421.0,19.82,7218.0
2026-05-04,1140.0,1174.0,1101.0,1128.3,57843,EQ,4131.0,14.0,28727.0
2026-05-05,1148.0,1150.0,1101.05,1125.15,19498,EQ,1360.0,14.34,11909.0
2026-05-06,1140.0,1221.6,1120.5,1205.4,42942,EQ,3609.0,11.9,23336.0
2026-05-07,1220.0,1230.95,1212.0,1216.5,18963,EQ,810.0,23.41,14239.0
2026-05-08,1223.9,1297.0,1215.0,1271.55,26182,EQ,2634.0,9.94,15188.0
2026-05-11,1295.8,1350.0,1271.0,1287.15,27720,EQ,2312.0,11.99,16573.0
2026-05-12,1298.0,1306.0,1280.0,1282.6,11577,EQ,775.0,14.94,8130.0
2026-05-13,1318.0,1318.0,1280.0,1281.45,6315,EQ,615.0,10.27,3214.0
2026-05-14,1300.0,1320.55,1280.0,1286.0,4622,EQ,421.0,10.98,3171.0
2026-05-15,1299.0,1339.65,1282.35,1328.7,10001,EQ,997.0,10.03,6215.0
2026-05-18,1328.7,1342.45,1310.0,1312.9,6847,EQ,601.0,11.39,4491.0
2026-05-19,1329.8,1354.0,1310.0,1315.8,4346,EQ,505.0,8.61,2514.0
2026-05-20,1313.75,1342.95,1310.0,1319.15,6117,EQ,528.0,11.59,3746.0
2026-05-21,1325.9,1351.0,1325.05,1348.85,7700,EQ,791.0,9.73,3965.0
2026-05-22,1341.05,1449.0,1321.0,1420.85,33118,EQ,2660.0,12.45,15576.0
2026-05-25,1426.15,1600.0,1421.8,1582.85,45642,EQ,4488.0,10.17,21381.0
2026-05-26,1598.0,1690.0,1551.2,1636.55,45554,EQ,3444.0,13.23,22320.0
2026-05-27,1659.75,1686.0,1605.0,1653.45,17068,EQ,1630.0,10.47,10275.0
2026-05-29,1658.95,1658.95,1590.0,1626.6,12172,EQ,1574.0,7.73,7022.0
2026-06-01,1630.0,1674.0,1610.4,1648.8,10600,EQ,1255.0,8.45,7141.0
2026-06-02,1657.3,1673.2,1617.1,1642.0,7085,EQ,755.0,9.38,4444.0
2026-06-03,1642.0,1870.0,1621.0,1806.2,84590,EQ,8466.0,9.99,23929.0
2026-06-04,1854.0,1870.0,1766.1,1820.4,22267,EQ,2263.0,9.84,10427.0
2026-06-05,1844.9,1844.9,1703.4,1745.4,13200,EQ,1473.0,8.96,7127.0
2026-06-08,1685.4,1685.4,1416.1,1443.9,77370,EQ,6603.0,11.72,31550.0
2026-06-09,1420.2,1525.0,1405.0,1471.0,42745,EQ,4304.0,9.93,15391.0
2026-06-10,1498.8,1523.0,1432.6,1456.0,8888,EQ,1163.0,7.64,4753.0
2026-06-11,1454.6,1484.5,1299.9,1323.8,20261,EQ,2227.0,9.1,11357.0
2026-06-12,1370.1,1427.9,1365.0,1414.2,22614,EQ,2503.0,9.03,10340.0
2026-06-15,1479.0,1525.0,1442.8,1478.4,17386,EQ,2333.0,7.45,8008.0
2026-06-16,1490.5,1520.4,1447.2,1451.9,8751,EQ,1337.0,6.55,4392.0
2026-06-17,1450.1,1595.0,1445.2,1552.9,23009,EQ,2712.0,8.48,12058.0
2026-06-18,1575.0,1664.9,1574.9,1602.7,18363,EQ,2045.0,8.98,6644.0
2026-06-19,1625.0,1660.0,1564.1,1578.1,7811,EQ,1188.0,6.57,3330.0
2026-06-22,1614.0,1624.8,1562.2,1613.8,7905,EQ,2604.0,3.04,4241.0
2026-06-23,1625.5,1675.0,1577.6,1654.8,11384,EQ,2194.0,5.19,7816.0
2026-06-24,1670.0,1795.2,1667.2,1702.7,25216,EQ,3781.0,6.67,8283.0
2026-06-25,1703.0,1764.2,1680.0,1719.8,9807,EQ,1348.0,7.28,5424.0
2026-06-29,1723.9,1726.5,1644.1,1652.8,11188,EQ,1676.0,6.68,8404.0
2026-06-30,1655.2,1732.0,1640.0,1702.4,12235,EQ,1390.0,8.8,6494.0
2026-07-01,1702.0,1819.9,1680.5,1725.0,19477,EQ,2308,8.44,10550
2026-07-02,1729.0,1759.2,1681.5,1712.7,7006,EQ,907,7.72,3952
2026-07-03,1701.2,1749.1,1701.2,1727.4,6109,EQ,920,6.64,3602
2026-07-06,1739.6,1782.4,1732.0,1763.1,8361,EQ,1191,7.02,5277
2026-07-07,1763.4,1786.0,1733.3,1777.7,6143,EQ,1502,4.09,3997
2026-07-08,1775.0,1904.4,1752.2,1845.7,60277,EQ,6839,8.81,22578
2026-07-09,1850.0,1960.0,1845.7,1928.7,27643,EQ,3401,8.13,12870
2026-07-10,1959.9,2087.2,1935.4,2031.4,47457,EQ,4998,9.5,22269
