Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2024-11-14,78.14,81.0,73.51,74.02,38862503,EQ,146520,265.24,12684358
2024-11-18,72.71,73.99,69.21,72.57,7592009,EQ,40550,187.23,3486934
2024-11-19,72.0,74.73,72.0,73.99,3772771,EQ,22321,169.02,2451536
2024-11-21,73.94,73.94,71.25,73.27,1620552,EQ,15518,104.43,1016783
2024-11-22,73.99,74.49,72.95,73.7,2408433,EQ,14485,166.27,1692248
2024-11-25,73.05,78.35,73.05,76.83,9285232,EQ,39805,233.27,2761558
2024-11-26,75.9,76.85,74.65,75.5,3211072,EQ,20906,153.6,1327902
2024-11-27,75.5,76.45,74.96,75.15,1953771,EQ,11644,167.79,1077631
2024-11-28,75.19,79.0,74.0,74.86,5943297,EQ,31830,186.72,2279632
2024-11-29,75.53,76.45,74.38,75.39,1681482,EQ,13492,124.63,697661
2024-12-02,75.64,75.64,73.9,74.39,1248074,EQ,10600,117.74,608173
2024-12-03,75.16,84.8,74.75,81.93,26815355,EQ,118227,226.81,5250042
2024-12-04,82.84,98.31,82.56,98.31,41132031,EQ,146301,281.15,8225450
2024-12-05,102.7,109.34,97.29,100.0,42607428,EQ,193309,220.41,8184385
2024-12-06,98.8,99.22,93.7,95.02,6974772,EQ,34649,201.3,2106934
2024-12-09,95.01,95.02,89.02,89.34,6278958,EQ,28611,219.46,2313158
2024-12-10,89.9,94.4,88.4,92.7,8333284,EQ,30771,270.82,1955501
2024-12-11,93.15,93.2,89.65,89.97,2395439,EQ,12993,184.36,985726
2024-12-12,90.0,90.59,84.86,85.25,5722588,EQ,29686,192.77,3543752
2024-12-13,85.5,85.84,82.12,83.6,8622158,EQ,15697,549.29,4385671
2024-12-16,84.0,87.39,84.0,85.19,3851118,EQ,23145,166.39,1299456
2024-12-17,86.0,86.28,83.51,83.84,2130065,EQ,16049,132.72,953030
2024-12-18,84.38,84.38,81.0,81.41,3514558,EQ,21896,160.51,1629747
2024-12-19,79.0,81.15,79.0,79.78,3462910,EQ,21578,160.48,1862596
2024-12-20,79.78,81.07,75.7,76.27,4041272,EQ,26809,150.74,2396826
2024-12-23,77.5,78.11,75.06,76.63,3360613,EQ,24636,136.41,1137873
2024-12-24,77.3,77.3,75.32,76.12,1987242,EQ,16230,122.44,857947
2024-12-26,76.77,83.48,76.14,81.25,11945978,EQ,63247,188.88,2952353
2024-12-27,81.85,83.3,79.0,79.66,3148919,EQ,19400,162.32,1125298
2024-12-30,80.0,80.0,78.0,78.85,2103743,EQ,14478,145.31,877301
2024-12-31,79.0,85.0,78.1,84.11,5397076,EQ,26872,200.84,2210081
2025-01-01,85.0,86.0,83.5,83.76,2873318,EQ,24406,117.73,864428
2025-01-02,84.0,84.2,82.0,82.15,1396296,EQ,13588,102.76,677760
2025-01-03,83.75,85.3,82.51,83.33,2086532,EQ,17835,116.99,696932
2025-01-06,83.65,83.69,78.5,78.91,2146432,EQ,25367,84.62,962787
2025-01-07,79.31,81.31,79.31,80.42,1339661,EQ,12273,109.16,447922
2025-01-08,80.42,80.89,78.75,79.24,945050,EQ,11130,84.91,406691
2025-01-09,79.75,79.8,77.5,77.82,712900,EQ,9637,73.98,357429
2025-01-10,78.5,78.5,75.4,77.03,1021599,EQ,15015,68.04,398935
2025-01-13,76.0,76.7,74.95,75.24,1582267,EQ,16250,97.37,753919
2025-01-14,75.98,77.75,75.11,77.37,1072412,EQ,11259,95.25,445048
2025-01-15,78.9,79.0,77.8,78.65,730541,EQ,9158,79.77,300595
2025-01-16,79.0,82.8,78.95,82.0,2056749,EQ,18435,111.57,817900
2025-01-17,82.63,82.63,81.2,81.38,874489,EQ,7953,109.96,374263
2025-01-20,81.85,84.19,81.01,83.08,1528913,EQ,14195,107.71,563011
2025-01-21,81.8,83.96,80.63,81.03,1067747,EQ,11279,94.67,342958
2025-01-22,81.69,81.91,78.08,79.53,1144346,EQ,13257,86.32,455266
2025-01-23,79.0,81.7,79.0,81.07,592500,EQ,10053,58.94,238545
2025-01-24,81.07,81.35,78.11,78.64,532376,EQ,11253,47.31,209871
2025-01-27,77.11,77.74,75.0,75.2,839472,EQ,16903,49.66,446412
2025-01-28,75.59,76.75,72.65,76.33,997419,EQ,17816,55.98,375063
2025-01-29,77.5,81.6,77.0,80.57,1106311,EQ,14040,78.8,465023
2025-01-30,81.39,82.55,78.8,79.49,983480,EQ,17398,56.53,315871
2025-01-31,79.11,82.9,78.41,81.14,1372738,EQ,19509,70.36,403034
