Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2024-09-24,350.0,350.0,308.2,323.4,34967188,449360,77.82,15202054
2024-09-25,328.0,330.4,307.05,313.8,6575414,89470,73.49,2053069
2024-09-26,311.3,316.95,303.0,304.6,2400444,47673,50.35,1095022
2024-09-27,304.55,316.7,304.55,309.0,2655540,36856,72.05,1123613
2024-09-30,306.0,308.8,295.05,300.0,2177232,41236,52.8,876358
2024-10-01,310.0,314.0,301.7,306.3,2603744,35233,73.9,948670
2024-10-03,297.2,303.0,292.0,293.45,1079053,23109,46.69,554334
2024-10-04,294.85,301.7,285.2,292.35,1622819,27159,59.75,518367
2024-10-07,294.9,294.95,269.5,278.95,1556608,36120,43.1,814761
2024-10-08,277.5,288.0,275.8,285.85,892647,16881,52.88,401252
2024-10-09,286.85,292.4,284.65,285.35,592286,14962,39.59,286526
2024-10-10,288.7,293.0,287.5,289.8,507805,13162,38.58,277136
2024-10-11,287.55,292.2,282.55,283.8,336239,8119,41.41,177560
2024-10-14,285.95,286.85,273.3,274.1,502467,11832,42.47,307764
2024-10-15,274.2,278.0,271.0,274.6,397244,10396,38.21,193157
2024-10-16,273.6,277.0,268.0,268.3,612889,12946,47.34,396645
2024-10-17,268.0,274.5,266.5,269.45,542532,10940,49.59,245441
2024-10-18,269.0,269.4,264.15,266.1,337568,7948,42.47,177560
2024-10-21,268.0,269.0,249.05,251.05,891228,18642,47.81,514802
2024-10-22,250.0,251.55,242.1,243.55,510385,12567,40.61,229344
2024-10-23,243.0,250.9,240.65,244.2,666411,19932,33.43,283308
2024-10-24,245.9,247.0,237.5,239.05,314065,9362,33.55,164134
2024-10-25,239.1,241.65,229.05,231.0,581309,15853,36.67,279755
