Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2023-01-12,155.0,159.0,142.35,152.15,245238,2295,106.86,142132
2023-01-13,155.0,155.0,146.1,146.85,57810,701,82.47,44673
2023-01-16,149.95,150.5,138.2,139.35,38076,756,50.37,23180
2023-01-17,143.95,143.95,133.3,136.75,54898,862,63.69,32640
2023-01-18,138.8,140.5,132.15,134.2,44578,726,61.4,34430
2023-01-19,134.9,141.95,133.4,139.4,64006,806,79.41,45954
2023-01-20,139.95,140.55,132.0,133.6,36125,740,48.82,23441
2023-01-23,135.6,136.45,130.05,130.75,86525,1080,80.12,71368
2023-01-24,131.6,134.95,130.1,130.9,29186,604,48.32,20306
2023-01-25,132.0,132.0,125.95,127.85,30166,473,63.78,22675
2023-01-27,129.95,129.95,106.0,107.4,336228,2861,117.52,268496
2023-01-30,102.3,119.7,102.3,108.65,214036,2462,86.94,147320
2023-01-31,111.0,118.35,109.95,116.75,157401,2361,66.67,113152
2023-02-01,123.95,123.95,105.3,115.1,131955,2887,45.71,62484
2023-02-02,118.5,118.5,110.5,111.65,47724,706,67.6,39512
2023-02-03,115.4,115.85,107.6,112.15,114351,1647,69.43,81423
2023-02-06,116.95,119.45,111.75,112.4,65002,1129,57.57,44464
2023-02-07,114.95,127.35,112.05,116.0,170910,1825,93.65,140918
2023-02-08,117.75,127.0,117.75,122.15,269888,2742,98.43,172708
2023-02-09,122.15,129.8,120.3,121.25,217515,2630,82.71,143238
2023-02-10,123.1,129.0,123.0,126.35,158199,2016,78.47,80011
2023-02-13,129.5,129.5,116.15,119.25,78798,1391,56.65,45451
2023-02-14,119.25,121.4,116.2,117.25,37534,658,57.04,28411
2023-02-15,119.0,122.8,114.0,116.3,38546,855,45.08,26046
2023-02-16,118.05,118.05,113.0,114.0,78845,1150,68.56,53286
2023-02-17,114.0,116.35,113.6,114.15,38353,371,103.38,29394
2023-02-20,116.45,116.45,111.2,111.95,20854,396,52.66,12241
2023-02-21,113.35,115.0,110.0,110.05,46128,472,97.73,33880
2023-02-22,111.35,111.35,107.75,109.4,45247,436,103.78,38896
2023-02-23,110.7,113.25,110.0,112.25,19127,280,68.31,13987
2023-02-24,111.95,112.95,108.2,109.6,43838,280,156.56,35229
2023-02-27,112.0,112.0,105.45,107.05,77368,455,170.04,69485
2023-02-28,107.7,108.3,100.95,102.7,43526,561,77.59,29070
2023-03-01,103.5,104.55,102.0,103.25,40631,490,82.92,30915
2023-03-02,104.95,106.7,102.3,105.55,40476,391,103.52,30037
2023-03-03,107.7,109.5,105.7,108.05,58968,439,134.32,49902
2023-03-06,110.25,120.9,108.65,115.65,128494,1860,69.08,86272
2023-03-08,120.9,128.0,118.45,125.1,252754,3039,83.17,158070
2023-03-09,128.0,128.0,120.0,122.6,74694,1174,63.62,48606
2023-03-10,124.5,126.0,122.1,125.15,80089,1022,78.36,61916
2023-03-13,125.4,130.0,117.0,118.55,169413,2073,81.72,121242
2023-03-14,120.35,127.4,119.05,125.95,159500,2902,54.96,118580
2023-03-15,126.9,128.9,121.35,123.25,154949,2030,76.33,116193
2023-03-16,123.0,125.35,118.9,121.75,72968,878,83.11,52113
2023-03-17,121.7,123.0,116.3,118.0,112388,1480,75.94,65407
2023-03-20,96.8,115.05,96.8,111.05,79417,955,83.16,45411
2023-03-21,113.0,114.95,109.0,111.95,65048,913,71.25,46057
2023-03-22,110.7,114.55,110.25,111.15,22925,312,73.48,16045
2023-03-23,112.55,117.2,110.0,113.6,53254,315,169.06,41935
2023-03-24,115.05,116.9,109.0,109.95,86338,1435,60.17,59769
2023-03-27,111.6,114.0,103.0,105.25,61771,779,79.3,47269
2023-03-28,105.75,107.95,102.0,103.6,226146,477,474.1,217964
2023-03-29,105.3,105.35,96.45,99.35,247075,1226,201.53,208679
2023-03-31,104.95,109.0,101.9,105.35,111009,1411,78.67,69026
2023-04-03,109.0,114.0,106.25,107.8,77070,1220,63.17,45476
2023-04-05,108.55,117.6,108.25,117.05,154629,2407,64.24,77749
2023-04-06,118.8,125.3,117.2,121.9,129780,2539,51.11,77341
2023-04-10,123.0,124.5,115.35,116.55,88817,1355,65.55,49121
2023-04-11,117.9,126.75,116.65,122.0,218317,3001,72.75,118947
2023-04-12,123.85,123.85,120.1,120.6,39784,595,66.86,29597
2023-04-13,120.1,121.9,115.2,116.75,40864,716,57.07,31052
2023-04-17,115.6,119.05,115.2,117.4,26041,544,47.87,19275
2023-04-18,119.25,119.5,116.45,116.65,24889,458,54.34,14022
2023-04-19,118.1,118.25,114.15,114.65,38214,483,79.12,29241
2023-04-20,115.35,115.45,113.1,114.0,30536,401,76.15,18160
2023-04-21,115.15,115.15,107.75,109.3,60640,728,83.3,43463
2023-04-24,108.2,112.0,107.6,108.6,53137,761,69.83,39726
2023-04-25,108.05,108.35,104.7,105.45,62460,966,64.66,50510
2023-04-26,106.05,106.05,100.05,103.0,165722,1772,93.52,112702
2023-04-27,105.95,105.95,99.8,102.75,143619,1346,106.7,94056
2023-04-28,103.95,105.95,102.15,103.6,106877,989,108.07,78727
2023-05-02,105.7,105.7,101.0,102.1,68651,1048,65.51,54309
2023-05-03,102.9,105.6,102.0,102.55,78492,837,93.78,64897
2023-05-04,104.6,104.85,101.0,101.95,66225,760,87.14,57408
2023-05-05,103.0,110.8,100.65,103.8,540251,12536,43.1,256283
2023-05-08,104.45,108.5,103.2,103.95,104391,4375,23.86,59533
2023-05-09,103.95,105.0,100.75,102.6,95447,630,151.5,50661
2023-05-10,102.6,116.9,101.25,115.0,921124,18993,48.5,234606
2023-05-11,117.0,124.8,117.0,122.15,698341,6997,99.81,308961
2023-05-12,122.85,125.0,119.0,122.0,130410,1620,80.5,61939
2023-05-15,123.85,123.85,118.1,118.7,136767,1430,95.64,102110
2023-05-16,119.75,122.9,116.85,118.55,75683,1113,68.0,51500
2023-05-17,119.8,123.75,117.5,120.15,120210,1160,103.63,69870
2023-05-18,121.35,121.35,116.0,116.4,50458,563,89.62,33212
2023-05-19,117.55,118.8,115.1,115.6,35605,482,73.87,25055
2023-05-22,115.6,118.5,114.25,114.95,27079,386,70.15,20049
2023-05-23,117.75,117.9,113.0,113.75,21577,318,67.85,14179
2023-05-24,113.3,119.5,113.0,113.85,45313,499,90.81,23666
2023-05-25,117.75,117.75,109.1,110.2,57449,612,93.87,42895
2023-05-26,111.1,117.5,110.45,115.3,101513,1064,95.41,65280
2023-05-29,117.05,122.0,114.55,119.6,152660,1390,109.83,106285
2023-05-30,115.0,121.5,114.55,119.0,102847,965,106.58,69979
2023-05-31,120.75,120.75,116.25,117.25,36844,548,67.23,26194
2023-06-01,117.45,119.25,117.05,118.2,21263,243,87.5,14651
2023-06-02,119.3,120.8,116.0,116.75,83050,643,129.16,57111
2023-06-05,118.45,122.65,117.2,118.0,107307,1075,99.82,66306
2023-06-06,119.95,119.95,117.0,117.8,37990,369,102.95,32677
2023-06-07,117.95,118.0,115.0,115.7,37543,521,72.06,27247
2023-06-08,117.0,117.7,115.0,115.3,27390,320,85.59,19703
2023-06-09,117.55,117.55,113.0,113.5,25631,425,60.31,16149
2023-06-12,116.0,116.0,110.6,112.45,24965,339,73.64,18662
2023-06-13,113.95,114.6,112.85,114.05,20407,245,83.29,15412
2023-06-14,114.9,114.9,112.0,112.85,18009,285,63.19,11911
2023-06-15,114.15,114.15,110.7,111.25,43401,313,138.66,37673
2023-06-16,112.6,113.5,109.3,111.2,53552,536,99.91,43815
2023-06-19,115.8,120.0,111.0,117.55,116124,911,127.47,77212
2023-06-20,119.1,119.4,115.55,117.55,55428,523,105.98,40395
2023-06-21,118.1,118.1,112.55,113.7,44209,599,73.8,27435
2023-06-22,115.8,115.8,111.85,113.55,29387,446,65.89,20782
2023-06-23,113.6,113.6,109.15,110.75,118056,772,152.92,94784
2023-06-26,110.75,112.95,110.0,111.15,105957,671,157.91,89455
2023-06-27,112.9,113.9,110.0,110.55,65839,824,79.9,47675
2023-06-28,110.0,112.65,109.05,111.25,56354,622,90.6,38621
2023-06-30,111.9,113.5,109.55,111.05,79818,789,101.16,50742
2023-07-03,110.15,115.0,110.15,114.5,114216,1133,100.81,67751
2023-07-04,116.5,116.65,111.5,113.7,102796,877,117.21,58590
2023-07-05,113.45,114.15,111.5,112.15,29630,396,74.82,22586
2023-07-06,112.0,113.1,108.75,110.55,143489,1103,130.09,88508
2023-07-07,111.0,111.05,109.0,109.9,48071,552,87.09,32162
2023-07-10,109.9,110.95,109.2,109.75,25696,322,79.8,15054
2023-07-11,112.75,114.0,109.8,110.5,60018,476,126.09,39675
2023-07-12,112.35,112.35,107.7,109.0,58862,566,104.0,42378
2023-07-13,110.65,110.8,106.3,106.7,43852,609,72.01,26878
2023-07-14,106.15,108.9,105.95,106.95,30454,467,65.21,21914
2023-07-17,108.85,109.55,103.9,104.85,86007,1093,78.69,62142
2023-07-18,108.5,108.5,104.85,105.55,47956,526,91.17,29574
2023-07-19,107.95,107.95,103.85,105.0,42121,387,108.84,26515
2023-07-20,106.9,106.95,104.65,104.9,33449,311,107.55,26328
2023-07-21,105.35,112.1,103.75,109.15,171202,1701,100.65,86995
2023-07-24,110.9,111.25,106.0,106.2,31506,485,64.96,19781
2023-07-25,108.85,108.85,106.0,107.35,14627,206,71.0,10864
2023-07-26,107.5,109.25,103.5,104.9,83925,663,126.58,60017
2023-07-27,105.2,108.3,102.55,103.2,82440,951,86.69,52599
2023-07-28,102.0,105.1,102.0,103.85,21589,318,67.89,15290
2023-07-31,105.5,106.3,103.25,105.5,25161,319,78.87,15476
2023-08-01,105.9,107.2,105.65,106.35,28292,210,134.72,22745
2023-08-02,105.7,106.55,103.0,104.2,49736,490,101.5,35577
2023-08-03,102.05,105.15,102.0,102.25,67610,757,89.31,48075
2023-08-04,102.5,104.2,102.0,103.35,79132,651,121.55,60125
2023-08-07,104.9,105.0,102.55,103.25,19042,339,56.17,11756
2023-08-08,103.35,104.95,101.0,101.2,35388,344,102.87,25521
2023-08-09,101.2,102.9,100.0,101.35,45364,585,77.55,33053
2023-08-10,101.35,104.45,100.0,100.85,47695,635,75.11,33439
2023-08-11,100.0,104.2,100.0,100.7,68477,744,92.04,41575
2023-08-14,102.75,102.75,99.1,99.65,57140,720,79.36,38212
2023-08-16,100.0,101.4,97.0,97.45,68749,795,86.48,49346
2023-08-17,99.9,100.0,96.0,96.9,82881,765,108.34,68190
2023-08-18,98.5,98.5,94.9,95.4,113652,1099,103.41,84226
2023-08-21,97.5,97.5,94.0,94.3,72791,928,78.44,49308
2023-08-22,96.0,96.0,90.5,93.25,88244,775,113.86,59566
2023-08-23,94.5,108.9,92.6,104.6,388762,3963,98.1,172920
2023-08-24,104.7,108.5,101.5,102.15,105935,1439,73.62,59735
2023-08-25,104.45,104.45,98.75,99.5,50970,966,52.76,35973
2023-08-28,100.95,104.4,99.3,102.05,80364,869,92.48,47980
2023-08-29,102.7,103.2,101.0,101.6,27018,394,68.57,17645
2023-08-30,102.65,102.65,99.8,100.1,49760,453,109.85,38655
2023-08-31,100.95,101.7,95.85,96.9,111110,1156,96.12,78855
2023-09-01,100.9,100.9,96.75,97.45,56424,864,65.31,33848
2023-09-04,98.9,100.5,98.3,99.05,33506,524,63.94,20659
2023-09-05,100.45,100.75,97.9,98.1,27277,438,62.28,16815
2023-09-06,98.1,100.0,98.0,98.25,19802,332,59.64,12858
2023-09-07,99.0,100.4,97.0,97.65,47109,392,120.18,38899
2023-09-08,99.6,100.0,97.5,98.5,58784,598,98.3,41475
2023-09-11,100.5,100.5,97.55,97.75,30934,530,58.37,18032
2023-09-12,98.75,98.75,95.35,96.3,65621,710,92.42,35470
2023-09-13,97.0,97.0,91.2,94.3,119698,1506,79.48,65312
2023-09-14,95.9,96.95,94.2,94.45,38941,587,66.34,23253
2023-09-15,93.55,95.6,93.55,93.9,33264,440,75.6,24368
2023-09-18,95.65,95.65,91.35,92.15,51508,744,69.23,29669
2023-09-20,93.45,93.45,90.0,90.55,106346,978,108.74,66554
2023-09-21,92.0,102.7,90.7,99.35,373355,3934,94.9,181793
2023-09-22,98.05,102.05,96.0,96.6,71520,1119,63.91,39516
2023-09-25,96.7,98.25,93.9,94.75,66124,689,95.97,45623
2023-09-26,94.75,95.75,94.0,94.7,30950,422,73.34,17728
2023-09-27,94.7,104.75,93.0,99.2,192947,1886,102.3,102151
2023-09-28,100.55,106.7,98.4,100.2,300282,4059,73.98,170753
2023-09-29,101.2,102.25,99.8,101.05,87431,915,95.55,47584
2023-10-03,101.05,101.6,95.95,96.85,58151,1127,51.6,32260
2023-10-04,97.45,97.45,94.05,95.05,69467,731,95.03,38940
2023-10-05,95.85,102.75,95.15,100.2,117256,1441,81.37,60233
2023-10-06,101.0,103.25,96.25,97.6,101520,1382,73.46,53327
2023-10-09,96.55,97.7,94.5,95.9,39318,615,63.93,21354
2023-10-10,95.1,97.15,95.0,96.2,35399,539,65.68,23595
2023-10-11,96.55,98.5,94.95,97.15,54690,744,73.51,22949
2023-10-12,99.25,101.75,96.75,99.5,87418,1132,77.22,56982
2023-10-13,99.9,99.9,96.45,96.8,58164,686,84.79,42465
2023-10-16,98.25,100.0,93.75,95.5,55753,736,75.75,36469
2023-10-17,97.35,97.35,96.0,96.2,23363,309,75.61,17991
2023-10-18,96.2,97.8,93.3,94.7,54402,587,92.68,34420
2023-10-19,96.05,97.0,94.25,95.05,38616,371,104.09,27635
2023-10-20,96.1,96.1,94.0,94.45,15030,268,56.08,8774
2023-10-23,93.0,94.95,91.0,91.85,46971,484,97.05,38169
2023-10-25,93.15,95.3,89.65,90.05,51963,587,88.52,35201
2023-10-26,90.85,90.85,86.5,88.0,71825,793,90.57,43962
2023-10-27,89.25,89.3,87.5,88.65,69607,755,92.19,49042
2023-10-30,90.45,91.45,88.05,90.8,74301,894,83.11,48007
2023-10-31,92.45,94.25,89.3,90.95,50283,691,72.77,25561
2023-11-01,92.25,92.6,88.45,89.1,48370,1350,35.83,19275
2023-11-02,91.1,91.35,89.7,91.0,25170,751,33.52,11443
2023-11-03,91.35,94.5,89.25,91.2,31056,381,81.51,13724
2023-11-06,92.55,94.5,90.65,91.05,71496,667,107.19,52092
2023-11-07,91.65,91.9,89.45,89.9,52105,635,82.06,36856
