Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2021-02-25,615.0,645.75,584.25,645.75,209580,BE,3550.0,59.04,209580.0
2021-02-26,678.0,678.0,678.0,678.0,14409,BE,502.0,28.7,14409.0
2021-03-01,711.9,711.9,711.9,711.9,10763,BE,213.0,50.53,10763.0
2021-03-02,747.45,747.45,676.35,676.35,73562,BE,3000.0,24.52,73562.0
2021-03-03,642.55,642.55,642.55,642.55,13602,BE,713.0,19.08,13602.0
2021-03-04,610.45,674.0,610.45,658.9,81956,BE,3284.0,24.96,81956.0
2021-03-05,635.0,655.0,626.0,626.0,68537,BE,2060.0,33.27,68537.0
2021-03-08,626.0,626.0,594.7,604.45,41450,BE,2020.0,20.52,41450.0
2021-03-09,599.0,634.65,577.0,634.5,73458,BE,1998.0,36.77,73458.0
2021-03-10,646.0,646.0,624.0,631.55,15790,BE,861.0,18.34,15790.0
2021-03-12,635.0,640.0,602.2,604.9,40127,EQ,1902.0,21.1,30225.0
2021-03-15,610.0,610.0,555.6,577.6,33508,EQ,2266.0,14.79,20415.0
2021-03-16,587.3,587.3,560.25,580.3,27583,EQ,1503.0,18.35,20577.0
2021-03-17,592.0,599.0,578.05,587.85,39652,EQ,1410.0,28.12,31410.0
2021-03-18,598.4,599.0,572.0,578.65,12114,EQ,1125.0,10.77,7550.0
2021-03-19,578.6,654.0,558.1,616.4,83141,EQ,5556.0,14.96,38496.0
2021-03-22,623.4,664.7,617.0,645.55,67190,EQ,4939.0,13.6,34148.0
2021-03-23,649.0,660.0,620.0,629.05,22625,EQ,1803.0,12.55,13596.0
2021-03-24,626.0,639.35,593.95,603.85,15498,EQ,1261.0,12.29,10508.0
2021-03-25,599.0,609.9,585.95,597.2,16278,EQ,1654.0,9.84,8024.0
2021-03-26,618.95,618.95,590.0,601.7,5684,EQ,687.0,8.27,3566.0
2021-03-30,605.0,619.35,591.9,612.25,27762,EQ,1469.0,18.9,16597.0
2021-03-31,605.0,611.95,595.1,601.05,12690,EQ,555.0,22.86,9902.0
2021-04-01,609.1,615.0,583.0,601.5,10266,EQ,825.0,12.44,4868.0
