Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
1995-08-11,480.0,480.0,480.0,480.0,100,EQ,,,
1995-08-14,470.0,470.0,470.0,470.0,100,EQ,,,
1995-08-16,440.0,444.5,440.0,440.05,300,EQ,,,
1995-08-18,450.0,450.0,450.0,450.0,100,EQ,,,
1995-08-21,440.0,440.0,440.0,440.0,100,EQ,,,
1995-08-24,450.0,450.0,440.0,440.0,700,EQ,,,
1995-08-25,444.5,444.5,435.0,435.0,600,EQ,,,
1995-08-30,410.0,418.0,409.95,409.95,500,EQ,,,
1995-08-31,408.0,408.0,403.0,403.0,500,EQ,,,
1995-09-01,407.0,407.0,407.0,407.0,100,EQ,,,
1995-09-18,330.0,330.0,330.0,330.0,200,EQ,,,
1995-09-19,312.75,312.75,300.0,300.0,300,EQ,,,
1995-09-22,264.0,264.0,238.1,252.1,1100,EQ,,,
1995-09-25,275.0,275.0,270.0,270.0,600,EQ,,,
1995-09-26,295.0,319.0,290.0,302.5,1100,EQ,,,
1995-09-27,305.0,311.95,301.0,309.9,1100,EQ,,,
1995-09-28,292.0,292.0,290.0,290.0,600,EQ,,,
1995-09-29,275.0,275.0,265.15,267.0,1000,EQ,,,
1995-10-10,295.0,300.0,293.0,300.0,1500,EQ,,,
1995-10-11,285.0,295.0,285.0,291.55,1400,EQ,,,
1995-10-12,294.5,294.5,285.3,286.0,1300,EQ,,,
1995-10-13,285.0,285.0,268.5,269.0,1800,EQ,,,
1995-10-16,265.0,265.0,255.0,256.55,3200,EQ,,,
1995-10-17,256.55,256.0,250.0,255.0,2800,EQ,,,
1995-10-18,255.25,255.25,230.05,239.05,4200,EQ,,,
1995-10-19,239.05,245.0,230.0,244.5,2400,EQ,,,
1995-10-20,244.5,243.0,238.0,240.0,2900,EQ,,,
1995-10-23,240.0,241.0,237.5,239.5,1200,EQ,,,
1995-10-24,239.5,244.0,239.0,244.0,1900,EQ,,,
1995-10-25,241.0,241.0,226.0,227.7,1500,EQ,,,
1995-10-26,227.7,227.0,218.0,218.0,2200,EQ,,,
1995-10-27,218.0,218.75,214.0,215.95,2900,EQ,,,
1995-10-30,215.95,210.0,205.05,210.0,2400,EQ,,,
1995-10-31,210.0,212.0,205.0,211.5,2400,EQ,,,
1995-11-01,211.5,214.25,210.0,214.1,2100,EQ,,,
1995-11-10,178.0,179.95,170.3,171.75,3700,EQ,,,
1995-11-13,171.75,174.9,168.0,173.0,3200,EQ,,,
1995-11-14,173.0,178.75,170.0,177.45,4000,EQ,,,
1995-11-15,180.0,197.0,178.0,197.0,4800,EQ,,,
1995-11-16,197.0,210.0,198.0,205.3,4900,EQ,,,
1995-11-17,205.3,203.0,187.0,198.0,2700,EQ,,,
1995-11-20,198.0,196.0,180.0,181.95,3500,EQ,,,
1995-11-21,181.95,184.0,180.0,180.0,3800,EQ,,,
1995-11-22,181.0,181.0,175.0,176.95,3800,EQ,,,
1995-11-23,176.95,179.0,170.05,171.25,2500,EQ,,,
1995-11-24,170.0,179.5,170.0,177.0,2900,EQ,,,
1995-11-27,181.95,184.95,180.0,181.0,3100,EQ,,,
1995-11-28,181.0,180.5,176.0,178.4,2200,EQ,,,
1995-11-29,178.0,179.7,175.5,179.7,2400,EQ,,,
