Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2011-09-30,33.15,35.2,30.95,31.45,21182,,,
2011-10-03,30.35,31.25,30.35,30.9,529,,,
2011-10-04,30.05,30.95,30.05,30.85,262,,,
2011-10-05,30.15,30.8,30.15,30.15,222,,,
2011-10-07,30.8,31.05,29.85,29.85,10067,,,
2011-10-10,30.95,30.95,29.6,29.75,5357,,,
2011-10-11,33.05,33.35,29.35,29.75,3661,,,
2011-10-12,30.15,30.4,29.75,29.75,3215,,,
2011-10-13,29.85,30.4,29.35,29.75,2165,,,
2011-10-14,29.75,30.0,29.75,29.75,1230,,,
2011-10-17,29.85,30.15,29.8,29.85,1722,,,
2011-10-18,29.85,30.0,29.75,29.85,1609,,,
2011-10-19,29.85,29.85,29.55,29.75,710,,,
2011-10-20,29.75,29.85,29.75,29.75,1175,,,
2011-10-21,29.75,30.15,29.55,29.85,2348,,,
2011-10-24,29.85,30.65,29.85,30.65,11,,,
2011-10-25,30.4,30.4,30.4,30.4,10,,,
2011-10-26,29.35,30.55,29.35,30.55,205,,,
2011-10-28,30.95,31.35,30.65,30.7,259,,,
2011-10-31,31.35,31.75,30.65,31.2,489,,,
2011-11-01,30.95,30.95,30.95,30.95,50,,,
2011-11-02,30.85,30.85,30.05,30.25,725,,,
2011-11-03,30.0,30.65,30.0,30.05,1321,,,
2011-11-04,30.05,31.15,30.05,30.45,274,,,
2011-11-08,30.05,30.4,29.85,29.95,4887,,,
2011-11-09,30.55,31.85,30.25,31.55,1577,,,
2011-11-11,33.35,33.35,31.45,31.75,49202,,,
2011-11-14,31.6,31.65,29.65,31.0,4751,,,
2011-11-15,30.65,30.65,29.75,30.15,2475,,,
2011-11-16,29.6,30.4,29.6,30.4,42,,,
2011-11-17,32.0,32.0,29.6,29.8,400,,,
2011-11-18,28.75,29.6,28.75,28.8,1238,,,
2011-11-21,28.8,29.2,27.35,27.6,825,,,
2011-11-22,26.4,28.15,26.25,27.0,3447,,,
2011-11-23,26.95,28.65,26.65,28.65,1086,,,
2011-11-24,28.0,28.55,28.0,28.45,460,,,
2011-11-25,27.35,28.65,27.35,27.55,101,,,
2011-11-28,27.35,28.65,27.35,28.4,63,,,
2011-11-29,31.6,33.85,31.6,33.35,53893,,,
2011-11-30,27.35,33.3,27.35,30.85,3067,,,
2011-12-01,30.05,32.6,30.05,32.05,5170,,,
2011-12-02,30.95,31.45,30.95,31.45,511,,,
2011-12-05,30.8,31.35,30.4,31.25,1411,,,
2011-12-07,30.3,31.65,30.3,30.95,803,,,
2011-12-08,28.2,32.4,28.2,30.2,804,,,
2011-12-09,28.15,30.8,28.15,30.65,2054,,,
2011-12-12,31.75,31.75,28.95,29.3,4793,,,
2011-12-13,28.45,30.0,28.25,28.6,2179,,,
2011-12-14,28.25,28.7,28.0,28.5,2759,,,
2011-12-15,28.0,28.4,28.0,28.35,637,,,
2011-12-16,27.05,30.45,27.05,29.35,1185,,,
2011-12-19,26.25,28.15,26.25,28.1,6916,,,
2011-12-20,28.15,28.4,27.95,28.0,2096,,,
2011-12-21,29.2,29.2,29.2,29.2,1,,,
2011-12-22,28.65,29.35,28.65,28.65,263,,,
2011-12-23,23.45,31.2,23.45,30.55,329,,,
2011-12-26,29.75,29.95,29.75,29.8,64,,,
2011-12-27,29.35,32.0,29.35,31.85,1508,,,
2011-12-28,28.85,31.75,28.85,30.8,365,,,
2011-12-29,30.0,30.0,30.0,30.0,1,,,
2011-12-30,29.75,31.25,29.75,31.25,120,,,
2012-01-02,29.75,31.35,29.75,31.3,1161,,,
2012-01-03,30.65,32.0,30.65,31.8,688,,,
2012-01-05,30.0,31.7,30.0,30.25,126,,,
2012-01-06,31.35,31.55,30.25,31.55,561,,,
2012-01-09,31.85,31.85,31.85,31.85,18,,,
2012-01-10,32.55,32.55,32.0,32.0,365,,,
2012-01-11,32.0,32.0,31.65,32.0,833,,,
2012-01-12,32.0,32.15,31.75,31.85,300,,,
2012-01-13,32.0,32.65,32.0,32.4,368,,,
2012-01-16,31.35,32.55,31.35,32.55,303,,,
2012-01-17,32.8,32.8,32.65,32.65,900,,,
2012-01-18,32.15,33.0,31.85,32.35,254,,,
2012-01-19,31.45,32.55,31.45,32.25,34,,,
2012-01-20,31.8,31.8,31.8,31.8,25,,,
2012-01-23,32.0,32.0,31.55,31.75,311,,,
2012-01-24,30.65,33.05,30.65,31.15,529,,,
2012-01-25,32.0,32.0,32.0,32.0,1,,,
2012-01-27,31.25,32.0,31.25,32.0,55,,,
2012-01-30,31.6,31.6,31.35,31.55,1171,,,
2012-01-31,30.95,31.35,30.8,31.25,1123,,,
2012-02-01,32.65,32.65,30.95,31.35,195,,,
2012-02-02,31.35,31.95,31.35,31.95,145,,,
2012-02-03,31.95,32.6,31.95,32.55,130,,,
2012-02-06,31.35,32.55,31.35,31.75,1784,,,
2012-02-07,31.35,31.45,30.55,30.65,8809,,,
2012-02-08,34.4,34.4,30.0,30.2,1352,,,
2012-02-09,27.6,30.95,27.6,30.1,2172,,,
2012-02-10,27.85,32.55,27.85,29.75,209,,,
2012-02-13,28.25,30.55,28.25,30.0,312,,,
2012-02-14,27.1,28.15,25.85,26.15,10791,,,
2012-02-15,27.35,27.75,26.65,26.75,2044,,,
2012-02-16,27.2,27.3,26.8,26.95,793,,,
2012-02-17,27.35,27.35,26.8,26.85,1344,,,
2012-02-21,25.6,26.8,25.6,26.45,1124,,,
2012-02-22,26.65,26.65,26.0,26.05,752,,,
2012-02-23,26.15,26.15,25.65,25.65,251,,,
2012-02-24,26.25,26.55,26.25,26.35,317,,,
2012-02-28,24.8,26.9,23.45,26.75,253,,,
2012-02-29,27.3,27.45,26.15,26.4,1342,,,
2012-03-02,26.25,26.9,26.25,26.9,2550,,,
2012-03-05,25.95,26.25,25.9,26.1,176,,,
2012-03-06,26.25,26.8,26.0,26.15,60,,,
2012-03-07,26.0,26.0,26.0,26.0,35,,,
2012-03-09,26.15,26.15,26.15,26.15,300,,,
2012-03-12,26.15,26.15,25.35,25.6,2404,,,
2012-03-13,24.4,26.0,24.4,25.5,1126,,,
2012-03-14,26.0,26.0,25.6,26.0,53,,,
2012-03-15,25.65,25.85,25.45,25.85,75,,,
2012-03-16,25.85,25.85,25.2,25.75,30,,,
2012-03-20,25.05,25.05,25.05,25.05,50,,,
2012-03-21,25.05,25.35,24.65,24.65,152,,,
2012-03-22,24.0,25.15,24.0,24.8,203,,,
2012-03-23,24.25,24.8,24.25,24.8,60,,,
2012-03-26,24.8,24.8,24.8,24.8,23,,,
2012-03-27,24.55,24.55,24.55,24.55,122,,,
2012-03-28,24.8,24.8,24.8,24.8,180,,,
2012-03-29,24.0,24.6,24.0,24.05,305,,,
2012-03-30,24.0,24.55,24.0,24.4,629,,,
2012-04-02,26.1,26.1,24.95,25.75,46,,,
2012-04-03,25.35,25.35,25.05,25.05,20,,,
2012-04-04,25.95,25.95,25.05,25.35,149,,,
2012-04-09,26.0,26.0,25.35,25.35,192,,,
2012-04-10,25.2,25.2,25.2,25.2,100,,,
2012-04-11,24.3,25.35,24.3,24.9,230,,,
2012-04-12,24.65,25.35,24.4,24.6,394,,,
2012-04-16,24.8,24.85,24.7,24.7,101,,,
2012-04-17,25.95,25.95,25.95,25.95,4,,,
2012-04-18,24.65,25.3,24.65,25.3,90,,,
2012-04-19,25.2,25.6,24.8,24.85,182,,,
2012-04-20,24.75,25.75,24.15,24.25,1242,,,
2012-04-23,24.65,24.65,24.2,24.4,63,,,
2012-04-24,25.3,25.3,24.25,24.4,24,,,
2012-04-25,24.25,24.25,23.8,24.15,31,,,
2012-04-26,24.4,24.4,24.4,24.4,15,,,
2012-04-27,24.4,24.4,24.4,24.4,44,,,
2012-04-30,24.4,24.4,24.4,24.4,25,,,
2012-05-02,25.05,25.35,24.15,24.65,355,,,
2012-05-03,25.35,25.35,25.35,25.35,26,,,
2012-05-04,24.65,24.65,22.15,23.8,3958,,,
2012-05-07,23.35,24.9,21.75,23.75,2400,,,
2012-05-08,23.35,24.0,22.95,24.0,339,,,
2012-05-09,23.2,23.45,23.2,23.45,11,,,
2012-05-10,23.35,23.35,23.0,23.05,23,,,
2012-05-11,22.0,23.35,22.0,23.35,154,,,
2012-05-14,22.65,22.65,22.0,22.65,63,,,
2012-05-15,22.65,23.05,22.65,22.9,1682,,,
2012-05-16,22.65,23.05,22.6,22.65,2306,,,
2012-05-17,23.05,23.05,22.6,22.65,420,,,
2012-05-18,22.65,22.65,22.65,22.65,111,,,
2012-05-21,22.25,22.3,21.45,22.05,169,,,
2012-05-22,22.0,22.65,21.8,21.85,1672,,,
2012-05-23,20.75,22.25,20.75,21.35,100,,,
2012-05-24,21.35,21.35,21.05,21.3,478,,,
2012-05-25,20.75,21.05,20.25,20.55,1682,,,
2012-05-28,18.65,22.0,18.05,20.95,999,,,
2012-05-29,21.35,22.0,21.35,21.65,498,,,
2012-05-30,20.65,22.4,20.65,22.35,1158,,,
2012-05-31,20.75,22.45,20.0,21.25,854,,,
2012-06-01,22.4,22.4,20.65,20.8,275,,,
2012-06-04,20.0,20.95,19.45,20.45,1791,,,
2012-06-05,20.4,20.4,19.75,20.05,44,,,
2012-06-06,20.15,20.15,20.15,20.15,28,,,
2012-06-08,19.25,20.15,19.25,20.15,29,,,
2012-06-11,20.0,20.15,19.75,20.15,266,,,
2012-06-13,22.15,22.15,19.75,20.4,240,,,
2012-06-14,19.75,20.25,19.5,19.7,785,,,
2012-06-15,19.6,19.65,19.6,19.6,85,,,
2012-06-18,19.45,20.0,19.35,19.35,1511,,,
2012-06-19,19.35,19.35,19.35,19.35,21,,,
2012-06-20,19.45,19.5,19.35,19.35,300,,,
2012-06-21,19.6,19.95,19.4,19.95,1725,,,
2012-06-22,20.25,20.25,20.25,20.25,11,,,
2012-06-25,20.0,20.0,20.0,20.0,745,,,
2012-06-26,19.5,19.55,19.2,19.45,4925,,,
2012-06-28,19.6,19.6,19.6,19.6,100,,,
2012-06-29,19.75,19.75,19.55,19.7,310,,,
2012-07-03,20.0,21.2,20.0,20.5,323,,,
2012-07-04,19.7,21.6,19.7,20.95,315,,,
2012-07-05,20.95,21.6,20.95,21.6,588,,,
2012-07-09,21.0,21.55,21.0,21.55,390,,,
2012-07-10,21.35,22.25,21.35,21.65,487,,,
2012-07-11,22.15,22.25,22.15,22.25,120,,,
2012-07-12,20.65,22.55,20.65,22.25,15353,,,
2012-07-16,21.95,23.05,21.95,22.55,1309,,,
2012-07-17,22.55,24.15,22.55,23.25,1326,,,
2012-07-18,23.35,23.75,23.35,23.75,200,,,
2012-07-19,23.35,23.35,23.35,23.35,60,,,
2012-07-20,23.6,24.6,22.6,22.7,489,,,
2012-07-23,21.95,22.45,21.85,22.25,859,,,
2012-07-24,22.45,22.45,21.55,21.9,640,,,
2012-07-26,20.05,22.25,20.05,22.25,412,,,
2012-07-27,21.1,21.1,21.1,21.1,1,,,
2012-07-30,20.6,21.05,20.6,20.7,110,,,
2012-07-31,20.8,20.8,20.1,20.35,120,,,
2012-08-01,20.0,20.0,20.0,20.0,21,,,
2012-08-02,20.15,20.4,20.0,20.05,536,,,
2012-08-03,20.0,20.0,19.05,19.1,1454,,,
2012-08-06,19.55,19.75,19.2,19.35,1130,,,
2012-08-07,19.75,20.45,19.75,19.75,489,,,
2012-08-08,20.25,20.25,19.9,20.05,230,,,
2012-08-09,19.95,19.95,19.2,19.6,7438,,,
2012-08-10,19.4,19.4,18.6,19.25,3643,,,
2012-08-13,19.35,19.35,18.85,18.9,635,,,
2012-08-14,20.35,20.35,18.65,18.8,1349,,,
2012-08-16,18.8,19.35,18.4,19.1,3537,,,
2012-08-17,19.85,19.85,18.85,19.25,7536,,,
2012-08-21,20.55,20.55,19.25,19.35,7192,,,
2012-08-22,19.85,19.85,19.25,19.3,1054,,,
2012-08-23,20.0,20.0,19.25,19.3,308,,,
2012-08-24,18.7,18.7,18.7,18.7,14,,,
2012-08-27,18.45,18.95,18.4,18.65,1469,,,
2012-08-28,18.95,18.95,18.65,18.75,167,,,
2012-08-30,19.2,19.2,18.65,18.8,429,,,
2012-08-31,19.35,19.35,18.65,18.75,227,,,
2012-09-03,22.4,22.4,18.0,18.45,338,,,
2012-09-04,18.3,18.3,17.6,18.0,1283,,,
2012-09-05,17.6,17.85,17.5,17.6,4570,,,
2012-09-06,18.5,18.55,17.55,18.05,423,,,
2012-09-07,18.55,18.55,18.0,18.45,13646,,,
2012-09-10,18.65,18.65,17.65,18.05,1020,,,
2012-09-11,18.4,18.4,17.95,18.0,2003,,,
2012-09-12,18.0,18.25,17.95,18.0,4129,,,
2012-09-13,18.0,18.05,18.0,18.05,110,,,
2012-09-14,18.0,18.65,17.85,18.3,6063,,,
2012-09-17,18.55,18.55,18.05,18.25,75,,,
2012-09-18,18.0,18.4,18.0,18.25,54,,,
2012-09-20,18.0,18.65,17.85,18.3,175,,,
2012-09-21,18.0,18.0,18.0,18.0,19,,,
2012-09-24,18.0,20.0,18.0,19.25,1480,,,
2012-09-25,19.25,19.8,19.25,19.45,112,,,
2012-09-26,19.45,19.75,19.45,19.45,1059,,,
2012-09-27,19.05,19.6,19.05,19.45,117,,,
2012-09-28,19.35,19.35,19.05,19.35,1483,,,
2012-10-01,18.75,20.25,18.75,19.6,1952,,,
2012-10-03,19.5,19.75,19.2,19.3,3925,,,
2012-10-04,19.35,19.6,19.2,19.35,578,,,
2012-10-05,19.05,19.6,19.0,19.6,210,,,
2012-10-08,19.45,19.45,19.15,19.4,3035,,,
2012-10-09,19.45,20.65,19.45,20.3,3895,,,
2012-10-10,20.3,20.75,20.05,20.1,268,,,
2012-10-11,20.15,20.6,20.15,20.35,605,,,
2012-10-12,20.4,20.75,20.4,20.55,580,,,
2012-10-15,20.4,21.35,20.4,21.0,268,,,
2012-10-16,20.55,20.55,20.55,20.55,50,,,
2012-10-17,20.6,20.6,20.25,20.3,348,,,
2012-10-18,20.65,20.65,19.75,20.6,217,,,
2012-10-19,20.6,20.6,20.25,20.3,260,,,
2012-10-22,20.45,20.45,20.1,20.1,129,,,
2012-10-25,20.1,20.25,20.05,20.05,291,,,
2012-10-26,19.75,20.5,19.75,20.5,55,,,
2012-10-29,20.55,20.55,20.55,20.55,11,,,
