Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2016-10-18,22.0,24.5,21.0,22.9,1584000,,,
2016-10-19,25.95,26.0,22.9,23.4,48000,,,
2016-10-20,23.9,24.0,22.9,23.5,24000,,,
2016-10-21,23.0,23.0,23.0,23.0,6000,,,
2016-10-24,23.0,23.0,22.5,22.5,12000,,,
2016-10-27,22.25,22.25,22.0,22.0,24000,,,
2016-10-28,22.0,22.0,22.0,22.0,12000,,,
2016-10-30,22.4,22.4,22.4,22.4,6000,,,
2016-11-01,22.0,22.0,22.0,22.0,42000,,,
2016-11-02,22.0,22.0,22.0,22.0,6000,,,
2016-11-03,22.0,22.0,22.0,22.0,6000,,,
2016-11-04,22.0,23.1,22.0,23.0,138000,,,
2016-11-09,22.0,22.0,20.15,21.95,18000,,,
2016-11-11,22.75,22.75,22.0,22.0,36000,,,
2016-11-15,22.0,22.0,22.0,22.0,6000,,,
2016-11-16,22.75,22.75,22.75,22.75,6000,,,
2016-11-21,22.0,22.0,22.0,22.0,6000,,,
2016-12-30,21.5,21.5,21.5,21.5,6000,,,
2017-01-02,21.0,21.0,20.9,20.9,24000,,,
2017-01-03,20.5,21.0,20.5,21.0,24000,,,
2017-01-04,21.0,21.0,21.0,21.0,6000,,,
2017-01-05,21.05,21.05,21.0,21.0,84000,,,
2017-01-10,21.0,21.0,21.0,21.0,6000,,,
2017-01-16,21.0,21.0,21.0,21.0,102000,,,
2017-01-18,22.0,22.0,22.0,22.0,18000,,,
2017-01-27,21.2,21.2,21.0,21.0,84000,,,
2017-02-03,21.25,21.25,21.15,21.15,96000,,,
2017-02-15,20.75,20.75,20.75,20.75,6000,,,
2017-02-16,20.75,20.75,20.75,20.75,6000,,,
2017-03-15,21.0,21.0,21.0,21.0,12000,,,
2017-03-22,21.0,21.0,17.5,20.5,24000,,,
2017-03-27,20.0,20.0,20.0,20.0,6000,,,
2017-03-28,20.0,20.0,20.0,20.0,6000,,,
2017-03-30,20.05,20.05,20.05,20.05,6000,,,
2017-05-02,22.0,22.0,22.0,22.0,6000,,,
2017-05-08,21.75,21.75,21.75,21.75,6000,,,
2017-05-23,21.5,21.5,21.5,21.5,6000,,,
2017-05-24,21.0,21.0,21.0,21.0,6000,,,
2017-05-29,21.8,21.8,21.8,21.8,6000,,,
2017-06-14,22.45,22.45,22.45,22.45,6000,,,
2017-07-05,22.0,22.0,22.0,22.0,6000,,,
2017-08-01,20.25,20.25,20.25,20.25,6000,,,
2017-09-07,18.75,21.25,18.75,20.5,24000,,,
2017-09-18,20.75,20.75,20.75,20.75,6000,,,
2017-09-20,21.75,21.75,21.75,21.75,6000,,,
2017-10-17,20.25,20.25,20.25,20.25,6000,,,
2017-11-09,18.3,18.3,18.3,18.3,6000,,,
2017-11-28,18.5,18.5,18.5,18.5,6000,,,
2017-12-27,18.0,18.0,18.0,18.0,18000,,,
2017-12-29,16.25,16.5,16.25,16.5,12000,,,
2018-01-01,17.5,19.8,17.5,19.8,24000,,,
2018-01-02,21.6,23.75,21.6,23.75,30000,,,
2018-01-03,23.75,23.75,23.75,23.75,6000,,,
2018-01-08,23.0,23.0,23.0,23.0,6000,,,
2018-01-10,23.25,23.25,23.25,23.25,6000,,,
2018-01-11,23.4,23.4,23.4,23.4,6000,,,
2018-01-19,23.15,23.15,23.15,23.15,6000,,,
2018-01-30,23.0,23.0,23.0,23.0,6000,,,
2018-02-02,21.25,21.25,21.25,21.25,6000,,,
2018-02-08,20.2,20.2,20.2,20.2,6000,,,
2018-02-27,20.75,20.75,20.75,20.75,12000,,,
2018-02-28,19.75,19.75,19.75,19.75,6000,,,
2018-04-10,20.5,20.7,20.5,20.7,12000,,,
2018-04-11,21.7,21.7,21.7,21.7,6000,,,
2018-04-12,22.75,22.75,22.75,22.75,6000,,,
2018-04-13,23.5,23.5,23.5,23.5,6000,,,
2018-04-25,24.5,24.5,24.5,24.5,6000,,,
2018-04-26,24.0,25.25,23.5,25.25,24000,,,
2018-04-27,24.0,25.2,24.0,25.2,18000,,,
2018-04-30,25.0,26.0,24.5,24.5,36000,,,
2018-05-03,25.5,25.7,25.5,25.7,24000,,,
