Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2020-01-27,5.4,5.65,5.4,5.65,6563,BE,197.0,33.31,6563.0
2020-01-28,5.95,5.95,5.95,5.95,1821,BE,144.0,12.65,1821.0
2020-01-29,6.25,6.25,6.25,6.25,2393,BE,102.0,23.46,2393.0
2020-01-30,6.55,6.55,6.55,6.55,2364,BE,66.0,35.82,2364.0
2020-01-31,6.85,6.85,6.85,6.85,527,BE,54.0,9.76,527.0
2020-02-03,7.55,7.55,7.55,7.55,513,BE,58.0,8.84,513.0
2020-02-04,7.9,7.9,7.9,7.9,708,BE,52.0,13.62,708.0
2020-02-05,8.3,8.3,8.3,8.3,265,BE,32.0,8.28,265.0
2020-02-06,8.7,8.7,8.7,8.7,524,BE,46.0,11.39,524.0
2020-02-07,9.55,9.55,9.55,9.55,693,EQ,45.0,15.4,693.0
2020-02-10,10.5,10.5,10.5,10.5,630,EQ,49.0,12.86,630.0
2020-02-11,11.55,11.55,11.55,11.55,1323,EQ,67.0,19.75,1323.0
2020-02-12,12.1,12.1,12.1,12.1,363,EQ,36.0,10.08,363.0
2020-02-13,12.7,12.7,12.7,12.7,793,EQ,54.0,14.69,793.0
2020-02-14,13.35,13.35,13.35,13.35,1908,EQ,49.0,38.94,1908.0
2020-02-17,14.0,14.0,14.0,14.0,213,EQ,43.0,4.95,213.0
2020-02-18,14.7,14.7,14.7,14.7,946,EQ,41.0,23.07,946.0
2020-02-19,15.45,15.45,15.45,15.45,394,EQ,36.0,10.94,394.0
2020-02-20,16.2,16.2,16.2,16.2,1652,EQ,48.0,34.42,1652.0
2020-02-24,17.0,17.0,17.0,17.0,523,EQ,42.0,12.45,523.0
2020-02-25,17.85,17.85,17.85,17.85,245,EQ,33.0,7.42,245.0
2020-02-26,18.75,18.75,18.75,18.75,387,EQ,22.0,17.59,387.0
2020-02-27,19.7,19.7,19.7,19.7,246,EQ,36.0,6.83,246.0
2020-02-28,20.65,20.65,20.65,20.65,749,EQ,51.0,14.69,749.0
2020-03-02,21.7,21.7,21.7,21.7,1224,EQ,39.0,31.38,1224.0
2020-03-03,22.8,22.8,22.8,22.8,430,EQ,36.0,11.94,430.0
2020-03-04,23.9,23.9,23.9,23.9,696,BE,26.0,26.77,696.0
2020-03-05,25.1,25.1,25.1,25.1,1344,BE,47.0,28.6,1344.0
2020-03-06,26.35,26.35,26.35,26.35,723,BE,57.0,12.68,723.0
2020-03-09,27.65,27.65,27.65,27.65,912,BE,72.0,12.67,912.0
2020-03-11,29.05,29.05,29.05,29.05,564,BE,44.0,12.82,564.0
2020-03-12,30.5,30.5,30.5,30.5,6308,BE,80.0,78.85,6308.0
2020-03-13,32.0,32.0,32.0,32.0,1948,BE,100.0,19.48,1948.0
2020-03-16,33.6,33.6,33.6,33.6,917,BE,63.0,14.56,917.0
2020-03-17,35.3,35.3,35.3,35.3,538,BE,50.0,10.76,538.0
2020-03-18,37.05,37.05,37.05,37.05,1979,BE,64.0,30.92,1979.0
2020-03-19,38.9,38.9,38.9,38.9,1355,BE,72.0,18.82,1355.0
2020-03-20,40.8,40.8,40.8,40.8,6193,BE,233.0,26.58,6193.0
2020-03-23,42.85,42.85,42.85,42.85,9096,BE,90.0,101.07,9096.0
2020-03-24,45.0,45.0,45.0,45.0,2426,BE,53.0,45.77,2426.0
2020-03-25,47.2,47.2,47.2,47.2,1009,BE,46.0,21.93,1009.0
2020-03-26,49.55,49.55,49.55,49.55,272,BE,34.0,8.0,272.0
2020-03-27,52.05,52.05,52.05,52.05,677,BE,40.0,16.92,677.0
2020-03-30,54.65,54.65,54.65,54.65,321,BE,31.0,10.35,321.0
2020-03-31,57.35,57.35,57.35,57.35,488,BE,40.0,12.2,488.0
2020-04-01,60.2,60.2,60.2,60.2,346,BE,30.0,11.53,346.0
2020-04-03,63.2,63.2,63.2,63.2,930,BE,41.0,22.68,930.0
2020-04-07,66.35,66.35,66.35,66.35,221,BE,40.0,5.52,221.0
2020-04-08,69.7,69.7,69.7,69.7,512,BE,37.0,13.84,512.0
2020-04-09,73.15,73.15,73.15,73.15,327,BE,39.0,8.38,327.0
2020-04-13,76.8,76.8,76.8,76.8,494,BE,,,
2020-04-15,80.65,80.65,80.65,80.65,359,BE,39.0,9.21,359.0
2020-04-16,84.65,84.65,84.65,84.65,1084,BE,41.0,26.44,1084.0
2020-04-17,88.9,88.9,88.9,88.9,616,BE,48.0,12.83,616.0
