Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2023-07-07,130.0,130.0,123.5,123.5,808000,338.0,2390.53,804000.0
2023-07-10,117.35,117.35,117.35,117.35,18000,8.0,2250.0,18000.0
2023-07-11,111.5,111.5,111.5,111.5,14000,6.0,2333.33,14000.0
2023-07-12,105.95,105.95,105.95,105.95,24000,11.0,2181.82,24000.0
2023-07-13,100.65,110.85,100.65,107.8,384000,182.0,2109.89,328000.0
2023-07-14,103.5,113.15,103.1,113.15,116000,52.0,2230.77,108000.0
2023-07-17,118.8,118.8,116.0,118.8,194000,75.0,2586.67,168000.0
2023-07-18,120.4,124.0,116.0,120.0,122000,60.0,2033.33,116000.0
2023-07-19,120.0,126.0,119.05,126.0,116000,57.0,2035.09,116000.0
2023-07-20,130.0,132.3,130.0,132.3,132000,45.0,2933.33,130000.0
2023-07-21,128.5,133.0,126.25,129.0,108000,52.0,2076.92,70000.0
2023-07-24,129.0,129.0,121.1,122.15,90000,44.0,2045.45,62000.0
2023-07-25,120.8,125.95,120.8,124.2,52000,26.0,2000.0,38000.0
2023-07-26,126.0,126.0,121.1,121.5,40000,20.0,2000.0,32000.0
2023-07-27,119.65,119.8,116.0,116.0,32000,16.0,2000.0,28000.0
2023-07-28,116.0,122.95,116.0,121.8,18000,9.0,2000.0,14000.0
2023-07-31,121.95,124.8,121.0,122.35,122000,17.0,7176.47,116000.0
2023-08-01,121.2,122.6,121.2,122.5,14000,6.0,2333.33,14000.0
2023-08-02,123.0,123.0,119.2,119.2,14000,7.0,2000.0,14000.0
2023-08-03,119.2,122.5,118.25,118.25,16000,8.0,2000.0,10000.0
2023-08-04,118.25,118.25,116.05,116.05,34000,13.0,2615.38,30000.0
2023-08-07,115.05,120.0,115.0,120.0,22000,11.0,2000.0,20000.0
2023-08-08,120.0,120.0,119.0,119.0,8000,4.0,2000.0,8000.0
2023-08-09,115.0,118.0,114.0,114.0,12000,6.0,2000.0,10000.0
2023-08-10,111.35,112.0,110.0,111.15,8000,4.0,2000.0,8000.0
2023-08-11,111.5,113.5,110.15,113.5,24000,12.0,2000.0,24000.0
2023-08-14,114.5,114.5,114.5,114.5,2000,1.0,2000.0,2000.0
2023-08-16,116.9,116.9,112.0,115.5,10000,5.0,2000.0,10000.0
2023-08-17,110.0,132.4,106.25,129.55,144000,69.0,2086.96,106000.0
2023-08-18,134.3,137.0,130.0,130.25,120000,60.0,2000.0,74000.0
2023-08-21,138.8,138.8,130.25,136.7,62000,30.0,2066.67,54000.0
2023-08-22,132.0,132.0,123.1,125.65,92000,38.0,2421.05,76000.0
2023-08-23,126.65,130.9,126.0,127.0,14000,7.0,2000.0,10000.0
2023-08-24,130.0,130.0,126.0,127.0,18000,9.0,2000.0,18000.0
2023-08-25,137.95,137.95,129.0,135.1,52000,25.0,2080.0,48000.0
2023-08-28,136.0,153.95,134.0,152.15,144000,67.0,2149.25,112000.0
2023-08-29,154.9,155.5,145.0,146.0,50000,25.0,2000.0,40000.0
2023-08-30,154.5,166.7,150.0,155.0,76000,38.0,2000.0,62000.0
2023-08-31,155.0,155.0,155.0,155.0,2000,1.0,2000.0,2000.0
2023-09-01,157.5,164.0,155.0,155.0,16000,8.0,2000.0,16000.0
2023-09-04,136.0,151.0,136.0,148.0,42000,21.0,2000.0,26000.0
2023-09-05,148.0,148.0,141.15,142.2,68000,23.0,2956.52,58000.0
2023-09-06,140.15,147.95,138.0,139.1,68000,23.0,2956.52,60000.0
2023-09-07,137.25,138.3,137.25,138.0,10000,5.0,2000.0,10000.0
2023-09-08,137.0,140.0,137.0,139.65,10000,5.0,2000.0,10000.0
2023-09-11,138.0,138.0,133.2,137.7,8000,4.0,2000.0,6000.0
2023-09-12,130.0,130.0,120.95,123.85,102000,34.0,3000.0,68000.0
2023-09-13,123.85,126.9,123.85,126.9,8000,4.0,2000.0,8000.0
2023-09-14,125.5,125.5,125.5,125.5,4000,2.0,2000.0,4000.0
2023-09-15,123.0,123.0,122.65,122.8,4000,2.0,2000.0,4000.0
2023-09-18,126.35,129.85,126.0,127.3,14000,7.0,2000.0,14000.0
2023-09-20,123.0,126.0,123.0,125.0,6000,3.0,2000.0,6000.0
2023-09-21,124.0,124.0,118.0,120.0,8000,4.0,2000.0,8000.0
2023-09-22,120.0,120.0,120.0,120.0,2000,1.0,2000.0,2000.0
2023-09-25,116.1,116.1,116.1,116.1,2000,1.0,2000.0,2000.0
2023-09-26,116.1,116.1,110.1,112.25,22000,11.0,2000.0,20000.0
2023-09-27,115.0,115.0,115.0,115.0,2000,1.0,2000.0,2000.0
2023-09-28,115.0,118.0,115.0,118.0,6000,3.0,2000.0,6000.0
2023-10-03,118.0,120.0,118.0,120.0,4000,2.0,2000.0,4000.0
2023-10-04,113.2,113.8,113.2,113.8,4000,2.0,2000.0,4000.0
2023-10-06,110.0,117.0,110.0,117.0,16000,8.0,2000.0,12000.0
2023-10-10,113.1,117.0,113.1,117.0,16000,5.0,3200.0,16000.0
2023-10-11,112.2,120.0,112.2,118.55,16000,8.0,2000.0,14000.0
2023-10-12,120.0,120.0,115.0,119.0,12000,6.0,2000.0,12000.0
2023-10-13,115.0,117.65,115.0,117.65,4000,2.0,2000.0,4000.0
2023-10-17,111.2,116.0,110.0,113.2,26000,13.0,2000.0,16000.0
2023-10-18,114.0,114.0,112.5,112.7,10000,5.0,2000.0,10000.0
2023-10-23,112.0,112.0,112.0,112.0,6000,3.0,2000.0,6000.0
2023-10-25,115.0,115.0,115.0,115.0,2000,1.0,2000.0,2000.0
2023-10-26,114.0,114.0,107.2,107.2,10000,5.0,2000.0,10000.0
2023-10-27,108.05,109.95,108.0,109.95,6000,3.0,2000.0,6000.0
2023-10-30,109.95,109.95,109.0,109.0,2000,2.0,1000.0,1000.0
2023-10-31,110.1,112.5,108.1,108.1,5000,5.0,1000.0,4000.0
2023-11-01,117.0,117.0,110.0,112.0,7000,7.0,1000.0,5000.0
