Date,Open,High,Low,Close,Volume
2023-05-17,93.45,93.45,84.55,84.95,456396
2023-05-18,87.0,89.15,81.4,89.05,70298
2023-05-19,92.95,92.95,84.6,84.6,305895
2023-05-22,86.25,86.25,80.4,80.4,220653
2023-05-23,81.75,81.9,76.4,81.7,32624
2023-05-24,81.45,85.75,77.65,77.75,115723
2023-05-25,74.3,80.95,73.9,73.9,81056
2023-05-26,72.0,77.55,70.2,77.55,146028
2023-05-29,78.5,80.65,73.7,76.6,103371
2023-05-30,76.6,80.0,73.7,79.4,53568
2023-05-31,80.9,80.9,75.45,75.45,294187
2023-06-01,71.7,71.7,71.7,71.7,38670
2023-06-02,68.15,73.0,68.15,68.15,91758
2023-06-05,64.75,64.75,64.75,64.75,41321
2023-06-06,61.55,67.95,61.55,67.95,646839
2023-06-07,66.95,71.0,65.1,67.05,84281
2023-06-08,66.4,73.75,66.4,72.25,331218
2023-06-09,71.5,78.7,65.05,65.05,1187795
2023-06-12,60.3,62.8,58.55,58.55,742596
2023-06-13,60.0,60.7,53.75,54.85,151083
2023-06-14,54.95,60.3,54.95,60.2,193603
2023-06-15,59.9,64.95,56.95,61.6,123983
2023-06-16,62.85,65.1,59.25,60.05,81794
2023-06-19,60.6,61.9,55.15,58.25,231462
2023-06-20,57.2,57.75,55.9,57.1,52603
2023-06-21,57.0,58.6,55.25,55.8,57034
2023-06-22,56.85,57.75,54.0,54.75,31727
2023-06-23,56.9,56.9,52.55,53.1,31316
2023-06-26,54.95,54.95,50.05,51.45,63892
2023-06-27,50.0,51.0,46.3,46.3,459261
2023-06-28,45.45,45.45,44.0,44.0,238192
2023-06-30,42.5,42.55,41.8,41.8,131515
2023-07-03,39.75,43.85,39.75,43.85,183358
2023-07-04,45.5,46.0,41.65,46.0,430684
2023-07-05,46.75,47.4,44.9,46.5,25990
2023-07-06,45.95,47.0,45.1,45.6,17564
2023-07-07,45.6,46.7,43.6,44.25,12089
2023-07-10,44.95,45.6,44.25,44.5,8879
2023-07-11,44.5,45.3,42.65,43.3,29761
2023-07-12,43.5,44.65,41.15,42.1,32213
2023-07-13,42.5,42.85,41.2,41.45,13716
2023-07-14,41.5,42.2,40.3,41.15,19561
2023-07-17,41.15,41.85,41.0,41.45,10323
2023-07-18,43.45,43.45,39.4,40.25,33496
2023-07-19,41.4,41.4,38.95,40.0,8584
2023-07-20,40.85,40.85,38.95,39.2,9622
2023-07-21,40.1,40.1,38.65,39.35,11889
