Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2010-06-30,46.25,73.75,46.25,73.75,410,,,
2010-07-01,88.5,88.5,88.5,88.5,1650,,,
2010-07-02,106.2,106.2,106.2,106.2,500,,,
2010-07-05,116.85,116.85,116.85,116.85,188,,,
2010-07-06,128.55,128.55,128.55,128.55,172,,,
2010-07-07,141.45,141.45,141.45,141.45,1,,,
2010-07-08,148.55,148.55,148.55,148.55,103,,,
2010-07-09,156.0,156.0,156.0,156.0,376,,,
2010-07-12,163.8,163.8,163.8,163.8,283,,,
2010-07-13,172.0,172.0,172.0,172.0,1094,,,
2010-07-14,180.6,180.6,180.6,180.6,334,,,
2010-07-15,189.65,189.65,189.65,189.65,737,,,
2010-07-16,199.15,199.15,181.0,199.15,14186,,,
2010-07-19,206.0,209.15,195.5,200.0,13479,,,
2010-07-20,191.0,198.45,186.7,186.7,5377,,,
2010-07-21,185.0,185.0,177.4,177.4,5409,,,
2010-07-22,168.55,172.5,168.55,168.55,4859,,,
2010-07-23,160.2,168.55,160.15,160.15,6457,,,
2010-07-26,160.0,161.0,154.95,155.6,5229,,,
2010-07-27,156.25,158.0,150.0,151.45,2940,,,
2010-07-28,150.0,151.8,146.0,150.15,5724,,,
2010-07-29,151.9,152.0,147.9,148.25,1715,,,
2010-07-30,146.25,154.8,146.25,149.35,3023,,,
2010-08-02,151.75,151.75,145.0,145.0,571,,,
2010-08-03,142.55,152.25,138.25,150.8,11750,,,
2010-08-04,145.5,152.0,145.5,148.45,3934,,,
2010-08-05,146.1,155.0,146.1,155.0,902,,,
2010-08-06,154.0,157.0,151.05,151.3,714,,,
2010-08-09,150.25,156.0,150.25,153.0,2666,,,
2010-08-10,155.0,155.0,150.1,153.9,399,,,
2010-08-11,150.6,153.4,150.15,150.3,2412,,,
2010-08-12,144.25,152.5,144.25,150.05,504,,,
2010-08-13,152.0,152.5,147.2,147.65,755,,,
2010-08-16,142.1,146.95,142.0,143.75,675,,,
2010-08-17,140.0,147.0,140.0,143.6,162,,,
2010-08-18,149.9,149.9,138.25,140.0,1817,,,
2010-08-19,143.0,145.0,140.35,140.7,237,,,
2010-08-20,140.65,143.0,140.6,141.0,341,,,
2010-08-23,146.0,146.0,141.0,143.3,800,,,
2010-08-24,149.0,149.0,141.0,141.2,842,,,
2010-08-25,141.0,143.8,136.55,139.95,592,,,
2010-08-26,144.85,144.85,135.0,137.15,384,,,
2010-08-27,144.05,144.05,135.1,137.05,327,,,
2010-08-30,141.75,141.75,137.5,137.5,151,,,
2010-08-31,140.0,140.0,133.0,134.0,1041,,,
2010-09-01,133.15,137.75,130.0,131.0,1066,,,
2010-09-02,134.0,136.0,132.0,134.6,1555,,,
2010-09-03,135.0,137.0,135.0,137.0,385,,,
2010-09-06,141.7,141.7,139.0,140.05,262,,,
2010-09-07,142.1,147.0,138.5,146.55,1230,,,
2010-09-08,147.0,148.8,137.25,144.2,818,,,
2010-09-09,154.75,154.75,143.6,145.3,1276,,,
2010-09-13,147.45,150.0,147.0,148.9,732,,,
2010-09-14,143.0,149.0,143.0,145.85,375,,,
2010-09-15,151.0,155.0,140.65,153.95,3597,,,
2010-09-16,160.0,169.35,160.0,163.35,14801,,,
2010-09-17,166.9,166.9,158.1,160.45,1713,,,
2010-09-20,163.9,163.9,160.05,162.1,1953,,,
2010-09-21,169.0,170.0,162.5,164.2,4253,,,
2010-09-22,158.5,163.0,158.1,159.55,2259,,,
2010-09-23,159.0,161.85,158.55,160.0,682,,,
2010-09-24,160.0,162.5,160.0,160.05,939,,,
2010-09-27,159.0,159.45,159.0,159.45,594,,,
2010-09-28,157.35,160.0,147.15,151.4,684,,,
2010-09-29,156.35,156.35,150.0,155.4,1550,,,
2010-09-30,159.9,159.9,153.0,155.9,29,,,
2010-10-01,148.35,154.75,148.35,150.05,310,,,
2010-10-04,146.0,159.0,146.0,154.75,569,,,
2010-10-05,141.0,157.9,141.0,154.9,3463,,,
2010-10-06,149.0,155.0,148.0,154.9,1150,,,
2010-10-07,150.3,155.9,150.0,150.45,1479,,,
2010-10-08,162.75,162.75,147.0,150.75,279,,,
2010-10-11,161.0,161.0,148.0,154.85,1455,,,
2010-10-12,158.9,158.9,154.0,157.5,42268,,,
2010-10-13,158.9,162.0,156.5,160.15,32674,,,
2010-10-14,167.0,167.0,156.75,160.35,1061,,,
2010-10-15,164.75,164.75,155.1,158.5,722,,,
2010-10-18,165.75,165.75,156.35,160.05,14300,,,
2010-10-19,160.0,161.5,157.5,160.75,480,,,
2010-10-20,160.75,172.75,160.1,160.1,221,,,
2010-10-21,168.0,168.0,153.0,155.2,1765,,,
2010-10-22,158.45,158.45,155.3,155.3,181,,,
2010-10-25,165.0,165.0,155.2,157.5,557,,,
2010-10-26,156.5,156.5,156.5,156.5,200,,,
2010-10-27,165.0,165.0,155.0,155.35,374,,,
2010-10-28,164.0,164.0,151.0,151.25,520,,,
2010-10-29,156.5,156.5,145.35,149.0,910,,,
2010-11-01,152.0,152.95,150.0,150.0,152,,,
2010-11-02,145.5,153.0,145.5,147.6,478,,,
2010-11-03,147.0,150.0,140.8,147.95,1055,,,
2010-11-04,146.25,154.0,146.15,150.65,1269,,,
2010-11-08,149.0,149.0,140.35,142.75,2165,,,
2010-11-09,140.75,146.45,140.75,144.4,618,,,
2010-11-10,142.4,149.45,142.4,146.45,30,,,
2010-11-11,140.0,150.1,140.0,147.6,1356,,,
2010-11-12,150.0,152.4,146.0,146.55,2037,,,
2010-11-15,143.0,152.6,143.0,145.0,549,,,
2010-11-16,146.5,146.5,141.0,141.1,2480,,,
2010-11-18,140.0,149.5,140.0,140.35,83,,,
2010-11-19,142.25,143.0,138.0,142.9,425,,,
2010-11-22,151.8,151.8,137.0,137.0,11,,,
2010-11-23,150.0,150.0,137.25,137.95,185,,,
2010-11-24,147.0,148.0,135.0,139.15,485,,,
2010-11-25,141.1,141.1,141.1,141.1,50,,,
2010-11-26,140.0,152.7,137.0,139.6,2056,,,
2010-11-29,137.0,147.9,133.0,144.8,227,,,
2010-11-30,138.1,144.95,123.2,128.15,355,,,
2010-12-01,144.7,144.7,135.0,137.2,1342,,,
2010-12-02,135.7,135.7,135.25,135.25,150,,,
2010-12-03,130.5,134.0,130.5,134.0,25,,,
2010-12-06,143.9,143.9,139.0,139.0,187,,,
2010-12-07,130.5,145.0,130.5,143.95,504,,,
2010-12-08,137.45,139.6,137.45,138.65,385,,,
2010-12-09,143.95,143.95,143.95,143.95,250,,,
2010-12-10,130.0,140.0,130.0,133.0,61,,,
2010-12-13,135.5,140.0,133.2,140.0,160,,,
2010-12-14,140.0,140.0,140.0,140.0,109,,,
2010-12-15,135.5,135.5,135.5,135.5,200,,,
2010-12-16,133.1,144.95,133.1,144.95,201,,,
2010-12-20,130.45,139.35,130.45,139.3,104,,,
2010-12-21,134.15,140.0,134.0,139.7,295,,,
2010-12-22,142.0,142.0,137.8,139.6,271,,,
2010-12-24,140.0,140.0,140.0,140.0,20,,,
2010-12-27,135.0,145.5,132.2,143.45,561,,,
2010-12-28,142.05,145.9,138.5,145.05,1874,,,
2010-12-29,141.05,145.0,140.65,145.0,640,,,
2010-12-30,142.25,144.0,142.2,144.0,160,,,
2010-12-31,145.0,150.5,145.0,150.0,2290,,,
2011-01-03,150.0,154.8,148.0,148.1,751,,,
