Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2024-09-03,990.0,994.55,802.1,839.9,58922092,EQ,1142687,51.56,27485465
2024-09-04,816.6,872.65,803.05,841.9,11523876,EQ,288799,39.9,2904922
2024-09-05,856.1,1010.25,852.2,1004.8,36818046,EQ,644192,57.15,7767799
2024-09-06,1010.0,1188.9,982.0,1096.05,44767796,EQ,854229,52.41,5620611
2024-09-09,1120.0,1235.0,1105.0,1208.65,28659020,EQ,683776,41.91,3523851
2024-09-10,1240.0,1267.95,1111.9,1173.7,22676122,EQ,473316,47.91,3286781
2024-09-11,1154.2,1167.95,1082.65,1098.1,8804576,EQ,208391,42.25,1573056
2024-09-12,1111.0,1157.7,1085.0,1132.5,8259315,EQ,162498,50.83,1253192
2024-09-13,1142.9,1144.0,1096.45,1112.15,3507316,EQ,84116,41.7,819243
2024-09-16,1110.0,1124.0,1045.0,1109.85,5561217,EQ,156215,35.6,1110384
2024-09-17,1104.5,1128.7,1082.65,1113.3,3828734,EQ,86137,44.45,674160
2024-09-18,1122.9,1148.6,1090.0,1134.85,3803064,EQ,98804,38.49,1011631
2024-09-19,1145.0,1157.35,1075.0,1099.1,3699807,EQ,106288,34.81,878232
2024-09-20,1140.0,1140.0,1100.2,1109.2,1730908,EQ,40579,42.66,504361
2024-09-23,1116.0,1120.0,1080.0,1090.9,1625670,EQ,46534,34.94,482794
2024-09-24,1083.9,1087.85,1062.35,1077.1,1541568,EQ,45642,33.78,490414
2024-09-25,1070.3,1073.0,1024.0,1036.35,2041656,EQ,65308,31.26,669236
2024-09-26,1029.0,1086.35,1017.0,1049.35,3779481,EQ,97805,38.64,818241
2024-09-27,1035.1,1077.0,1032.0,1051.65,1876970,EQ,45977,40.82,408632
2024-09-30,1045.0,1091.0,1012.05,1082.9,4677852,EQ,81868,57.14,2245563
2024-10-01,1080.0,1122.0,1068.15,1109.35,3881983,EQ,85632,45.33,1007207
2024-10-03,1084.0,1093.65,1056.05,1080.45,3090856,EQ,63500,48.67,1429196
2024-10-04,1066.0,1103.9,1030.3,1047.4,2277332,EQ,52833,43.1,590352
2024-10-07,1045.75,1059.2,977.7,997.2,2917540,EQ,86524,33.72,1074263
2024-10-08,990.0,1022.0,973.0,1014.3,2846197,EQ,108305,26.28,835977
2024-10-09,1030.9,1087.8,1021.35,1079.05,4106614,EQ,128052,32.07,1017223
2024-10-10,1085.0,1119.3,1069.0,1105.7,2442587,EQ,82166,29.73,617198
2024-10-11,1101.3,1119.0,1090.05,1107.4,1518596,EQ,42507,35.73,561714
2024-10-14,1120.0,1216.8,1120.0,1133.6,8088647,EQ,190167,42.53,1851707
2024-10-15,1143.0,1166.6,1118.3,1148.25,2089567,EQ,70587,29.6,474685
2024-10-16,1135.0,1150.95,1125.7,1135.35,1369581,EQ,42068,32.56,489802
2024-10-17,1144.7,1144.7,1078.8,1084.1,1842194,EQ,55168,33.39,865246
