Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2023-08-02,45.84,48.0,44.75,44.92,5319,60.0,88.65,3762.0
2023-08-03,44.75,45.39,44.25,44.25,2525,22.0,114.77,1168.0
2023-08-04,45.35,45.35,44.2,44.45,657,14.0,46.93,654.0
2023-08-07,45.56,45.56,43.92,43.93,606,39.0,15.54,602.0
2023-08-08,44.3,45.38,44.3,45.36,1073,28.0,38.32,705.0
2023-08-09,46.49,46.49,44.95,45.2,52,17.0,3.06,42.0
2023-08-10,45.33,45.33,44.59,44.8,84,16.0,5.25,77.0
2023-08-11,46.49,47.0,45.02,45.65,5345,71.0,75.28,2949.0
2023-08-14,46.79,52.0,44.82,51.24,2688,46.0,58.43,1469.0
2023-08-16,46.0,49.8,44.56,46.5,72040,190.0,379.16,67721.0
2023-08-17,47.43,51.05,44.99,49.42,15224,180.0,84.58,4755.0
2023-08-18,48.1,48.1,45.75,46.32,64713,222.0,291.5,54712.0
2023-08-21,46.26,47.01,45.73,45.74,3091,59.0,52.39,1398.0
2023-08-22,45.8,46.25,45.1,45.25,1653,23.0,71.87,1053.0
2023-08-23,45.8,47.2,45.67,46.17,1589,30.0,52.97,1314.0
2023-08-24,46.25,46.25,45.75,46.12,1025,8.0,128.12,1023.0
2023-08-25,46.0,46.49,45.0,45.29,12221,135.0,90.53,3056.0
2023-08-28,45.41,45.74,45.39,45.67,2478,12.0,206.5,1808.0
2023-08-29,45.6,47.0,45.31,46.18,311,38.0,8.18,296.0
2023-08-30,45.8,45.8,45.25,45.33,2854,43.0,66.37,2745.0
2023-08-31,45.3,45.42,44.55,44.69,11554,90.0,128.38,11546.0
2023-09-01,45.59,46.05,44.51,45.3,6724,42.0,160.1,1547.0
2023-09-04,46.94,47.5,45.49,46.39,5843,46.0,127.02,3662.0
2023-09-05,46.73,47.0,46.5,46.82,10518,92.0,114.33,9095.0
2023-09-06,46.61,46.68,46.06,46.39,1731,41.0,42.22,1178.0
2023-09-07,47.19,47.25,46.0,46.12,2439,71.0,34.35,2274.0
2023-09-08,46.92,47.49,46.69,47.1,3514,61.0,57.61,3107.0
2023-09-11,47.2,48.5,47.2,48.31,17515,106.0,165.24,16998.0
2023-09-12,49.28,49.28,46.53,46.76,4099,116.0,35.34,2296.0
2023-09-13,47.0,49.42,46.88,49.21,2540,94.0,27.02,1847.0
2023-09-14,49.15,50.11,48.5,49.5,2721,80.0,34.01,1515.0
2023-09-15,50.01,50.61,49.88,50.5,1494,65.0,22.98,1026.0
2023-09-18,52.0,57.89,49.49,54.76,13729,135.0,101.7,9828.0
2023-09-20,53.7,54.2,51.45,51.77,1167880,369.0,3164.99,1165881.0
2023-09-21,52.46,52.46,50.15,50.41,33627,280.0,120.1,10622.0
2023-09-22,51.42,52.5,51.22,52.24,13399,138.0,97.09,7195.0
2023-09-25,53.04,53.5,51.51,52.29,4825,66.0,73.11,3406.0
2023-09-26,52.06,52.51,51.65,51.86,3631,52.0,69.83,3316.0
2023-09-27,51.86,53.0,51.61,52.06,3160,35.0,90.29,3067.0
2023-09-28,52.2,53.03,51.92,51.95,6826,99.0,68.95,4713.0
2023-09-29,52.19,52.77,52.18,52.58,3075,38.0,80.92,2920.0
2023-10-03,52.4,53.94,52.4,53.68,6042,51.0,118.47,4834.0
2023-10-04,53.5,53.5,51.94,52.31,4700,84.0,55.95,2780.0
2023-10-05,53.36,53.36,51.61,52.13,4053,64.0,63.33,2539.0
2023-10-06,52.0,52.51,51.87,52.19,479,24.0,19.96,69.0
2023-10-09,53.4,53.4,50.45,50.53,3715,79.0,47.03,3685.0
2023-10-10,51.0,52.19,50.8,51.37,729,43.0,16.95,653.0
2023-10-11,51.64,51.8,51.25,51.26,1138,22.0,51.73,1026.0
2023-10-12,51.26,51.52,51.02,51.19,155,22.0,7.05,90.0
2023-10-13,50.81,50.92,50.27,50.49,3602,64.0,56.28,3387.0
2023-10-16,51.5,51.5,50.48,51.32,2050,31.0,66.13,1313.0
2023-10-17,51.32,51.32,50.74,51.13,2352,37.0,63.57,2254.0
2023-10-18,51.01,52.2,50.0,50.62,4829,65.0,74.29,4563.0
2023-10-19,50.03,50.41,49.91,50.41,16552,64.0,258.62,14868.0
2023-10-20,50.33,50.33,49.22,49.28,2458,121.0,20.31,1281.0
2023-10-23,49.28,49.28,45.0,46.92,5318,152.0,34.99,4883.0
2023-10-25,47.01,48.52,47.0,47.75,8723,74.0,117.88,7170.0
2023-10-26,47.25,47.27,46.49,47.11,2898,80.0,36.22,2568.0
2023-10-30,50.39,50.39,48.75,49.3,1968,49.0,40.16,893.0
2023-10-31,49.6,49.76,49.3,49.32,4815,26.0,185.19,3782.0
2023-11-01,49.29,49.59,49.11,49.34,2783,21.0,132.52,2200.0
2023-11-02,50.0,50.47,49.67,50.03,8033,52.0,154.48,7727.0
2023-11-03,50.2,50.72,50.2,50.54,1440,30.0,48.0,897.0
2023-11-06,50.4,50.4,49.77,50.0,2094,56.0,37.39,1355.0
2023-11-07,49.92,50.37,49.73,49.98,5441,35.0,155.46,3100.0
2023-11-08,50.31,50.45,50.18,50.18,5113,16.0,319.56,5003.0
2023-11-09,50.18,50.19,49.23,49.41,1944,33.0,58.91,1019.0
2023-11-10,49.8,50.01,49.8,50.01,4047,16.0,252.94,4020.0
2023-11-12,50.3,50.59,50.2,50.53,1992,24.0,83.0,1448.0
2023-11-13,50.2,51.79,50.0,51.56,4772,80.0,59.65,2687.0
2023-11-15,52.21,52.27,51.69,51.79,2836,49.0,57.88,1999.0
2023-11-16,51.94,52.0,51.71,51.8,2911,30.0,97.03,2648.0
2023-11-17,50.4,50.77,50.38,50.67,6808,41.0,166.05,3798.0
2023-11-20,51.58,51.58,50.41,50.52,4262,28.0,152.21,3209.0
2023-11-21,50.5,50.71,50.23,50.49,1321,31.0,42.61,1021.0
2023-11-22,50.4,50.47,49.56,49.93,2206,82.0,26.9,1963.0
2023-11-23,49.93,50.15,49.66,49.96,1071,23.0,46.57,925.0
2023-11-24,50.0,50.0,49.55,49.78,56,14.0,4.0,53.0
2023-11-28,50.78,50.78,49.62,50.44,2401,32.0,75.03,2382.0
2023-11-29,50.6,50.99,50.58,50.98,4033,34.0,118.62,3864.0
2023-11-30,50.95,51.09,50.29,50.37,8170,138.0,59.2,4877.0
2023-12-01,50.6,51.59,50.23,51.32,7251,85.0,85.31,4534.0
2023-12-04,52.6,53.26,52.05,53.12,19243,195.0,98.68,14834.0
2023-12-05,53.2,54.34,52.83,53.61,60296,95.0,634.69,58307.0
2023-12-06,54.06,54.49,53.03,53.81,8063,93.0,86.7,5969.0
2023-12-07,53.9,54.73,53.9,54.59,9644,95.0,101.52,7786.0
2023-12-08,54.41,55.02,53.91,54.64,7760,87.0,89.2,3872.0
2023-12-11,55.73,55.73,54.34,55.52,2568,79.0,32.51,1065.0
