Date,Open,High,Low,Close,Volume
2023-06-09,3090.0,3149.95,2950.0,3070.15,7308
2023-06-12,3132.0,3684.15,3129.95,3684.15,28360
2023-06-13,3768.0,3975.0,3550.0,3655.65,44403
2023-06-14,3787.95,3787.95,3450.0,3491.45,8669
2023-06-15,3525.0,3840.55,3484.05,3726.95,56911
2023-06-16,3750.0,3784.8,3672.0,3737.25,9569
2023-06-19,3783.0,4050.0,3750.0,4032.35,21915
2023-06-20,4048.0,4297.65,3955.0,4212.2,17679
2023-06-21,4250.0,4633.4,4232.15,4454.1,52319
2023-06-22,4490.0,4674.3,4335.0,4527.25,21867
2023-06-23,4527.25,4600.0,4352.7,4518.85,9082
2023-06-26,4552.0,4650.0,4333.3,4602.2,14958
2023-06-27,4586.0,4640.2,4552.0,4592.85,2561
