Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2024-03-19,289.2,289.2,262.4,276.15,4518261,81911.0,55.16,1039698.0
2024-03-20,274.85,289.2,272.0,284.75,1436097,32445.0,44.26,348755.0
2024-03-21,284.75,296.55,284.0,289.25,929477,28168.0,33.0,481126.0
2024-03-22,289.2,289.2,278.0,280.3,325177,15846.0,20.52,129639.0
2024-03-26,274.7,275.0,265.0,266.75,548007,21560.0,25.42,194407.0
2024-03-27,266.75,269.1,250.55,252.3,642494,22398.0,28.69,233795.0
2024-03-28,249.1,257.7,236.4,249.5,829618,29623.0,28.01,234345.0
2024-04-01,245.1,267.0,245.05,260.85,397069,20067.0,19.79,102204.0
2024-04-02,263.9,264.0,254.4,257.95,233541,14303.0,16.33,100182.0
2024-04-03,257.95,270.0,257.95,268.55,372232,17806.0,20.9,184770.0
2024-04-04,271.95,273.55,262.2,264.2,188437,12234.0,15.4,82519.0
2024-04-05,261.55,265.1,261.0,263.2,150861,8027.0,18.79,57251.0
2024-04-08,263.45,272.0,255.25,267.55,723166,35376.0,20.44,227846.0
2024-04-09,274.9,274.95,263.3,265.85,357000,13592.0,26.27,135375.0
2024-04-10,265.85,266.7,261.7,262.6,106269,4590.0,23.15,58372.0
2024-04-12,260.6,264.15,257.4,259.9,139721,6960.0,20.07,75534.0
2024-04-15,254.7,254.7,245.65,247.95,854607,25991.0,32.88,525955.0
2024-04-16,247.85,251.7,244.05,249.0,124334,9203.0,13.51,76973.0
2024-04-18,245.0,253.0,241.0,243.15,186453,11619.0,16.05,95163.0
2024-04-19,243.0,246.7,235.0,241.4,144665,9355.0,15.46,72410.0
2024-04-22,245.0,252.2,240.0,240.85,119395,6994.0,17.07,60757.0
2024-04-23,244.9,244.9,238.15,238.85,95096,5190.0,18.32,55519.0
2024-04-24,238.9,243.2,235.15,237.1,206399,6030.0,34.23,136271.0
2024-04-25,236.0,242.0,236.0,236.5,129429,6724.0,19.25,53732.0
2024-04-26,237.95,241.0,233.05,235.15,217517,9916.0,21.94,119412.0
2024-04-29,237.0,239.45,232.0,233.5,163083,13778.0,11.84,100048.0
2024-04-30,233.15,233.55,231.0,231.85,329780,10925.0,30.19,240394.0
2024-05-02,231.8,237.9,230.55,232.65,122729,5618.0,21.85,55823.0
2024-05-03,232.65,235.45,232.0,233.85,91876,5106.0,17.99,57626.0
2024-05-06,233.3,233.85,227.5,228.4,222181,14713.0,15.1,139887.0
2024-05-07,228.35,229.4,223.0,224.25,118288,10176.0,11.62,65218.0
2024-05-08,224.05,227.0,221.0,222.7,94508,4511.0,20.95,59852.0
2024-05-09,220.45,221.5,217.1,219.1,93294,5108.0,18.26,56409.0
2024-05-10,219.05,219.05,212.25,214.35,120544,6229.0,19.35,57659.0
2024-05-13,214.35,216.25,208.0,211.9,111590,5690.0,19.61,52531.0
2024-05-14,210.0,218.0,207.8,216.45,79772,4752.0,16.79,28870.0
2024-05-15,216.45,222.0,212.2,212.8,106494,6864.0,15.51,54850.0
2024-05-16,212.8,218.0,210.35,215.95,91421,6190.0,14.77,41072.0
2024-05-17,215.95,221.9,213.4,220.25,93306,8834.0,10.56,54561.0
2024-05-18,220.25,222.8,218.0,220.0,15885,1025.0,15.5,8284.0
2024-05-21,217.8,221.95,216.15,218.6,79383,5690.0,13.95,46272.0
2024-05-22,218.0,237.0,217.15,231.4,183118,8977.0,20.4,108732.0
2024-05-23,234.0,239.5,227.5,230.15,92547,7271.0,12.73,46502.0
2024-05-24,235.8,235.8,229.8,233.2,111930,5119.0,21.87,64940.0
2024-05-27,229.7,233.2,225.15,228.65,57860,3802.0,15.22,32003.0
2024-05-28,227.95,228.65,222.0,224.0,101493,5876.0,17.27,67107.0
2024-05-29,227.3,227.3,220.95,223.05,54584,3121.0,17.49,31918.0
2024-05-30,225.1,225.55,220.05,222.1,48916,2737.0,17.87,31139.0
2024-05-31,222.0,224.9,220.65,221.95,38541,2308.0,16.7,24997.0
2024-06-03,222.5,228.8,215.5,218.6,128784,7790.0,16.53,77933.0
2024-06-04,215.0,218.0,199.0,209.3,177346,18013.0,9.85,105551.0
2024-06-05,210.0,218.7,200.35,215.4,98122,9608.0,10.21,50785.0
2024-06-06,215.5,219.6,213.75,216.1,68105,5078.0,13.41,37678.0
2024-06-07,216.1,219.8,214.05,216.8,71859,5775.0,12.44,46408.0
2024-06-10,216.0,221.5,215.36,218.77,56268,2916.0,19.3,32506.0
2024-06-11,218.75,224.72,218.75,223.49,70363,4429.0,15.89,42819.0
2024-06-12,221.25,225.0,221.25,224.04,55270,3440.0,16.07,33210.0
2024-06-13,225.0,241.72,222.55,230.31,382869,10541.0,36.32,275707.0
2024-06-14,232.6,259.95,230.0,254.68,776707,32885.0,23.62,450605.0
2024-06-18,254.55,262.0,245.25,260.55,354473,23441.0,15.12,180080.0
2024-06-19,260.55,260.59,250.5,255.19,142340,12210.0,11.66,68746.0
2024-06-20,255.0,265.0,250.79,262.95,186538,10091.0,18.49,103104.0
2024-06-21,261.0,264.0,257.37,260.93,181063,10162.0,17.82,104281.0
2024-06-24,260.95,261.29,251.0,254.63,68581,6093.0,11.26,29701.0
2024-06-25,254.6,256.12,246.0,247.09,100121,5873.0,17.05,64080.0
2024-06-26,247.5,248.59,240.5,247.28,75320,6321.0,11.92,35725.0
2024-06-27,248.3,248.3,242.46,245.32,67683,6068.0,11.15,39402.0
2024-06-28,244.99,244.99,235.27,239.05,103158,9314.0,11.08,54152.0
2024-07-01,240.55,245.7,238.02,244.48,47000,4610.0,10.2,25880.0
