Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2024-04-05,120.15,126.15,120.15,126.15,806400,430,1875.35,806400
2024-04-08,132.45,132.45,132.45,132.45,72000,28,2571.43,72000
2024-04-09,139.05,139.05,125.85,126.15,670400,262,2558.78,510400
2024-04-10,120.05,128.7,119.85,119.9,409600,140,2925.71,392000
2024-04-12,115.05,119.8,113.9,116.4,166400,71,2343.66,115200
2024-04-15,111.1,113.0,110.6,110.8,136000,63,2158.73,104000
2024-04-16,105.3,116.3,105.3,116.3,208000,103,2019.42,196800
2024-04-18,122.1,122.1,122.0,122.1,67200,33,2036.36,60800
2024-04-19,127.9,128.2,122.1,128.2,174400,74,2356.76,161600
2024-04-22,134.6,134.6,134.6,134.6,4800,3,1600.0,4800
2024-04-23,143.0,146.65,118.5,127.25,371200,229,1620.96,196800
2024-04-24,128.0,131.75,125.0,125.0,84800,49,1730.61,56000
2024-04-25,124.05,132.0,124.0,128.0,43200,27,1600.0,22400
2024-04-26,128.0,132.8,127.35,131.7,68800,42,1638.1,49600
2024-04-29,135.0,137.7,124.9,127.0,70400,44,1600.0,41600
2024-04-30,127.0,128.0,122.5,127.0,40000,24,1666.67,20800
2024-05-02,130.0,130.0,123.65,123.8,20800,13,1600.0,16000
2024-05-03,123.5,127.25,118.05,119.1,22400,14,1600.0,17600
