Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2025-05-29,131.0,133.7,129.15,132.82,209806,EQ,3782.0,55.47,154380.0
2025-05-30,134.27,136.33,130.0,131.76,230873,EQ,2486.0,92.87,142550.0
2025-06-02,131.49,131.49,126.0,126.53,125318,EQ,2466.0,50.82,83918.0
2025-06-03,125.98,126.49,124.0,124.88,200604,EQ,3804.0,52.74,124872.0
2025-06-04,125.0,126.75,119.0,121.78,140716,EQ,2730.0,51.54,85497.0
2025-06-05,122.6,127.25,122.19,122.77,241453,EQ,3337.0,72.36,83568.0
2025-06-06,126.79,132.38,124.2,127.6,421543,EQ,6556.0,64.3,192226.0
2025-06-09,128.15,131.95,126.0,126.99,231463,EQ,2840.0,81.5,142154.0
2025-06-10,128.81,128.81,125.46,126.31,141502,EQ,2257.0,62.69,85293.0
2025-06-11,126.31,128.19,125.8,126.06,101075,EQ,1558.0,64.87,58946.0
2025-06-12,125.3,126.83,123.6,124.52,111174,EQ,1923.0,57.81,64028.0
2025-06-13,121.66,124.74,121.66,122.96,123928,EQ,2342.0,52.92,59318.0
2025-06-16,121.01,122.44,115.26,119.3,479021,EQ,6099.0,78.54,224820.0
2025-06-17,121.55,122.77,117.02,120.37,266891,EQ,3574.0,74.68,78314.0
2025-06-18,121.79,121.79,117.08,119.05,147337,EQ,2290.0,64.34,83632.0
2025-06-19,118.46,129.05,109.85,117.1,1174421,EQ,14842.0,79.13,144840.0
2025-06-20,118.22,120.0,115.0,117.11,259417,EQ,2859.0,90.74,75589.0
2025-06-23,114.7,116.79,114.7,115.72,130028,EQ,1983.0,65.57,62638.0
2025-06-24,115.72,117.48,113.5,114.24,206490,EQ,2731.0,75.61,112478.0
2025-06-25,114.25,117.32,113.9,116.39,199380,EQ,2421.0,82.35,110179.0
2025-06-26,116.98,117.5,115.0,115.84,202604,EQ,2217.0,91.39,119365.0
2025-06-27,115.85,125.0,115.71,120.82,562030,EQ,6597.0,85.19,177355.0
2025-06-30,123.0,123.0,108.73,109.18,1620709,EQ,15834.0,102.36,906555.0
2025-07-01,109.74,113.51,107.43,109.9,714435,EQ,8389.0,85.16,290060.0
2025-07-02,111.5,111.5,105.32,107.8,486431,EQ,5650.0,86.09,249471.0
2025-07-03,107.8,109.5,106.42,108.18,208779,EQ,3133.0,66.64,88422.0
