Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2025-07-01,1000.0,1050.0,950.0,969.2,1113469,24347,45.73,1113469
2025-07-02,958.5,964.0,920.8,921.2,930350,18597,50.03,930350
2025-07-03,910.1,917.8,876.0,882.1,410467,12640,32.47,410467
2025-07-04,880.0,926.2,861.9,926.2,348851,9416,37.05,348851
2025-07-07,926.2,941.0,900.0,905.9,131762,4904,26.87,131762
2025-07-08,901.0,905.0,876.1,894.2,169967,5006,33.95,169967
2025-07-09,885.1,894.2,860.1,865.4,439476,8855,49.63,439476
2025-07-10,867.9,886.0,858.1,861.8,201248,3979,50.58,201248
2025-07-11,865.8,874.0,844.0,855.7,206989,4529,45.7,206989
2025-07-14,856.9,857.0,826.4,832.4,180204,6189,29.12,180204
2025-07-15,840.0,844.0,803.0,810.5,388929,12176,31.94,299484
2025-07-16,811.7,819.8,784.0,800.5,413488,12676,32.62,282761
2025-07-17,805.0,834.4,797.8,809.5,369100,16222,22.75,201988
2025-07-18,817.0,830.0,802.2,815.5,245041,16928,14.48,127117
