Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2023-12-27,100.0,105.0,96.0,105.0,2560937,11512,222.46,2560937
2023-12-28,110.25,110.25,110.25,110.25,272121,844,322.42,272121
2023-12-29,115.75,115.75,115.75,115.75,150622,862,174.74,150622
2024-01-01,116.25,121.5,115.75,121.5,763361,1701,448.77,763361
2024-01-02,127.55,127.55,127.55,127.55,96488,541,178.35,96488
2024-01-03,133.9,133.9,133.9,133.9,99504,510,195.11,99504
2024-01-04,140.55,140.55,129.25,139.8,1044827,3260,320.5,1044827
2024-01-05,132.85,146.75,132.85,146.75,1849714,13455,137.47,1849714
2024-01-08,146.75,148.0,139.45,139.65,713601,7350,97.09,713601
2024-01-09,136.15,146.6,136.0,146.6,507782,3715,136.68,507782
2024-01-10,165.0,175.9,162.0,175.9,5185172,20901,248.08,1266520
2024-01-11,190.35,211.05,188.0,211.05,2966009,23976,123.71,980372
2024-01-12,224.0,232.15,212.05,232.15,5145539,49937,103.04,1225875
2024-01-15,238.7,255.35,225.0,249.25,5386864,47659,113.03,1133080
2024-01-16,249.25,249.3,225.0,230.25,3475077,39395,88.21,1052447
2024-01-17,225.0,230.0,214.7,219.5,1307603,20823,62.8,457056
2024-01-18,220.0,225.0,204.8,215.4,986454,15703,62.82,319145
2024-01-19,219.9,225.0,200.3,204.2,952993,15517,61.42,472065
2024-01-20,206.7,214.95,200.0,200.75,486524,9885,49.22,249810
2024-01-23,205.85,206.15,180.7,180.75,1320284,17185,76.83,679106
2024-01-24,180.7,189.75,175.4,189.75,354517,3047,116.35,156011
2024-01-25,199.2,199.2,199.2,199.2,201560,497,405.55,180640
2024-01-29,209.15,209.15,192.75,195.9,1367284,13041,104.85,592335
2024-01-30,196.05,198.4,187.05,188.4,583368,11764,49.59,285593
2024-01-31,188.15,197.8,188.15,195.35,649629,4296,151.22,229791
2024-02-01,192.7,195.7,187.0,190.6,413973,7724,53.6,208640
2024-02-02,192.7,195.95,187.65,188.6,255879,5607,45.64,139572
2024-02-05,198.0,198.0,182.15,189.35,729694,8254,88.4,376776
2024-02-06,185.55,189.0,179.9,180.5,428068,8227,52.03,289030
2024-02-07,179.1,187.5,175.3,181.45,371254,6281,59.11,169113
2024-02-08,182.3,187.0,180.0,182.1,155630,3575,43.53,88578
2024-02-09,183.2,184.8,173.0,174.3,286458,6824,41.98,185619
2024-02-12,174.95,174.95,165.6,166.2,245745,5108,48.11,140780
2024-02-13,162.85,170.0,157.9,160.15,228489,5045,45.29,117179
2024-02-14,160.0,168.15,156.95,168.15,114638,1925,59.55,78412
2024-02-15,170.5,176.55,170.5,176.55,298012,2633,113.18,158561
2024-02-16,179.0,185.35,177.0,179.95,407374,5964,68.31,162756
2024-02-19,185.0,186.4,177.25,178.5,158052,4061,38.92,87573
2024-02-20,178.0,179.45,169.6,170.35,302951,6440,47.04,213543
2024-02-21,171.25,174.75,167.75,171.1,133135,3908,34.07,60263
2024-02-22,172.0,172.0,165.85,168.3,109949,3048,36.07,59645
2024-02-23,170.7,171.0,162.55,164.35,174582,5964,29.27,102946
