Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2022-05-25,258.5,260.1,201.35,227.0,20216,1409.0,14.35,8884.0
2022-05-26,234.9,244.7,203.0,222.65,7917,365.0,21.69,4921.0
2022-05-27,231.95,245.5,224.2,237.15,9264,448.0,20.68,3965.0
2022-05-30,239.0,239.85,225.05,233.6,2902,316.0,9.18,994.0
2022-05-31,233.5,233.5,225.35,230.6,2216,197.0,11.25,1013.0
2022-06-01,234.0,234.0,224.0,228.8,1546,213.0,7.26,788.0
2022-06-02,230.0,232.9,224.0,227.85,3233,257.0,12.58,1659.0
2022-06-03,234.95,234.95,225.6,227.3,2537,179.0,14.17,1605.0
2022-06-06,226.0,228.4,221.9,222.75,870,108.0,8.06,324.0
2022-06-07,228.8,230.95,219.05,220.8,2558,174.0,14.7,1275.0
2022-06-08,225.8,226.1,218.0,219.3,1396,147.0,9.5,360.0
2022-06-09,220.7,223.85,207.5,212.3,5279,387.0,13.64,3182.0
2022-06-10,212.35,221.8,207.4,217.8,5515,246.0,22.42,3573.0
2022-06-13,217.8,217.8,199.15,202.2,6015,468.0,12.85,4231.0
2022-06-14,202.25,208.0,190.65,195.8,6977,591.0,11.81,4038.0
2022-06-15,201.0,211.6,171.5,209.1,12347,794.0,15.55,6361.0
2022-06-16,212.75,215.25,190.0,192.55,10439,558.0,18.71,6598.0
2022-06-17,193.95,205.0,182.55,195.2,5447,290.0,18.78,3362.0
2022-06-20,198.45,199.95,179.35,186.0,4049,353.0,11.47,1587.0
2022-06-21,187.65,199.1,185.75,197.5,5596,444.0,12.6,2906.0
2022-06-22,197.3,204.75,191.2,200.2,4347,422.0,10.3,2663.0
2022-06-23,204.75,214.1,195.1,205.15,15988,605.0,26.43,10497.0
2022-06-24,180.3,216.5,180.3,205.75,4686,417.0,11.24,799.0
2022-06-27,208.0,212.0,204.7,210.45,3854,221.0,17.44,2928.0
2022-06-28,210.7,223.8,210.0,220.7,8528,422.0,20.21,4312.0
2022-06-29,208.0,224.05,208.0,218.05,3754,264.0,14.22,1784.0
2022-06-30,217.1,220.9,210.05,211.2,1033,127.0,8.13,462.0
2022-07-01,214.25,219.2,183.7,207.8,10075,434.0,23.21,2308.0
2022-07-04,206.3,209.85,200.0,203.55,2624,225.0,11.66,1069.0
2022-07-05,207.9,211.85,204.2,205.6,1802,160.0,11.26,484.0
2022-07-06,199.3,210.0,199.3,207.75,5007,249.0,20.11,2014.0
2022-07-07,209.45,212.15,200.1,203.2,3058,242.0,12.64,1745.0
2022-07-08,203.4,241.0,202.0,219.85,136140,4965.0,27.42,34533.0
2022-07-11,218.9,218.9,209.15,213.65,12928,669.0,19.32,7359.0
2022-07-12,217.9,218.8,210.5,214.5,8506,421.0,20.2,3817.0
2022-07-13,217.75,221.4,212.0,214.9,6136,289.0,21.23,2946.0
2022-07-14,217.95,217.95,204.95,210.35,9453,325.0,29.09,6785.0
2022-07-15,213.0,214.95,207.25,210.1,2536,189.0,13.42,1102.0
2022-07-18,210.1,227.7,210.1,224.9,60877,1071.0,56.84,49467.0
2022-07-19,221.3,230.75,220.05,221.55,17074,716.0,23.85,9739.0
2022-07-20,227.55,238.7,220.9,230.45,34740,1250.0,27.79,21604.0
2022-07-21,223.0,236.0,223.0,231.35,16031,697.0,23.0,6713.0
2022-07-22,238.0,244.85,228.05,242.85,50149,1340.0,37.42,25808.0
2022-07-25,245.0,246.65,233.0,240.95,13145,609.0,21.58,6988.0
2022-07-26,240.95,241.1,224.95,226.85,16707,1028.0,16.25,9156.0
2022-07-27,231.1,236.95,226.85,230.9,18690,616.0,30.34,13720.0
2022-07-28,235.0,235.0,222.0,224.8,15804,668.0,23.66,11602.0
2022-07-29,229.0,229.85,222.8,225.45,8655,366.0,23.65,5713.0
2022-08-01,225.0,231.5,225.0,226.75,7483,283.0,26.44,4564.0
2022-08-02,238.0,238.0,224.2,225.1,6104,349.0,17.49,4762.0
2022-08-03,223.2,225.5,222.0,225.0,2847,123.0,23.15,2110.0
2022-08-04,229.9,229.9,210.0,220.85,9889,431.0,22.94,4619.0
2022-08-05,226.35,226.35,216.0,219.55,4087,213.0,19.19,2661.0
2022-08-08,219.0,223.25,213.0,214.35,5135,,,
2022-08-10,224.0,224.0,208.4,210.8,16020,507.0,31.6,10456.0
2022-08-11,212.6,218.0,206.0,213.95,15931,610.0,26.12,6856.0
2022-08-12,213.9,215.0,205.5,207.9,12761,777.0,16.42,6270.0
2022-08-16,207.9,211.5,201.0,207.75,9707,551.0,17.62,5144.0
2022-08-17,210.0,211.75,205.2,209.05,14200,930.0,15.27,7975.0
2022-08-18,210.0,210.5,198.0,202.9,26958,901.0,29.92,16955.0
2022-08-19,211.0,211.0,197.25,198.45,19499,787.0,24.78,13260.0
2022-08-22,205.0,205.0,190.0,192.95,13978,779.0,17.94,8277.0
2022-08-23,200.0,200.0,188.0,192.55,7713,595.0,12.96,4216.0
2022-08-24,200.0,205.0,189.15,189.95,52551,1863.0,28.21,31550.0
2022-08-25,195.0,195.0,191.0,193.95,9816,501.0,19.59,6652.0
2022-08-26,198.75,198.75,191.05,193.9,13598,600.0,22.66,8322.0
2022-08-29,193.0,195.95,187.95,189.6,15148,640.0,23.67,12176.0
2022-08-30,196.45,196.45,185.45,191.35,11362,560.0,20.29,6768.0
2022-09-01,191.35,193.9,189.35,189.85,11258,370.0,30.43,7708.0
2022-09-02,194.9,195.0,189.3,190.05,9718,460.0,21.13,6675.0
2022-09-05,198.0,198.0,188.05,190.25,9485,512.0,18.53,4888.0
2022-09-06,196.0,196.0,189.5,190.25,9907,867.0,11.43,5019.0
2022-09-07,189.65,192.2,187.25,189.7,15410,493.0,31.26,10674.0
2022-09-08,192.35,196.85,189.7,194.55,39467,756.0,52.21,29999.0
2022-09-09,194.55,203.8,194.55,198.5,28918,812.0,35.61,16350.0
2022-09-12,199.9,202.9,198.55,199.8,14498,394.0,36.8,10586.0
2022-09-13,203.0,203.0,198.0,201.05,12869,359.0,35.85,10251.0
2022-09-14,199.4,202.0,195.0,199.15,15938,603.0,26.43,8672.0
2022-09-15,200.0,200.0,190.45,193.25,18824,742.0,25.37,13567.0
2022-09-16,190.1,195.0,190.1,194.0,7817,400.0,19.54,4360.0
2022-09-19,203.0,203.0,190.3,191.2,6393,262.0,24.4,4489.0
2022-09-20,190.35,196.6,190.0,193.95,10136,317.0,31.97,5313.0
2022-09-21,197.85,198.0,188.3,196.0,14367,536.0,26.8,8343.0
2022-09-22,199.7,201.0,192.0,199.0,14836,439.0,33.79,11575.0
2022-09-23,200.0,201.35,195.3,198.65,16901,362.0,46.69,12094.0
2022-09-26,191.1,195.75,186.35,192.0,13593,336.0,40.46,8431.0
