Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2025-09-04,113.01,128.98,100.41,103.35,166945,EQ,3927,42.51,75207
2025-09-05,104.35,104.35,98.41,100.14,23793,EQ,989,24.06,7082
2025-09-08,100.8,103.98,97.81,102.28,7156,EQ,451,15.87,2986
2025-09-09,103.8,120.0,97.55,109.75,396195,EQ,6535,60.63,44909
2025-09-10,109.47,112.79,106.13,108.76,27394,EQ,813,33.69,12120
2025-09-11,107.15,116.0,106.94,112.13,58979,EQ,2043,28.87,26290
2025-09-12,111.0,118.2,111.0,115.54,48729,EQ,2167,22.49,18416
2025-09-15,116.0,121.0,114.32,117.1,43910,EQ,4715,9.31,7242
2025-09-16,118.85,118.85,115.44,117.27,8176,EQ,847,9.65,3130
2025-09-17,118.15,122.0,111.1,112.67,41690,EQ,2262,18.43,20525
2025-09-18,112.0,121.0,112.0,115.32,25633,EQ,1859,13.79,7862
2025-09-19,115.0,119.8,112.5,113.41,33763,EQ,2828,11.94,8894
2025-09-22,115.68,120.39,111.7,117.81,190765,EQ,3822,49.91,149288
2025-09-23,121.63,136.8,112.3,115.53,307522,EQ,5233,58.77,112665
2025-09-24,116.43,118.42,113.93,115.04,15086,EQ,972,15.52,7430
2025-09-25,112.5,116.87,112.5,115.12,14521,EQ,541,26.84,9811
2025-09-26,117.4,121.0,115.4,117.07,40242,EQ,1355,29.7,30856
2025-09-29,118.7,120.18,116.0,119.0,24936,EQ,1034,24.12,15700
2025-09-30,124.8,135.0,116.0,118.67,346855,EQ,7430,46.68,61997
2025-10-01,120.5,126.9,120.5,122.9,37127,EQ,1833,20.25,10522
2025-10-03,123.83,123.98,117.3,119.28,27203,EQ,1122,24.25,12449
2025-10-06,118.5,127.3,117.33,125.29,150766,EQ,3147,47.91,96198
2025-10-07,126.0,128.3,124.11,126.15,32371,EQ,1582,20.46,15034
2025-10-08,128.05,128.69,123.17,126.35,44339,EQ,1541,28.77,23286
2025-10-09,128.88,130.4,127.0,127.47,26548,EQ,1301,20.41,13935
2025-10-10,128.11,129.51,127.0,127.8,6479,EQ,409,15.84,2905
2025-10-13,127.8,129.51,123.0,124.53,21257,EQ,998,21.3,6494
