Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2024-12-09,559.7,579.0,531.75,531.75,177963,BE,985,180.67,177963
2024-12-10,505.2,505.2,505.2,505.2,2795,BE,99,28.23,2795
2024-12-11,483.35,530.45,483.35,530.45,172751,BE,1021,169.2,172751
2024-12-12,556.0,556.0,522.75,543.6,135618,BE,1270,106.79,135618
2024-12-13,549.7,549.7,516.45,538.0,63915,BE,790,80.91,63915
2024-12-16,535.0,535.0,511.1,511.1,39453,BE,624,63.23,39453
2024-12-17,500.0,523.35,485.55,515.25,55777,BE,743,75.07,55777
2024-12-18,514.75,514.75,492.0,493.55,30189,BE,354,85.28,30189
2024-12-19,493.55,509.4,475.0,498.05,31543,BE,343,91.96,31543
2024-12-20,490.0,500.0,485.15,493.0,27742,BE,433,64.07,27742
2024-12-23,500.0,514.0,454.55,469.1,30583,EQ,586,52.19,20881
2024-12-24,488.0,488.0,465.4,472.05,7162,EQ,406,17.64,5398
2024-12-26,471.0,477.4,444.05,464.05,34635,EQ,1154,30.01,24003
2024-12-27,460.0,477.0,454.0,459.95,20731,EQ,1824,11.37,10153
2024-12-30,455.6,475.0,434.95,460.05,23868,EQ,2560,9.32,9272
2024-12-31,465.0,465.0,442.35,458.85,25933,EQ,2763,9.39,13671
2025-01-01,463.1,471.0,450.1,464.45,13971,EQ,867,16.11,9220
2025-01-02,460.1,487.0,454.5,478.75,16223,EQ,1146,14.16,10821
2025-01-03,480.0,498.8,469.95,492.05,15509,EQ,1116,13.9,9428
2025-01-06,484.65,497.7,461.0,475.05,37357,EQ,1685,22.17,23080
2025-01-07,467.3,485.0,461.3,472.8,9637,EQ,559,17.24,6440
2025-01-08,479.3,479.3,461.3,469.4,10338,EQ,636,16.25,6399
2025-01-09,465.25,476.75,456.0,466.95,11899,EQ,790,15.06,6353
2025-01-10,466.65,477.0,450.0,455.95,18504,EQ,801,23.1,11358
2025-01-13,450.9,451.0,424.0,431.25,25584,EQ,1272,20.11,15928
2025-01-14,437.1,473.8,425.2,463.0,21299,EQ,671,31.74,12074
2025-01-15,469.9,473.7,455.0,468.4,15424,EQ,650,23.73,8347
2025-01-16,466.95,477.0,456.35,465.7,19137,EQ,596,32.11,12207
2025-01-17,465.7,468.0,445.5,450.6,14345,EQ,751,19.1,9449
2025-01-20,447.05,470.0,443.0,465.95,47825,EQ,673,71.06,38873
2025-01-21,475.0,475.0,442.0,453.9,20739,EQ,1147,18.08,12288
2025-01-22,448.3,450.25,425.1,444.25,22594,EQ,1359,16.63,10458
2025-01-23,439.95,441.05,421.1,434.8,29318,EQ,972,30.16,17670
2025-01-24,432.35,448.4,424.0,432.4,8728,EQ,510,17.11,5878
2025-01-27,432.4,433.5,395.2,402.7,38230,EQ,1137,33.62,25064
2025-01-28,420.6,420.95,390.0,409.35,19876,EQ,848,23.44,13444
2025-01-29,411.0,427.4,377.3,409.25,21742,EQ,1105,19.68,13953
2025-01-30,413.65,414.0,397.55,402.6,4366,EQ,379,11.52,2496
